model prior treeSize rep method collision trueNmus estNmus
s0d100 01 sub250 r01 Startle 0.6501005458201663 29 29
s0d100 01 sub250 r01 Startle 0.11717390320470354 24 25
s0d100 01 sub250 r01 Startle 0.8936718904979173 11 10
s0d100 01 sub250 r01 Startle 0.6501005458201663 13 13
s0d100 01 sub250 r01 Startle 0.6544421487603302 39 34
s0d100 01 sub250 r01 Startle 0.07435238519555733 43 43
s0d100 01 sub250 r01 Startle 0.8276643990929707 32 29
s0d100 01 sub250 r01 Startle 0.07391235078303943 24 22
s0d100 01 sub250 r01 Startle 0.1408822513476628 41 39
s0d100 01 sub250 r01 Startle 0.506172839506173 37 35
s0d100 01 sub250 r01 Startle 0.1056547619047619 30 27
s0d100 01 sub250 r01 Startle 0.04998488191013573 23 22
s0d100 01 sub250 r01 Startle 0.11375227912395963 41 41
s0d100 01 sub250 r01 Startle 0.0831366916316132 25 25
s0d100 01 sub250 r01 Startle 0.24000000000000007 31 30
s0d100 01 sub250 r01 Startle 0.07281498073244905 24 24
s0d100 01 sub250 r01 Startle 0.08088172664770402 41 40
s0d100 01 sub250 r01 Startle 0.06043714314909277 20 20
s0d100 01 sub250 r01 Startle 0.093643069452796 17 17
s0d100 01 sub250 r01 Startle 0.6573781480417507 28 28
s0d100 01 sub250 r01 Startle 0.06881374304835514 33 29
s0d100 01 sub250 r01 Startle 0.6302237757872725 12 12
s0d100 01 sub250 r01 Cass-greedy 0.7373002754820938 20 26
s0d100 01 sub250 r01 Cass-greedy 0.6121810018903592 0 1
s0d100 01 sub250 r01 Cass-greedy 1.0 38 50
s0d100 01 sub250 r01 Cass-greedy 0.8003525076109598 24 35
s0d100 01 sub250 r01 Cass-greedy 0.040868105810249335 14 15
s0d100 01 sub250 r01 Cass-greedy 0.11625526802607089 13 15
s0d100 01 sub250 r01 Cass-greedy 0.07084745770929712 29 33
s0d100 01 sub250 r01 Cass-greedy 0.0923300846928096 35 45
s0d100 01 sub250 r01 Cass-greedy 0.6501005458201663 29 38
s0d100 01 sub250 r01 Cass-greedy 0.11717390320470354 24 32
s0d100 01 sub250 r01 Cass-greedy 0.8936718904979173 11 17
s0d100 01 sub250 r01 Cass-greedy 0.6501005458201663 13 24
s0d100 01 sub250 r01 Cass-greedy 0.6544421487603302 39 47
s0d100 01 sub250 r01 Cass-greedy 0.07435238519555733 43 46
s0d100 01 sub250 r01 Cass-greedy 0.8276643990929707 32 41
s0d100 01 sub250 r01 Cass-greedy 0.07391235078303943 24 29
s0d100 01 sub250 r01 Cass-greedy 0.1408822513476628 41 55
s0d100 01 sub250 r01 Cass-greedy 0.506172839506173 37 48
s0d100 01 sub250 r01 Cass-greedy 0.1056547619047619 30 40
s0d100 01 sub250 r01 Cass-greedy 0.04998488191013573 23 29
s0d100 01 sub250 r01 Cass-greedy 0.11375227912395963 41 46
s0d100 01 sub250 r01 Cass-greedy 0.0831366916316132 25 27
s0d100 01 sub250 r01 Cass-greedy 0.24000000000000007 31 49
