num_chars,alphabet_size,seed_prior,num_cells,seq_prior,algorithm,memory_usage,cpu_usage,runtime
30,30,8,500,4,laml_fastEM_cpu,531464,70.02,180.0
30,30,8,500,5,laml_fastEM_cpu,541512,67.81,189.0
30,30,9,500,1,laml_fastEM_cpu,532348,71.52,253.0
30,30,9,500,2,laml_fastEM_cpu,554164,73.78,235.0
30,30,9,500,3,laml_fastEM_cpu,546232,72.47,203.0
30,30,9,500,4,laml_fastEM_cpu,535176,70.47,316.0
30,30,9,500,5,laml_fastEM_cpu,550560,72.49,217.0
30,30,10,500,1,laml_fastEM_cpu,547236,70.34,229.0
30,30,10,500,2,laml_fastEM_cpu,542932,70.54,209.0
30,30,10,500,3,laml_fastEM_cpu,536628,71.33,275.0
30,30,10,500,4,laml_fastEM_cpu,532944,69.34,223.0
30,30,10,500,5,laml_fastEM_cpu,541744,70.37,254.0
30,100,1,250,1,laml_fastEM_cpu,491248,71.51,103.0
30,100,1,250,2,laml_fastEM_cpu,489548,72.42,105.0
30,100,1,250,3,laml_fastEM_cpu,492836,70.52,108.0
30,100,1,250,4,laml_fastEM_cpu,497940,73.71,152.0
30,100,1,250,5,laml_fastEM_cpu,498108,73.21,115.0
30,100,2,250,1,laml_fastEM_cpu,497708,68.77,73.0
30,100,2,250,2,laml_fastEM_cpu,502208,68.15,86.0
30,100,2,250,3,laml_fastEM_cpu,495004,67.45,61.0
30,100,2,250,4,laml_fastEM_cpu,495288,69.02,108.0
30,100,2,250,5,laml_fastEM_cpu,496964,69.91,104.0
30,100,3,250,1,laml_fastEM_cpu,496056,71.36,70.0
30,100,3,250,2,laml_fastEM_cpu,496800,72.77,115.0
30,100,3,250,3,laml_fastEM_cpu,501864,72.4,151.0
30,100,3,250,4,laml_fastEM_cpu,495372,73.13,101.0
30,100,3,250,5,laml_fastEM_cpu,503348,75.19,146.0
30,100,4,250,1,laml_fastEM_cpu,498204,71.53,102.0
30,100,4,250,2,laml_fastEM_cpu,499804,71.56,76.0
30,100,4,250,3,laml_fastEM_cpu,493424,70.4,84.0
30,100,4,250,4,laml_fastEM_cpu,495784,71.97,122.0
30,100,4,250,5,laml_fastEM_cpu,502244,72.89,75.0
30,100,5,250,1,laml_fastEM_cpu,494412,68.36,65.0
30,100,5,250,2,laml_fastEM_cpu,501888,68.65,99.0
30,100,5,250,3,laml_fastEM_cpu,497784,68.56,68.0
30,100,5,250,4,laml_fastEM_cpu,501060,70.49,138.0
30,100,5,250,5,laml_fastEM_cpu,495084,71.62,105.0
30,100,6,250,1,laml_fastEM_cpu,500568,70.9,168.0
30,100,6,250,2,laml_fastEM_cpu,499748,69.6,74.0
30,100,6,250,3,laml_fastEM_cpu,500536,71.29,91.0
30,100,6,250,4,laml_fastEM_cpu,490.50M,72.58,115.0
30,100,6,250,5,laml_fastEM_cpu,494996,72.51,105.0
30,100,7,250,1,laml_fastEM_cpu,492824,69.94,103.0
30,100,7,250,2,laml_fastEM_cpu,498556,70.89,88.0
30,100,7,250,3,laml_fastEM_cpu,499088,71.94,92.0
30,100,7,250,4,laml_fastEM_cpu,497968,71.78,103.0
30,100,7,250,5,laml_fastEM_cpu,497676,68.81,96.0
30,100,8,250,1,laml_fastEM_cpu,491848,70.75,98.0
30,100,8,250,2,laml_fastEM_cpu,488936,69.76,109.0
30,100,8,250,3,laml_fastEM_cpu,495564,69.97,118.0
30,100,8,250,4,laml_fastEM_cpu,500832,71.41,110.0
30,100,8,250,5,laml_fastEM_cpu,491600,68.01,50.0
30,100,9,250,1,laml_fastEM_cpu,493496,68.27,78.0
30,100,9,250,2,laml_fastEM_cpu,503384,70.51,61.0
30,100,9,250,3,laml_fastEM_cpu,495800,72.63,94.0
30,100,9,250,4,laml_fastEM_cpu,504744,72.22,126.0
30,100,9,250,5,laml_fastEM_cpu,491496,71.78,120.0
30,100,10,250,1,laml_fastEM_cpu,501012,70.7,110.0
30,100,10,250,2,laml_fastEM_cpu,496064,70.84,94.0
30,100,10,250,3,laml_fastEM_cpu,497932,69.14,75.0
30,100,10,250,4,laml_fastEM_cpu,494180,73.96,125.0
30,100,10,250,5,laml_fastEM_cpu,491172,70.29,104.0
30,100,1,500,1,laml_fastEM_cpu,548024,71.47,219.0
30,100,1,500,2,laml_fastEM_cpu,540652,69.35,216.0
30,100,1,500,3,laml_fastEM_cpu,538356,71.46,281.0
30,100,1,500,4,laml_fastEM_cpu,532984,70.69,249.0
30,100,1,500,5,laml_fastEM_cpu,554704,71.93,180.0
30,100,2,500,1,laml_fastEM_cpu,538272,69.48,251.0
30,100,2,500,2,laml_fastEM_cpu,533164,68.91,200.0
30,100,2,500,3,laml_fastEM_cpu,527716,69.0,194.0
30,100,2,500,4,laml_fastEM_cpu,536936,70.12,234.0
30,100,2,500,5,laml_fastEM_cpu,550328,72.81,262.0
30,100,3,500,1,laml_fastEM_cpu,536644,71.71,249.0
30,100,3,500,2,laml_fastEM_cpu,543004,74.24,246.0
30,100,3,500,3,laml_fastEM_cpu,539276,72.72,222.0
