tcount,ModelCond,CassGreedy,CassNJ,Problin_startleres,StartleCollapsed
237,s75d25p08_sub250_r02,0.477733,0.436937,0.234818,0.349776
238,s75d25p08_sub250_r03,0.455466,0.433708,0.267206,0.286996
239,s75d25p08_sub250_r04,0.512146,0.373874,0.202429,0.292793
240,s75d25p08_sub250_r05,0.485830,0.362832,0.198381,0.263393
241,s75d25p09_sub250_r01,0.534413,0.479821,0.222672,0.376975
242,s75d25p09_sub250_r02,0.522267,0.456180,0.238866,0.309577
243,s75d25p09_sub250_r03,0.504049,0.391111,0.190283,0.252700
244,s75d25p09_sub250_r04,0.528340,0.429844,0.238866,0.301310
245,s75d25p09_sub250_r05,0.534413,0.384966,0.186235,0.293860
246,s75d25p10_sub250_r01,0.548583,0.454139,0.214575,0.314410
247,s75d25p10_sub250_r02,0.572874,0.534989,0.275304,0.370536
248,s75d25p10_sub250_r03,0.585020,0.527778,0.267206,0.418655
249,s75d25p10_sub250_r04,0.552632,0.533181,0.251012,0.349558
250,s75d25p10_sub250_r05,0.643725,0.600000,0.315789,0.426009
