modelcond,num_sampled,rep,rf_hamming,rf_krd
s0d100p01,sub250,r01,0.765182186234818,0.615384615384615
s0d100p01,sub250,r02,0.773279352226721,0.647773279352227
s0d100p01,sub250,r03,0.870445344129555,0.720647773279352
s0d100p01,sub250,r04,0.797570850202429,0.700404858299595
s0d100p01,sub250,r05,0.732793522267207,0.748987854251012
s0d100p02,sub250,r01,0.728744939271255,0.591093117408907
s0d100p02,sub250,r02,0.692307692307692,0.57085020242915
s0d100p02,sub250,r03,0.777327935222672,0.57085020242915
s0d100p02,sub250,r04,0.748987854251012,0.663967611336032
s0d100p02,sub250,r05,0.785425101214575,0.659919028340081
s0d100p03,sub250,r01,0.753036437246964,0.663967611336032
s0d100p03,sub250,r02,0.777327935222672,0.700404858299595
s0d100p03,sub250,r03,0.781376518218624,0.688259109311741
s0d100p03,sub250,r04,0.785425101214575,0.635627530364372
s0d100p03,sub250,r05,0.809716599190283,0.647773279352227
s0d100p04,sub250,r01,0.862348178137652,0.740890688259109
s0d100p04,sub250,r02,0.809716599190283,0.684210526315789
s0d100p04,sub250,r03,0.825910931174089,0.704453441295547
s0d100p04,sub250,r04,0.809716599190283,0.708502024291498
s0d100p04,sub250,r05,0.769230769230769,0.716599190283401
s0d100p05,sub250,r01,0.88663967611336,0.777327935222672
s0d100p05,sub250,r02,0.834008097165992,0.769230769230769
s0d100p05,sub250,r03,0.866396761133603,0.761133603238866
s0d100p05,sub250,r04,0.842105263157895,0.744939271255061
s0d100p05,sub250,r05,0.882591093117409,0.740890688259109
s0d100p06,sub250,r01,0.825910931174089,0.639676113360324
s0d100p06,sub250,r02,0.801619433198381,0.688259109311741
s0d100p06,sub250,r03,0.82995951417004,0.688259109311741
s0d100p06,sub250,r04,0.842105263157895,0.672064777327935
s0d100p06,sub250,r05,0.82995951417004,0.659919028340081
s0d100p07,sub250,r01,0.809716599190283,0.680161943319838
s0d100p07,sub250,r02,0.797570850202429,0.696356275303644
s0d100p07,sub250,r03,0.789473684210526,0.65587044534413
s0d100p07,sub250,r04,0.732793522267207,0.65587044534413
s0d100p07,sub250,r05,0.809716599190283,0.704453441295547
s0d100p08,sub250,r01,0.838056680161943,0.708502024291498
s0d100p08,sub250,r02,0.838056680161943,0.761133603238866
s0d100p08,sub250,r03,0.846153846153846,0.757085020242915
s0d100p08,sub250,r04,0.817813765182186,0.736842105263158
s0d100p08,sub250,r05,0.842105263157895,0.757085020242915
s0d100p09,sub250,r01,0.761133603238866,0.631578947368421
s0d100p09,sub250,r02,0.753036437246964,0.607287449392713
s0d100p09,sub250,r03,0.793522267206478,0.688259109311741
s0d100p09,sub250,r04,0.809716599190283,0.704453441295547
s0d100p09,sub250,r05,0.777327935222672,0.623481781376518
