"","modelcondition","true_nu","true_phi","prioridx","rep","startle_phi","startle_nu","cassg_phi","cassg_nu","truetopo_phi","truetopo_nu","problin_nu","problin_phi","true_llh","startle_NLLH","cassg_NLLH","truetopo_NLLH","problin_NLLH","startle_wp","cassg_wp","truetopo_wp","problin_wp","startle_rf","cassg_rf","problin_rf","true_phi_value","true_nu_value"
"1","s0d100","s0",100,1,"r01",0.258663893484722,9.1151696929219e-06,0.258660880625553,1.73160720934387e-05,0.258665802322561,3.12675096082172e-06,9.67260408669411e-06,0.258663659768011,7824.2123438652,7748.42547091057,8266.96736560187,7700.82181018774,7733.76434054201,4936.47643233222,5971.19346076469,4922.2785251019,4935.80243167338,0.473684,0.712551,0.388664,0.25,0
"2","s0d100","s0",100,1,"r02",0.257865306912894,4.56238355734351e-06,0.25786241567324,1.2002383441361e-05,0.2578623175086,1.26431144632036e-05,5.90582353187238e-06,0.257864792102343,7950.61444642841,7816.15482772414,8233.58818151072,7818.56231691434,7790.71548231438,5115.52534814698,6021.16173294039,5192.57911045024,5120.73194361287,0.441296,0.665992,0.352227,0.25,0
"3","s0d100","s0",100,1,"r03",0.253053857765809,3.65785453685076e-05,0.251365718081762,0.00415729847008526,0.253065900284487,2.7162472841335e-06,0.000178128056299885,0.252999556348536,7953.02378978752,7831.81462200198,8200.43842788025,7816.74343399972,7798.57857069447,5162.18233492583,5948.96563256018,5210.84391290992,5166.27499250761,0.530364,0.688259,0.481781,0.25,0
"4","s0d100","s0",100,1,"r04",0.253598895320433,3.89192656192558e-06,0.253597757707639,6.5204626238188e-06,0.253599237233367,2.74485021986107e-06,2.79386192292285e-06,0.253599236119522,7803.67036392075,7690.4905743532,8069.60111566654,7666.94474604125,7661.59560582511,4935.15084271745,5689.66981225417,4997.03226907334,4969.79181744026,0.449393,0.684211,0.396761,0.25,0
"5","s0d100","s0",100,1,"r05",0.253437476751052,0.00302542343444404,0.254272063108132,0.000685113497278171,0.249860529370028,0.0123623732405917,0.00681750600938657,0.251910239623034,7961.1446726516,7824.36782801481,8301.92983718662,7821.8780922197,7788.6417630328,5139.95497132006,6150.59197951697,5236.48744983641,5162.38209583824,0.477733,0.734818,0.368421,0.25,0
"6","s0d100","s0",100,2,"r01",0.247851638553899,3.83856461345748e-05,0.247862038679056,1.26181836774454e-05,0.247734118840491,0.000325176773817363,3.76767965910609e-05,0.247851664779087,8736.92311699321,8640.43550024779,9258.57301997643,8601.96517558951,8614.98219341808,6833.58343649243,8178.42959206887,6813.80838367113,6831.50280761899,0.336032,0.611336,0.238866,0.25,0
"7","s0d100","s0",100,2,"r02",0.248931234178365,6.28851153684783e-06,0.2489322523864,3.26514509965755e-06,0.248931980369785,4.08546388952626e-06,1.19860919351252e-05,0.248929100860264,8825.83211166807,8703.46578062964,9191.40004619611,8676.35974724164,8691.62196699053,6975.54246426197,8102.41837349193,6968.07677545042,6991.66708217412,0.352227,0.611336,0.259109,0.25,0
"8","s0d100","s0",100,2,"r03",0.24583033603891,9.62740353486044e-05,0.245639848817783,0.00056396654164034,0.244085793376115,0.0043635021333905,0.00460372500499982,0.244025478908972,8852.64316711224,8718.98224085687,9248.55172615245,8700.29889170316,8685.09570091598,7059.12956455357,8171.56602072147,7087.8711360732,7059.88681243625,0.319838,0.605263,0.186235,0.25,0
"9","s0d100","s0",100,2,"r04",0.251999161496953,2.74961230820628e-06,0.251994449136849,1.484051667152e-05,0.251999364822477,2.12818481604622e-06,2.09963355507138e-06,0.251999389619897,8885.10754464585,8752.97002995434,9519.44269646436,8746.39985560025,8735.58541885953,7033.21047382286,8812.30017667953,7081.3184326346,7037.35664345294,0.271255,0.6417,0.190283,0.25,0
"10","s0d100","s0",100,2,"r05",0.245465222923426,4.72017482744242e-06,0.245464701831188,6.00392930359831e-06,0.245465420632458,4.06060509645043e-06,3.63686817522499e-06,0.245465593477184,8786.34485690258,8661.29469692231,9080.83242265999,8652.62221336351,8632.79763337674,6877.70376909584,7899.72563983568,6945.75335871595,6897.44536525102,0.34413,0.564777,0.238866,0.25,0
"11","s0d100","s0",100,3,"r01",0.256532341310916,3.38084964390351e-06,0.256531348183922,5.87318368306224e-06,0.256532755919574,2.04342415548575e-06,3.13921553441876e-06,0.2565323989878,8112.98285625463,8017.87458268447,8630.07215151045,7977.51104552523,7987.10482565116,5575.55963198741,6896.98726735232,5553.27236890603,5580.86350449516,0.40081,0.696356,0.356275,0.25,0
"12","s0d100","s0",100,3,"r02",0.249864616602403,6.78032391102019e-06,0.249036668584172,0.00221537872583939,0.249862920543016,1.12834761359327e-05,1.29807398429875e-05,0.249862449013899,8123.40308440375,8034.72325802801,8598.3839264783,7986.09840229692,7987.1231763278,5713.12901922641,6905.3889777501,5723.38963369172,5698.70120932826,0.502024,0.708502,0.404858,0.25,0
"13","s0d100","s0",100,3,"r03",0.248931919666196,4.43650620791712e-06,0.248930789713256,7.15543585046049e-06,0.248932314299681,3.30481055691061e-06,4.06966883391761e-06,0.248932033640138,8253.90032543935,8136.30586833192,8684.37403706848,8117.90892889886,8114.65813516703,5862.92238230764,7111.22847099228,5952.96539790897,5883.19544629506,0.421053,0.712551,0.34413,0.25,0
"14","s0d100","s0",100,3,"r04",0.249731184321282,6.691179992238e-06,0.249730484862782,8.18007211532193e-06,0.249732593277785,2.73771946072656e-06,2.06567652597733e-05,0.249726455130417,8110.30590455133,8032.26493761587,8500.68402920456,7986.15947847072,8002.35383875439,5720.01730360856,6642.74262103475,5730.52676794779,5721.34068414427,0.441296,0.700405,0.340081,0.25,0
"15","s0d100","s0",100,3,"r05",0.257866073901894,2.31125151333986e-06,0.257865673234332,3.3433375013121e-06,0.257865552798014,3.80695687471417e-06,2.11570522051517e-06,0.257866136045372,8051.22243117856,7966.60495960062,8408.94981883865,7910.99101385884,7901.7160428193,5428.87296191418,6446.52746202681,5388.16516855843,5363.91916073005,0.477733,0.663968,0.331984,0.25,0
"16","s0d100","s0",100,4,"r01",0.259599504761666,2.0966457268177e-06,0.258266083589626,0.00299346464561383,0.259599237679377,2.94513059424283e-06,1.83237109449253e-06,0.259599560105634,8180.21444867317,8068.7767709294,8402.94054581502,8043.86436642553,8031.2623177496,5561.44684899438,6359.58687258761,5628.51757009049,5572.48392932938,0.384615,0.609312,0.315789,0.25,0
"17","s0d100","s0",100,4,"r02",0.254104819629907,7.97651499456701e-05,0.254131276784554,6.44893310284241e-06,0.254130373025845,8.92895424580309e-06,2.37928880721146e-05,0.254125081953348,8094.32497661995,7948.01786284493,8389.87648777893,7939.72471409698,7913.21077991664,5449.75998136912,6413.86624840457,5494.35777660161,5432.65539750183,0.388664,0.623482,0.291498,0.25,0
"18","s0d100","s0",100,4,"r03",0.24946380335567,8.9585580562118e-06,0.249463877605016,8.30365379733492e-06,0.249465503832026,3.61691727353202e-06,5.81072038976099e-06,0.249464817064602,8250.12156577906,8146.68919236999,8481.01134880658,8099.76811110407,8105.89879179423,5874.83098371821,6668.36054854308,5865.15599140479,5879.47389423218,0.502024,0.582996,0.376518,0.25,0
"19","s0d100","s0",100,4,"r04",0.261138857691991,0.00233472259589165,0.261995849679582,1.24964533733801e-05,0.261995642393134,1.29789756058034e-05,0.000596294358187098,0.26177246141308,8259.56207542138,8138.77801709352,8511.74616656996,8112.04048916774,8105.65544240431,5683.49074191951,6511.01622592887,5737.5312500265,5712.25993512319,0.469636,0.601215,0.388664,0.25,0
"20","s0d100","s0",100,4,"r05",0.253328680552778,0.00178232348818126,0.253899051861493,0.000268435369436192,0.25312764012273,0.00228256402125932,0.00260226320899457,0.253013087635634,8318.4126248037,8191.07241199014,8638.13156052738,8170.44700723226,8159.19497354446,5912.72699297542,6822.64753966358,5922.53385843609,5895.84097889031,0.408907,0.605263,0.37247,0.25,0
"21","s0d100","s0",100,5,"r01",0.251199356243906,2.5218468887747e-06,0.251181530641155,4.72338082100383e-05,0.251199622890288,1.55317992857093e-06,3.0364203881445e-06,0.251199183043862,7780.438123164,7705.20651531304,8221.74994448587,7639.57537683719,7655.45360848282,4487.7920494389,5464.77161714569,4525.4668235813,4491.06784611405,0.623482,0.718623,0.534413,0.25,0
"22","s0d100","s0",100,5,"r02",0.243731918957575,5.15686304823443e-06,0.243721820012311,3.28017437715627e-05,0.24373004564944,1.06150130444345e-05,4.86263127758026e-06,0.243731977989634,7607.39396242137,7526.59640965098,8110.10050332757,7471.01031933223,7474.23815936358,4288.3928530008,5420.85322005132,4309.77191507119,4270.56083554673,0.582996,0.724696,0.510121,0.25,0
