"","modelcondition","true_nu","true_phi","prioridx","rep","startle_phi","startle_nu","cassg_phi","cassg_nu","nj_phi","nj_nu","problin_nu","problin_phi","true_phi_value","true_nu_value"
"1","s0d100","s0",100,1,"r01",0.258664474898759,7.30575351150093e-06,0.258659845264498,2.03997100786551e-05,0.258665338012121,4.2981620569673e-06,9.67260408669411e-06,0.258663659768011,0.25,0
"2","s0d100","s0",100,1,"r02",0.257865244550341,4.73613926920978e-06,0.257861650765949,1.41373447159484e-05,0.257865020846539,4.94577695456983e-06,5.90582353187238e-06,0.257864792102343,0.25,0
"3","s0d100","s0",100,1,"r03",0.253057137367689,2.73808524990493e-05,0.251273464974835,0.0044071319161377,0.253065853252767,2.67194047056641e-06,0.000178128056299885,0.252999556348536,0.25,0
"4","s0d100","s0",100,1,"r04",0.253598946679639,3.70169970260547e-06,0.253596035680273,1.13283366446986e-05,0.253598725713676,3.81316965354543e-06,2.79386192292285e-06,0.253599236119522,0.25,0
"5","s0d100","s0",100,1,"r05",0.253407364696746,0.00313319075973395,0.254279568637366,0.000666856482387974,0.254519820236814,3.72831964561671e-05,0.00681750600938657,0.251910239623034,0.25,0
"6","s0d100","s0",100,2,"r01",0.247856638735815,2.57321200840304e-05,0.247861693921334,1.35450616739764e-05,0.247864548954704,6.1304808975084e-06,3.76767965910609e-05,0.247851664779087,0.25,0
"7","s0d100","s0",100,2,"r02",0.248931303579591,6.08484470344465e-06,0.248931449231969,5.54863598522975e-06,0.248932757400014,1.8169177928697e-06,1.19860919351252e-05,0.248929100860264,0.25,0
"8","s0d100","s0",100,2,"r03",0.245803589621149,0.000167515497167059,0.245533812912309,0.000831015849475196,0.245607407490931,0.00064210384949229,0.00460372500499982,0.244025478908972,0.25,0
"9","s0d100","s0",100,2,"r04",0.251999108244514,2.89058293237376e-06,0.251994947266089,1.35153701910398e-05,0.251999382900158,1.93900511127169e-06,2.09963355507138e-06,0.251999389619897,0.25,0
"10","s0d100","s0",100,2,"r05",0.245465293049154,4.48311033834312e-06,0.245464788827293,5.73373004009379e-06,0.245455020525287,3.18874982667752e-05,3.63686817522499e-06,0.245465593477184,0.25,0
"11","s0d100","s0",100,3,"r01",0.256532663404978,2.36518641213453e-06,0.256531269985677,6.09105149662624e-06,0.256532446656124,2.82495880511188e-06,3.13921553441876e-06,0.2565323989878,0.25,0
"12","s0d100","s0",100,3,"r02",0.249864850623586,6.04108017359974e-06,0.248738106045146,0.00302491633199519,0.249864289479491,7.07751197435726e-06,1.29807398429875e-05,0.249862449013899,0.25,0
"13","s0d100","s0",100,3,"r03",0.248931806216534,4.68135646812048e-06,0.248929669204648,1.02371348684306e-05,0.248932501771885,2.61088723456923e-06,4.06966883391761e-06,0.248932033640138,0.25,0
"14","s0d100","s0",100,3,"r04",0.249731284183363,6.39671348498063e-06,0.249730365289952,8.52153015495989e-06,0.249733005240795,1.23683044081491e-06,2.06567652597733e-05,0.249726455130417,0.25,0
"15","s0d100","s0",100,3,"r05",0.257865877475706,2.95652190491947e-06,0.257865622528929,3.47306590088824e-06,0.257865902896975,2.64954974157571e-06,2.11570522051517e-06,0.257866136045372,0.25,0
"16","s0d100","s0",100,4,"r01",0.259599518136837,2.02457339235743e-06,0.258188020633512,0.00322528819909153,0.259598913959388,3.83799167997006e-06,1.83237109449253e-06,0.259599560105634,0.25,0
"17","s0d100","s0",100,4,"r02",0.254101008271533,9.07961947933147e-05,0.25413110840186,6.92305156552648e-06,0.254121255174915,3.41395017813222e-05,2.37928880721146e-05,0.254125081953348,0.25,0
"18","s0d100","s0",100,4,"r03",0.249464908765757,5.57677569181474e-06,0.249463400639033,9.68931051243668e-06,0.249462852044237,1.10914817112295e-05,5.81072038976099e-06,0.249464817064602,0.25,0
"19","s0d100","s0",100,4,"r04",0.261041030691018,0.00260942227474417,0.261995338197468,1.40284407107582e-05,0.261996855060299,9.5069653743379e-06,0.000596294358187098,0.26177246141308,0.25,0
"20","s0d100","s0",100,4,"r05",0.253332370179875,0.0017810075224762,0.253782528190208,0.000578577846795776,0.252538855151753,0.00359408971607544,0.00260226320899457,0.253013087635634,0.25,0
"21","s0d100","s0",100,5,"r01",0.251199472771141,2.07611514930281e-06,0.251151703688533,0.000123662739312049,0.251199344020492,2.1148193462075e-06,3.0364203881445e-06,0.251199183043862,0.25,0
"22","s0d100","s0",100,5,"r02",0.243731992112923,4.90023509413901e-06,0.24372231004458,3.14746549282334e-05,0.243655771604113,0.000208279136518748,4.86263127758026e-06,0.243731977989634,0.25,0
"23","s0d100","s0",100,5,"r03",0.250931707485362,5.48620853099777e-06,0.247248552405767,0.00944741562368176,0.250929997990599,8.80713087074172e-06,5.43760520066052e-06,0.250931708866343,0.25,0
"24","s0d100","s0",100,5,"r04",0.250130970912362,7.88976023715463e-06,0.2488522318185,0.00319936503009971,0.250132196884743,3.55896685925963e-06,3.97287632529377e-06,0.250132205454132,0.25,0
"25","s0d100","s0",100,5,"r05",0.253865541154302,4.01601883846601e-06,0.253859524962946,1.8972919696106e-05,0.253865985306269,2.13308232116462e-06,3.0777049621408e-06,0.253865837837519,0.25,0
"26","s0d100","s0",100,6,"r01",0.251309391087904,6.39715533602931e-05,0.247486092740968,0.0088999553444046,0.251329135633483,1.22124778755221e-05,0.00326160541884516,0.250045174928335,0.25,0
"27","s0d100","s0",100,6,"r02",0.253999593697667,1.70820432768584e-06,0.253995932703993,1.21260977322033e-05,0.253999426725869,1.77365445494484e-06,1.95521230000251e-06,0.25399951018138,0.25,0
"28","s0d100","s0",100,6,"r03",0.252799009198283,3.42852788645847e-06,0.250433746414694,0.00547535340775696,0.252798578199579,4.42778410463793e-06,3.17819555611623e-06,0.25279908545879,0.25,0
"29","s0d100","s0",100,6,"r04",0.256932337741699,3.28181448580402e-06,0.25678985399662,0.000352901951687373,0.256932117452888,3.76584009491791e-06,4.03964575629425e-06,0.25693202695874,0.25,0
"30","s0d100","s0",100,6,"r05",0.253199247502748,2.77730787995582e-06,0.248836640122441,0.00969934653120114,0.253197984845899,6.0084458768695e-06,3.43941857296309e-06,0.253199022868945,0.25,0
"31","s0d100","s0",100,7,"r01",0.247732195993652,3.95182615073406e-06,0.244978936974865,0.00667951210121157,0.24773248178828,2.84779244890654e-06,4.42650970788028e-06,0.247732029606373,0.25,0
"32","s0d100","s0",100,7,"r02",0.246933061308467,1.16290219059239e-06,0.24693280374006,1.69598040223852e-06,0.246932977132393,1.32803808403254e-06,1.43274588969193e-06,0.246932995037301,0.25,0
"33","s0d100","s0",100,7,"r03",0.247865159024164,5.05440794390388e-06,0.247857258911902,2.59686067671414e-05,0.24785997160848,1.83052406932917e-05,5.87101453679235e-06,0.247864882605032,0.25,0
"34","s0d100","s0",100,7,"r04",0.249743101581421,0.000341240943542965,0.247892300283744,0.00494334224770887,0.249838959711375,7.13812899659249e-05,0.00144355397984073,0.249338801278278,0.25,0
"35","s0d100","s0",100,7,"r05",0.252932286217308,3.80589413597413e-06,0.252924285615286,2.57186063228192e-05,0.252932344047425,3.47504424374591e-06,3.44171854148078e-06,0.252932371777789,0.25,0
"36","s0d100","s0",100,8,"r01",0.252159912636394,0.00671277572775552,0.253689525110458,0.00336010837012067,0.254054174234831,0.00206653050831244,0.00520978076685995,0.252739513186605,0.25,0
"37","s0d100","s0",100,8,"r02",0.25066505014591,5.29779295234479e-06,0.249208201137758,0.00363664065106358,0.250661945241032,1.36796673236201e-05,5.39427039577724e-06,0.250665012098501,0.25,0
"38","s0d100","s0",100,8,"r03",0.246531687674113,4.71407076931398e-06,0.246531717597338,4.74741782279176e-06,0.24653241767858,2.92813965165743e-06,2.62593222553331e-06,0.246532474960937,0.25,0
"39","s0d100","s0",100,8,"r04",0.251854633690712,3.60442582871327e-05,0.251854455032168,3.44900098488615e-05,0.250825989224961,0.00272921431093016,0.00813584700976643,0.24877893058216,0.25,0
"40","s0d100","s0",100,8,"r05",0.249865790412216,2.95892234676045e-06,0.249703566097166,0.000409391661665196,0.24986530811617,4.04941663598841e-06,2.90224764534874e-06,0.249865817983201,0.25,0
"41","s0d100","s0",100,9,"r01",0.261065153385513,5.47556984371444e-06,0.261059450280472,2.03894818061234e-05,0.261062848782034,1.25933201881661e-05,5.29528873793658e-06,0.261065186053433,0.25,0
"42","s0d100","s0",100,9,"r02",0.259461427206967,1.7445615829178e-05,0.256493032701744,0.00818384992435467,0.258086610944799,0.00350368614918354,0.00977262594133454,0.255887838903552,0.25,0
"43","s0d100","s0",100,9,"r03",0.249730354626314,8.70551043360685e-06,0.249730003717167,9.95418337717562e-06,0.249507156038388,0.000545234943470067,1.29596650048273e-05,0.249728766538359,0.25,0
"44","s0d100","s0",100,9,"r04",0.24999430358141,1.83182800415551e-05,0.249997246325242,8.783586576332e-06,0.24999760265652,7.64143256264271e-06,7.60637058041499e-06,0.249997678522505,0.25,0
"45","s0d100","s0",100,9,"r05",0.259331105727543,7.46418803773905e-06,0.259330473402768,8.69866476298449e-06,0.259331595278912,5.57018751492461e-06,5.61236005032202e-06,0.259331654807708,0.25,0
"46","s0d100","s0",100,10,"r01",0.253064951723682,5.73840269667083e-06,0.25299500640092,0.000204051225277979,0.253064974952421,5.46527217966991e-06,4.5592954763079e-06,0.253065339193667,0.25,0
"47","s0d100","s0",100,10,"r02",0.247731737923057,4.78857478182553e-06,0.24557541567205,0.00547487274820425,0.247732129490176,3.9948046635074e-06,2.12910235730871e-05,0.247725785750994,0.25,0
"48","s0d100","s0",100,10,"r03",0.252532558865257,2.75353558514234e-06,0.252531644042665,4.99977472261488e-06,0.252531526699705,5.35522772864046e-06,3.03157780435872e-06,0.252532448693712,0.25,0
"49","s0d100","s0",100,10,"r04",0.250263481442027,1.03349981814188e-05,0.249761827072124,0.00142436585724922,0.250264287294678,7.24439059345825e-06,1.34324853869203e-05,0.25026247378316,0.25,0
"50","s0d100","s0",100,10,"r05",0.255462578284426,1.1898430175441e-05,0.255463591527755,8.88776200746272e-06,0.255465161946574,4.70752763504694e-06,2.54482341349111e-05,0.255457200210391,0.25,0
"51","s100d0","s100",0,1,"r01",0.00735760398122323,0.343766378520657,0,0.338027067584837,0.000175033585396719,0.353057670624139,0.309859092055838,0,0,0.288
"52","s100d0","s100",0,1,"r02",0,0.332654592742626,0,0.304314067746531,0,0.319543737517648,0.27648003389325,0,0,0.288
"53","s100d0","s100",0,1,"r03",0.0112810213117798,0.311904687804667,0,0.323149404073427,0,0.333944981518997,0.283178426430657,0,0,0.288
"54","s100d0","s100",0,1,"r04",0,0.326605056977213,0,0.30271695739869,0,0.307656006041808,0.264676917866993,0,0,0.288
"55","s100d0","s100",0,1,"r05",0,0.328436726927376,0,0.30037805320192,0,0.310743109366484,0.277505516062021,0,0,0.288
"56","s100d0","s100",0,2,"r01",0.0142446977622151,0.305203396570858,0.0119517538738163,0.303992622144423,0.00936748048178813,0.309636234969799,0.281380406385602,0.00876647845310827,0,0.288
"57","s100d0","s100",0,2,"r02",0.00735015096254529,0.328296915626657,0,0.345355913974394,0,0.343047217099178,0.319109269331378,0,0,0.288
"58","s100d0","s100",0,2,"r03",0,0.304846141777976,0,0.290497224437365,0,0.299438436713428,0.274071204429526,0,0,0.288
"59","s100d0","s100",0,2,"r04",0.00643376509981093,0.317096462967771,0,0.330153371208133,0.00522566826468865,0.314752814421152,0.304338848691032,0,0,0.288
"60","s100d0","s100",0,2,"r05",0.0115136782542984,0.27826397027278,0.0100662338597741,0.276765930068765,0.010686170419323,0.276478008063281,0.255975315834382,0.00835606040370433,0,0.288
"61","s100d0","s100",0,3,"r01",0.0120603896181131,0.316427423980219,0.000266900377858356,0.335561775797029,0.00991392162095729,0.30904261792089,0.301958562537984,0.00401334723054119,0,0.288
"62","s100d0","s100",0,3,"r02",0.00347501271487105,0.325752345373332,0,0.315231741637951,0,0.314008286036117,0.28338196932331,0,0,0.288
"63","s100d0","s100",0,3,"r03",0.0104136257885347,0.311002957872721,0.00891943213591273,0.288394813126833,0.00162029052986128,0.325464413952218,0.298266765563097,0,0,0.288
"64","s100d0","s100",0,3,"r04",0,0.349167193470346,0,0.318839022379953,0,0.320643466845718,0.289801038633444,0,0,0.288
"65","s100d0","s100",0,3,"r05",0,0.35538258929795,0,0.333874493585998,0,0.334187438218452,0.304580938590168,0,0,0.288
"66","s100d0","s100",0,4,"r01",0.000874636904789893,0.334196867923397,0,0.327246902513632,0,0.347221156179415,0.292660060539467,0,0,0.288
