true_nu,true_phi,prioridx,rep,startle_phi,startle_nu,cassg_phi,cassg_nu,cassilp_phi,cassilp_nu,truetopo_phi,truetopo_nu,problin_nu,problin_phi,nj_nu,nj_phi,true_llh,startle_NLLH,cassg_NLLH,cassilp_NLLH,truetopo_NLLH,problin_NLLH,nj_NLLH,startle_wp,cassg_wp,cassilp_wp,truetopo_wp,problin_wp,nj_wp,startle_rf,cassg_rf,cassilp_rf,problin_rf,nj_rf,norm_startle_wp,norm_cassg_wp,norm_cassilp_wp,norm_truetopo_wp,norm_problin_wp,norm_nj_wp
s0,100,03,r02, 0.24986485062358624, 6.0410801735997345e-06, 0.2487381060451463, 0.003024916331995186, 0.24986392438655947, 8.18999987878058e-06, 0.2498629205430158, 1.128347613593275e-05, 1.2980739842987532e-05, 0.24986244901389865, 7.0775119743572565e-06, 0.24986428947949058,8123.403084403753, 8033.83573054267, 8595.808289397593, 8025.732329160804, 7986.098402296916, 7987.123176327797, 8207.838625773451,1447.8989864889052,1711.428103760061,1518.856483308157,1446.6771243822695,1449.7950502882004,1518.856483308157, 0.448124, 0.761905, 0.573991, 0.388664, 0.573991,1447.8989864889052,1711.428103760061,1518.856483308157,1446.6771243822695,1449.7950502882004,1518.856483308157
s0,100,03,r03, 0.24893180621653357, 4.68135646812048e-06, 0.24892966920464768, 1.023713486843062e-05, 0.2489326924585377, 1.7778144381117203e-06, 0.24893231429968102, 3.3048105569106073e-06, 4.0696688339176095e-06, 0.24893203364013808, 2.6108872345692264e-06, 0.24893250177188547,8253.900325439354, 8133.656412113175, 8682.682032250344, 8899.66369716511, 8117.908928898861, 8114.658135167032, 8342.029147848405,1523.067678343178,1763.418123889368,1636.1221711796295,1538.9128929048281,1523.5185307646063,1636.1221711796295, 0.419780, 0.713666, 0.615044, 0.352227, 0.615044,1523.067678343178,1763.418123889368,1636.1221711796295,1538.9128929048281,1523.5185307646063,1636.1221711796295
s0,100,04,r04, 0.26104103069101786, 0.0026094222747441672, 0.26199533819746756, 1.4028440710758179e-05, 0.26162950178848093, 0.0009480644067379625, 0.2619956423931342, 1.2978975605803421e-05, 0.0005962943581870976, 0.26177246141307997, 9.506965374337898e-06, 0.26199685506029863,8259.562075421381, 8138.642587226797, 8509.819637221302, 8253.695058836141, 8112.040489167739, 8105.655442404309, 8369.049255397067,1541.39463802816,1754.7610269858071,1655.5116052466205,1558.7194421971385,1542.4765133073572,1655.5116052466205, 0.519274, 0.742358, 0.627803, 0.481781, 0.627803,1541.39463802816,1754.7610269858071,1655.5116052466205,1558.7194421971385,1542.4765133073572,1655.5116052466205
s0,100,05,r01, 0.2511994727711412, 2.076115149302809e-06, 0.25115170368853273, 0.00012366273931204897, 0.2511993778304935, 2.3134840884577436e-06, 0.2511996228902884, 1.5531799285709318e-06, 3.036420388144497e-06, 0.2511991830438619, 2.1148193462075025e-06, 0.25119934402049166,7780.438123163998, 7707.807392083211, 8221.484300134545, 7720.378240214063, 7639.575376837185, 7655.4536084828205, 8141.270402747187,1466.5161920157316,1661.8377908512132,1562.248195011776,1474.4263702344579,1471.5276970058694,1562.248195011776, 0.424107, 0.737991, 0.611738, 0.396761, 0.611738,1466.5161920157316,1661.8377908512132,1562.248195011776,1474.4263702344579,1471.5276970058694,1562.248195011776
s0,100,05,r02, 0.24373199211292332, 4.900235094139015e-06, 0.24372231004458006, 3.14746549282334e-05, 0.243730975668386, 6.945144928183743e-06, 0.24373004564943962, 1.0615013044434538e-05, 4.862631277580256e-06, 0.24373197798963425, 0.0002082791365187483, 0.24365577160411314,7607.393962421372, 7525.0749252092355, 8109.793247150878, 7841.6353587002195, 7471.010319332226, 7474.238159363581, 7923.809348116071,1507.002637355437,1777.4738781274696,1650.759318597827,1525.7677670267976,1508.025989520646,1650.759318597827, 0.448747, 0.773987, 0.594470, 0.368421, 0.594470,1507.002637355437,1777.4738781274696,1650.759318597827,1525.7677670267976,1508.025989520646,1650.759318597827
s0,100,06,r04, 0.256932337741699, 3.2818144858040227e-06, 0.2567898539966202, 0.0003529019516873727, 0.25693007457733014, 8.84651508918236e-06, 0.256931856132236, 4.5737846692577135e-06, 4.039645756294249e-06, 0.2569320269587397, 3.7658400949179097e-06, 0.2569321174528878,7929.4165400981465, 7904.475855248931, 8574.611184534157, 7967.1081915986415, 7793.909510568426, 7877.250284514934, 7955.674562021517,2087.5705385328424,2484.1342982543965,2208.455449708477,2088.5197004928073,2088.7183549352885,2208.455449708477, 0.291028, 0.648069, 0.469663, 0.238866, 0.469663,2087.5705385328424,2484.1342982543965,2208.455449708477,2088.5197004928073,2088.7183549352885,2208.455449708477
s0,100,08,r03, 0.24653168767411346, 4.71407076931398e-06, 0.2465317175973385, 4.747417822791756e-06, 0.246532326496593, 2.943150868129233e-06, 0.24653186358793885, 4.231869029424398e-06, 2.625932225533312e-06, 0.24653247496093691, 2.9281396516574347e-06, 0.2465324176785804,7669.278475723987, 7595.705496560985, 8085.090989659879, 7628.533755649091, 7542.991360677742, 7537.215194045164, 7853.303184541182,2154.8157664770733,2469.885531530609,2228.187887553366,2151.5461859653956,2157.697384907181,2228.187887553366, 0.334783, 0.645299, 0.449339, 0.259109, 0.449339,2154.8157664770733,2469.885531530609,2228.187887553366,2151.5461859653956,2157.697384907181,2228.187887553366
s0,100,08,r04, 0.2518546336907121, 3.6044258287132705e-05, 0.25185445503216836, 3.449000984886147e-05, 0.2515089859778717, 0.0007693558625057418, 0.2518602145208931, 1.896522648346117e-05, 0.008135847009766434, 0.24877893058215955, 0.0027292143109301616, 0.2508259892249609,7617.885025274533, 7576.760242105815, 7890.485883497152, 8379.698116387624, 7488.469224302692, 7526.935997071613, 7719.176601616202,2183.3557451309766,2500.585364853959,2286.276858005982,2192.587390977433,2183.338582869014,2286.276858005982, 0.286031, 0.657143, 0.397753, 0.186235, 0.397753,2183.3557451309766,2500.585364853959,2286.276858005982,2192.587390977433,2183.338582869014,2286.276858005982
s0,100,08,r05, 0.24986579041221615, 2.9589223467604523e-06, 0.24970356609716574, 0.0004093916616651964, 0.24986596247550577, 2.147074482377321e-06, 0.24986606353196472, 2.221238631940145e-06, 2.9022476453487415e-06, 0.24986581798320123, 4.049416635988413e-06, 0.2498653081161695,7657.0732948801715, 7619.420469274892, 8166.842422384262, 7925.358932103553, 7528.256778903942, 7577.007980648564, 7818.185710349623,2164.674280924587,2689.624109246662,2269.438912568692,2177.0178214318985,2165.013788064903,2269.438912568692, 0.242424, 0.673036, 0.410480, 0.190283, 0.410480,2164.674280924587,2689.624109246662,2269.438912568692,2177.0178214318985,2165.013788064903,2269.438912568692
s0,100,09,r03, 0.24973035462631357, 8.705510433606852e-06, 0.249730003717167, 9.954183377175623e-06, 0.2497326527891217, 1.8061397570725753e-06, 0.24973188669001323, 4.295807282508848e-06, 1.2959665004827276e-05, 0.24972876653835926, 0.0005452349434700671, 0.24950715603838758,8207.141327167068, 8105.5957897793805, 8647.57395661899, 9408.026870523616, 8078.016052771158, 8094.3836802185015, 8371.844147079191,2109.366722277401,2407.1358743158976,2180.201569284655,2133.2765079747687,2113.2137703668877,2180.201569284655, 0.308204, 0.602592, 0.404444, 0.238866, 0.404444,2109.366722277401,2407.1358743158976,2180.201569284655,2133.2765079747687,2113.2137703668877,2180.201569284655
s0,100,09,r04, 0.24999430358140975, 1.8318280041555103e-05, 0.24999724632524215, 8.783586576332005e-06, 0.2499983226038718, 5.842542065814126e-06, 0.24999695992290388, 9.943577059141812e-06, 7.606370580414991e-06, 0.2499976785225053, 7.641432562642706e-06, 0.24999760265651966,8086.887827538777, 8032.200929589183, 8529.812983201711, 8006.038911873143, 7959.023940320904, 7975.673894116749, 8206.374352722818,1695.93770967233,2080.178095952826,1753.5116584176192,1688.4804646200166,1697.1472376178606,1753.5116584176192, 0.378378, 0.744589, 0.477273, 0.356275, 0.477273,1695.93770967233,2080.178095952826,1753.5116584176192,1688.4804646200166,1697.1472376178606,1753.5116584176192
s0,100,10,r03, 0.25253255886525666, 2.7535355851423407e-06, 0.2525316440426647, 4.999774722614878e-06, 0.2525322850413904, 3.2545949875871347e-06, 0.25253261588654297, 2.455002668623015e-06, 3.031577804358723e-06, 0.25253244869371216, 5.355227728640456e-06, 0.25253152669970486,8342.82641809139, 8231.930334682636, 8566.613351855212, 8482.69340773711, 8216.204980657116, 8212.199187092112, 8459.073268148699,1738.9881777574778,2088.133608000101,1825.8356776336614,1739.5711423494106,1737.783690177152,1825.8356776336614, 0.457859, 0.770925, 0.539150, 0.404858, 0.539150,1738.9881777574778,2088.133608000101,1825.8356776336614,1739.5711423494106,1737.783690177152,1825.8356776336614
s0,100,10,r04, 0.25026348144202715, 1.0334998181418802e-05, 0.24976182707212435, 0.0014243658572492249, 0.2486949014417649, 0.003935114769438371, 0.24968988675256273, 0.0016332151634190371, 1.3432485386920272e-05, 0.25026247378316013, 7.244390593458254e-06, 0.2502642872946781,8212.622081190231, 8121.054914603404, 8486.250448721745, 8183.4626309328505, 8086.065797796964, 8107.0760735738595, 8401.784999043735,1781.5876309768646,2135.853065049329,1877.923422433277,1802.8875496317564,1786.331785558586,1877.923422433277, 0.380846, 0.765217, 0.492063, 0.344130, 0.492063,1781.5876309768646,2135.853065049329,1877.923422433277,1802.8875496317564,1786.331785558586,1877.923422433277
s100,0,04,r01, 0.0008746369047898931, 0.334196867923397, 0, 0.3272469025136319, 0, 0.34982102880955324, 0, 0.2902915104406613, 0.2926600605394669, 0, 0.3472211561794146, 0,5479.489649845497, 5553.954527218014, 5797.758126998525, 5688.358059236464, 5346.201082213787, 5386.404113746555, 5926.067550499364,1729.7135784873328,1993.5991187596476,1826.8051646006566,1726.8029032435352,1729.784196054547,1826.8051646006566, 0.419780, 0.745690, 0.534989, 0.340081, 0.534989,1729.7135784873328,1993.5991187596476,1826.8051646006566,1726.8029032435352,1729.784196054547,1826.8051646006566
s100,0,07,r03, 0, 0.35611902453709415, 0, 0.35074818207581776, 0, 0.37305974165560724, 0, 0.29032865244900374, 0.3003811616104232, 0, 0.35493311118635124, 0,5642.083139834521, 5795.758348014892, 7097.69421127119, 6420.633457277186, 5518.441211990301, 5565.889150664439, 6096.912727991995,1642.907953969848,1935.7627168367528,1724.0821404598817,1633.2132656460271,1629.7360299155682,1724.0821404598817, 0.443439, 0.713043, 0.565022, 0.331984, 0.565022,1642.907953969848,1935.7627168367528,1724.0821404598817,1633.2132656460271,1629.7360299155682,1724.0821404598817
s100,0,08,r01, 0, 0.35603665724622063, 0, 0.3400487168601688, 0, 0.36460437797272904, 0, 0.29504137931503716, 0.3058667126014154, 0, 0.3719575352024556, 0,5667.760541122886, 5793.03835916293, 6503.584162353294, 6113.770019512714, 5524.989099373562, 5599.007094328526, 6272.756933222272,1685.3430743210993,1911.551608133733,1752.032713671263,1704.0960212616656,1689.9691273110814,1752.032713671263, 0.356984, 0.652928, 0.496689, 0.315789, 0.496689,1685.3430743210993,1911.551608133733,1752.032713671263,1704.0960212616656,1689.9691273110814,1752.032713671263
s100,0,08,r02, 0, 0.33867336035483175, 0, 0.3339919751615871, 0, 0.3468558185021189, 0.003782505768267853, 0.27722663913025697, 0.2993057583986156, 0, 0.3385342835318991, 0,5645.745937192545, 5704.848538419916, 6305.97807833431, 6218.399928858029, 5496.199576721124, 5537.084598563628, 6058.851793090823,1636.4774095462683,1909.4532841507742,1773.0723841984732,1648.1790928145506,1632.5146600365927,1773.0723841984732, 0.357143, 0.675439, 0.528345, 0.291498, 0.528345,1636.4774095462683,1909.4532841507742,1773.0723841984732,1648.1790928145506,1632.5146600365927,1773.0723841984732
s100,0,08,r03, 0, 0.3596452458384919, 0, 0.3435910082390209, 0, 0.3758343461089256, 0, 0.292318284527013, 0.3090979207064773, 0, 0.37978999509182676, 0,5677.566323444344, 5850.991671233949, 6254.5509327409645, 6336.078045802558, 5520.898423563509, 5636.789879226965, 6260.148714878956,1773.3264630334772,1991.0040953662635,1826.3993429433776,1762.8887905689796,1773.875028985226,1826.3993429433776, 0.451613, 0.623377, 0.544248, 0.376518, 0.544248,1773.3264630334772,1991.0040953662635,1826.3993429433776,1762.8887905689796,1773.875028985226,1826.3993429433776
s100,0,08,r04, 0, 0.33660056485570367, 0, 0.31182654831333717, 0, 0.34916634210363934, 0, 0.2734263249074049, 0.28622531436614607, 0, 0.3464822326666194, 0,5739.0027803020575, 5901.961073715272, 6296.78562355123, 6176.097500247747, 5591.422081769077, 5661.167419148863, 6234.417379434821,1712.5378746348572,1941.7447387829575,1822.08813789533,1718.0551589619367,1716.1205530180573,1822.08813789533, 0.457778, 0.649891, 0.577273, 0.388664, 0.577273,1712.5378746348572,1941.7447387829575,1822.08813789533,1718.0551589619367,1716.1205530180573,1822.08813789533
