true_nu,true_phi,prioridx,rep,startle_phi,startle_nu,cassg_phi,cassg_nu,nj_phi,nj_nu,problin_nu,problin_phi
s0,100,01,r01, 0.25866447489875877, 7.305753511500927e-06, 0.2586598452644978, 2.0399710078655057e-05, 0.2586653380121209, 4.298162056967299e-06, 9.67260408669411e-06, 0.2586636597680107
s0,100,01,r02, 0.2578652445503409, 4.736139269209784e-06, 0.2578616507659485, 1.413734471594842e-05, 0.257865020846539, 4.945776954569835e-06, 5.905823531872377e-06, 0.2578647921023433
s0,100,01,r03, 0.25305713736768926, 2.7380852499049305e-05, 0.2512734649748352, 0.0044071319161376995, 0.2530658532527667, 2.6719404705664108e-06, 0.000178128056299885, 0.25299955634853555
s0,100,01,r04, 0.2535989466796387, 3.701699702605466e-06, 0.2535960356802727, 1.1328336644698557e-05, 0.25359872571367575, 3.8131696535454313e-06, 2.7938619229228528e-06, 0.2535992361195215
s0,100,01,r05, 0.253407364696746, 0.0031331907597339525, 0.25427956863736584, 0.0006668564823879741, 0.25451982023681435, 3.728319645616707e-05, 0.006817506009386573, 0.2519102396230344
s0,100,02,r01, 0.24785663873581457, 2.5732120084030387e-05, 0.24786169392133447, 1.3545061673976371e-05, 0.24786454895470447, 6.130480897508403e-06, 3.767679659106094e-05, 0.2478516647790874
s0,100,02,r02, 0.24893130357959065, 6.084844703444647e-06, 0.24893144923196944, 5.5486359852297536e-06, 0.24893275740001414, 1.816917792869704e-06, 1.1986091935125225e-05, 0.24892910086026446
s0,100,02,r03, 0.24580358962114893, 0.0001675154971670587, 0.245533812912309, 0.0008310158494751956, 0.24560740749093127, 0.0006421038494922899, 0.004603725004999822, 0.24402547890897203
s0,100,02,r04, 0.2519991082445141, 2.8905829323737565e-06, 0.25199494726608895, 1.3515370191039791e-05, 0.25199938290015855, 1.939005111271688e-06, 2.0996335550713765e-06, 0.2519993896198966
s0,100,02,r05, 0.24546529304915377, 4.483110338343122e-06, 0.24546478882729278, 5.733730040093788e-06, 0.24545502052528662, 3.188749826677523e-05, 3.6368681752249945e-06, 0.24546559347718372
s0,100,03,r01, 0.2565326634049778, 2.365186412134532e-06, 0.2565312699856775, 6.091051496626244e-06, 0.2565324466561242, 2.8249588051118846e-06, 3.1392155344187635e-06, 0.25653239898779967
s0,100,03,r02, 0.24986485062358624, 6.0410801735997345e-06, 0.2487381060451463, 0.003024916331995186, 0.24986428947949058, 7.0775119743572565e-06, 1.2980739842987532e-05, 0.24986244901389865
s0,100,03,r03, 0.24893180621653357, 4.68135646812048e-06, 0.24892966920464768, 1.023713486843062e-05, 0.24893250177188547, 2.6108872345692264e-06, 4.0696688339176095e-06, 0.24893203364013808
