Sample,TotalSeconds
s25d75p06_sub250_r04,15038.25
s25d75p06_sub250_r05,13400.68
s25d75p07_sub250_r01,22772.27
s25d75p07_sub250_r02,14905.16
s25d75p07_sub250_r03,
s25d75p07_sub250_r04,
s25d75p07_sub250_r05,42368.70
s25d75p08_sub250_r01,24364.35
s25d75p08_sub250_r02,
s25d75p08_sub250_r03,
s25d75p08_sub250_r04,22898.81
s25d75p08_sub250_r05,
s25d75p09_sub250_r01,
s25d75p09_sub250_r02,
s25d75p09_sub250_r03,
s25d75p09_sub250_r04,
s25d75p09_sub250_r05,12624.86
s25d75p10_sub250_r01,
s25d75p10_sub250_r02,
s25d75p10_sub250_r03,17369.50
s25d75p10_sub250_r04,21927.95
s25d75p10_sub250_r05,
s50d50p01_sub250_r01,13884.46
s50d50p01_sub250_r02,
s50d50p01_sub250_r03,
s50d50p01_sub250_r04,12904.69
s50d50p01_sub250_r05,
s50d50p02_sub250_r01,
s50d50p02_sub250_r02,
s50d50p02_sub250_r03,
s50d50p02_sub250_r04,
s50d50p02_sub250_r05,
s50d50p03_sub250_r01,14915.77
s50d50p03_sub250_r02,21475.17
s50d50p03_sub250_r03,
s50d50p03_sub250_r04,
s50d50p03_sub250_r05,14193.17
s50d50p04_sub250_r01,
s50d50p04_sub250_r02,
s50d50p04_sub250_r03,
s50d50p04_sub250_r04,
s50d50p04_sub250_r05,
s50d50p05_sub250_r01,
s50d50p05_sub250_r02,
s50d50p05_sub250_r03,
s50d50p05_sub250_r04,527154.17
s50d50p05_sub250_r05,13915.08
s50d50p06_sub250_r01,
s50d50p06_sub250_r02,
s50d50p06_sub250_r03,
s50d50p06_sub250_r04,
s50d50p06_sub250_r05,12697.44
s50d50p07_sub250_r01,
s50d50p07_sub250_r02,
s50d50p07_sub250_r03,
s50d50p07_sub250_r04,
s50d50p07_sub250_r05,
s50d50p08_sub250_r01,
s50d50p08_sub250_r02,
s50d50p08_sub250_r03,
s50d50p08_sub250_r04,
s50d50p08_sub250_r05,
s50d50p09_sub250_r01,
s50d50p09_sub250_r02,
s50d50p09_sub250_r03,
s50d50p09_sub250_r04,
s50d50p09_sub250_r05,
s50d50p10_sub250_r01,
s50d50p10_sub250_r02,
s50d50p10_sub250_r03,
s50d50p10_sub250_r04,
s50d50p10_sub250_r05,
s75d25p01_sub250_r01,
s75d25p01_sub250_r02,
s75d25p01_sub250_r03,
s75d25p01_sub250_r04,
s75d25p01_sub250_r05,
s75d25p02_sub250_r01,
s75d25p02_sub250_r02,12638.13
s75d25p02_sub250_r03,
s75d25p02_sub250_r04,
s75d25p02_sub250_r05,
s75d25p03_sub250_r01,
s75d25p03_sub250_r02,20656.83
s75d25p03_sub250_r03,18191.13
s75d25p03_sub250_r04,
s75d25p03_sub250_r05,13584.36
s75d25p04_sub250_r01,19093.69
s75d25p04_sub250_r02,
s75d25p04_sub250_r03,
s75d25p04_sub250_r04,
s75d25p04_sub250_r05,
s75d25p05_sub250_r01,
s75d25p05_sub250_r02,
s75d25p05_sub250_r03,
s75d25p05_sub250_r04,
s75d25p05_sub250_r05,
s75d25p06_sub250_r01,
s75d25p06_sub250_r02,
s75d25p06_sub250_r03,
