Method,Sample,Runtime,TotalSeconds
cassgreedy,s50d50p10_sub250_r02,0m16.681s,16.681
cassgreedy,s50d50p10_sub250_r03,0m16.681s,16.681
cassgreedy,s50d50p10_sub250_r04,0m16.683s,16.683
cassgreedy,s0d100p01_sub250_r02,1m14.516s,74.516
cassgreedy,s0d100p04_sub250_r05,1m17.635s,77.635
cassgreedy,s50d50p10_sub250_r05,0m16.676s,16.676
cassgreedy,s75d25p01_sub250_r01,0m16.688s,16.688
cassgreedy,s75d25p01_sub250_r02,0m16.681s,16.681
cassgreedy,s75d25p01_sub250_r03,0m16.688s,16.688
cassgreedy,s75d25p01_sub250_r04,0m16.680s,16.68
cassgreedy,s75d25p01_sub250_r05,0m16.684s,16.684
cassgreedy,s75d25p02_sub250_r01,0m59.367s,59.367
cassgreedy,s75d25p02_sub250_r02,0m59.367s,59.367
cassgreedy,s75d25p02_sub250_r03,0m59.361s,59.361
cassgreedy,s75d25p02_sub250_r04,0m59.357s,59.357
cassgreedy,s0d100p05_sub250_r01,1m17.635s,77.635
cassgreedy,s75d25p02_sub250_r05,0m59.314s,59.314
cassgreedy,s75d25p03_sub250_r01,0m59.367s,59.367
cassgreedy,s75d25p03_sub250_r02,0m59.331s,59.331
cassgreedy,s75d25p03_sub250_r03,0m59.348s,59.348
cassgreedy,s75d25p03_sub250_r04,0m59.347s,59.347
cassgreedy,s75d25p03_sub250_r05,0m59.331s,59.331
cassgreedy,s75d25p04_sub250_r01,0m59.368s,59.368
cassgreedy,s75d25p04_sub250_r02,0m59.334s,59.334
cassgreedy,s75d25p04_sub250_r03,0m59.326s,59.326
cassgreedy,s75d25p04_sub250_r04,0m59.326s,59.326
cassgreedy,s0d100p05_sub250_r02,1m17.620s,77.62
cassgreedy,s75d25p04_sub250_r05,0m59.332s,59.332
cassgreedy,s75d25p05_sub250_r01,0m59.326s,59.326
cassgreedy,s75d25p05_sub250_r02,0m59.326s,59.326
cassgreedy,s75d25p05_sub250_r03,0m59.326s,59.326
cassgreedy,s75d25p05_sub250_r04,0m59.326s,59.326
cassgreedy,s75d25p05_sub250_r05,0m59.326s,59.326
cassgreedy,s75d25p06_sub250_r01,0m55.367s,55.367
cassgreedy,s75d25p06_sub250_r02,0m55.365s,55.365
cassgreedy,s75d25p06_sub250_r03,0m55.365s,55.365
cassgreedy,s75d25p06_sub250_r04,0m55.365s,55.365
cassgreedy,s0d100p05_sub250_r03,1m17.632s,77.632
cassgreedy,s75d25p06_sub250_r05,0m55.365s,55.365
cassgreedy,s75d25p07_sub250_r01,0m55.355s,55.355
cassgreedy,s75d25p07_sub250_r02,0m55.365s,55.365
cassgreedy,s75d25p07_sub250_r03,0m55.328s,55.328
cassgreedy,s75d25p07_sub250_r04,0m55.353s,55.353
cassgreedy,s75d25p07_sub250_r05,0m55.365s,55.365
cassgreedy,s75d25p08_sub250_r01,0m55.355s,55.355
cassgreedy,s75d25p08_sub250_r02,0m55.354s,55.354
cassgreedy,s75d25p08_sub250_r03,0m55.353s,55.353
cassgreedy,s75d25p08_sub250_r04,0m55.354s,55.354
cassgreedy,s0d100p05_sub250_r04,1m17.623s,77.623
cassgreedy,s75d25p08_sub250_r05,0m55.354s,55.354
cassgreedy,s75d25p09_sub250_r01,0m55.355s,55.355
cassgreedy,s75d25p09_sub250_r02,0m55.355s,55.355
cassgreedy,s75d25p09_sub250_r03,0m55.366s,55.366
cassgreedy,s75d25p09_sub250_r04,0m55.366s,55.366
cassgreedy,s75d25p09_sub250_r05,0m55.352s,55.352
cassgreedy,s75d25p10_sub250_r01,0m7.348s,7.348
cassgreedy,s75d25p10_sub250_r02,0m7.372s,7.372
cassgreedy,s75d25p10_sub250_r03,0m7.351s,7.351
cassgreedy,s75d25p10_sub250_r04,0m7.355s,7.355
cassgreedy,s0d100p05_sub250_r05,1m17.634s,77.634
cassgreedy,s75d25p10_sub250_r05,0m7.354s,7.354
cassgreedy,s0d100p06_sub250_r01,1m17.618s,77.618
cassgreedy,s0d100p06_sub250_r02,1m17.618s,77.618
cassgreedy,s0d100p06_sub250_r03,1m17.633s,77.633
cassgreedy,s0d100p06_sub250_r04,1m17.617s,77.617
cassgreedy,s0d100p01_sub250_r03,1m14.503s,74.503
cassgreedy,s0d100p06_sub250_r05,1m17.621s,77.621
cassgreedy,s0d100p07_sub250_r01,1m17.620s,77.62
cassgreedy,s0d100p07_sub250_r02,1m17.626s,77.626
cassgreedy,s0d100p07_sub250_r03,1m17.620s,77.62
cassgreedy,s0d100p07_sub250_r04,1m17.613s,77.613
cassgreedy,s0d100p07_sub250_r05,1m17.620s,77.62
cassgreedy,s0d100p08_sub250_r01,1m17.630s,77.63
cassgreedy,s0d100p08_sub250_r02,1m17.616s,77.616
cassgreedy,s0d100p08_sub250_r03,0m46.502s,46.502
cassgreedy,s0d100p08_sub250_r04,0m46.498s,46.498
cassgreedy,s0d100p01_sub250_r04,1m14.516s,74.516
cassgreedy,s0d100p08_sub250_r05,0m46.491s,46.491
cassgreedy,s0d100p09_sub250_r01,0m46.495s,46.495
cassgreedy,s0d100p09_sub250_r02,0m46.498s,46.498
cassgreedy,s0d100p09_sub250_r03,0m46.502s,46.502
cassgreedy,s0d100p09_sub250_r04,0m46.501s,46.501
cassgreedy,s0d100p09_sub250_r05,0m46.502s,46.502
cassgreedy,s0d100p10_sub250_r01,1m9.137s,69.137
cassgreedy,s0d100p10_sub250_r02,1m9.109s,69.109
cassgreedy,s0d100p10_sub250_r03,1m9.176s,69.176
cassgreedy,s0d100p10_sub250_r04,1m9.127s,69.127
cassgreedy,s0d100p01_sub250_r05,1m14.507s,74.507
cassgreedy,s0d100p10_sub250_r05,1m9.098s,69.098
cassgreedy,s100d0p01_sub250_r01,1m9.176s,69.176
cassgreedy,s100d0p01_sub250_r02,1m9.091s,69.091
cassgreedy,s100d0p01_sub250_r03,1m9.110s,69.11
cassgreedy,s100d0p01_sub250_r04,1m9.174s,69.174
cassgreedy,s100d0p01_sub250_r05,1m9.113s,69.113
cassgreedy,s100d0p02_sub250_r01,1m9.091s,69.091
cassgreedy,s100d0p02_sub250_r02,1m9.104s,69.104
cassgreedy,s100d0p02_sub250_r03,1m9.086s,69.086
cassgreedy,s100d0p02_sub250_r04,1m9.081s,69.081
cassgreedy,s0d100p02_sub250_r01,1m14.485s,74.485
cassgreedy,s100d0p02_sub250_r05,1m9.080s,69.08
cassgreedy,s100d0p03_sub250_r01,1m9.081s,69.081
cassgreedy,s100d0p03_sub250_r02,1m9.080s,69.08
cassgreedy,s100d0p03_sub250_r03,1m9.153s,69.153
cassgreedy,s100d0p03_sub250_r04,1m9.081s,69.081
cassgreedy,s100d0p03_sub250_r05,1m9.053s,69.053
cassgreedy,s100d0p04_sub250_r01,1m9.080s,69.08
cassgreedy,s100d0p04_sub250_r02,1m9.091s,69.091
cassgreedy,s100d0p04_sub250_r03,1m9.080s,69.08
cassgreedy,s100d0p04_sub250_r04,1m9.080s,69.08
cassgreedy,s0d100p02_sub250_r02,1m14.506s,74.506
cassgreedy,s100d0p04_sub250_r05,1m0.809s,60.809
cassgreedy,s100d0p05_sub250_r01,1m0.794s,60.794
cassgreedy,s100d0p05_sub250_r02,1m0.764s,60.764
cassgreedy,s100d0p05_sub250_r03,1m0.790s,60.79
cassgreedy,s100d0p05_sub250_r04,1m0.792s,60.792
cassgreedy,s100d0p05_sub250_r05,1m0.809s,60.809
cassgreedy,s100d0p06_sub250_r01,1m0.791s,60.791
cassgreedy,s100d0p06_sub250_r02,1m0.794s,60.794
cassgreedy,s100d0p06_sub250_r03,1m0.796s,60.796
cassgreedy,s100d0p06_sub250_r04,1m0.791s,60.791
cassgreedy,s0d100p02_sub250_r03,1m14.504s,74.504
cassgreedy,s100d0p06_sub250_r05,1m0.791s,60.791
cassgreedy,s100d0p07_sub250_r01,1m0.794s,60.794
cassgreedy,s100d0p07_sub250_r02,1m0.810s,60.81
cassgreedy,s100d0p07_sub250_r03,1m0.793s,60.793
cassgreedy,s100d0p07_sub250_r04,1m0.797s,60.797
cassgreedy,s100d0p07_sub250_r05,1m0.797s,60.797
cassgreedy,s100d0p08_sub250_r01,1m0.794s,60.794
cassgreedy,s100d0p08_sub250_r02,1m0.794s,60.794
cassgreedy,s100d0p08_sub250_r03,1m0.792s,60.792
cassgreedy,s100d0p08_sub250_r04,1m0.810s,60.81
cassgreedy,s0d100p02_sub250_r04,1m14.504s,74.504
cassgreedy,s100d0p08_sub250_r05,1m0.792s,60.792
cassgreedy,s100d0p09_sub250_r01,1m0.791s,60.791
cassgreedy,s100d0p09_sub250_r02,1m0.792s,60.792
cassgreedy,s100d0p09_sub250_r03,1m0.794s,60.794
cassgreedy,s100d0p09_sub250_r04,1m11.820s,71.82
cassgreedy,s100d0p09_sub250_r05,1m11.820s,71.82
