Method,Sample,Runtime,TotalSeconds
scmail,s100d0p01_sub250_r01,59m18.450s,3558.45
scmail,s100d0p01_sub250_r02,94m55.971s,5695.97
scmail,s100d0p01_sub250_r03,167m10.642s,10030.6
scmail,s100d0p01_sub250_r04,144m21.646s,8661.65
scmail,s100d0p01_sub250_r05,88m17.327s,5297.33
scmail,s100d0p02_sub250_r01,37m19.768s,2239.77
scmail,s100d0p02_sub250_r02,160m32.279s,9632.28
scmail,s100d0p02_sub250_r03,95m5.790s,5705.79
scmail,s100d0p02_sub250_r04,55m55.494s,3355.49
scmail,s0d100p02_sub250_r01,66m21.424s,3981.42
scmail,s100d0p02_sub250_r05,172m14.434s,10334.4
scmail,s100d0p03_sub250_r01,91m47.299s,5507.3
scmail,s100d0p03_sub250_r02,65m33.491s,3933.49
scmail,s100d0p03_sub250_r03,152m16.984s,9136.98
scmail,s100d0p03_sub250_r04,81m48.296s,4908.3
scmail,s100d0p03_sub250_r05,84m52.548s,5092.55
scmail,s100d0p04_sub250_r01,75m2.308s,4502.31
scmail,s100d0p04_sub250_r02,116m49.560s,7009.56
scmail,s100d0p04_sub250_r03,104m39.198s,6279.2
scmail,s100d0p04_sub250_r04,126m47.487s,7607.49
scmail,s0d100p02_sub250_r02,68m26.958s,4106.96
scmail,s100d0p04_sub250_r05,195m33.202s,11733.2
scmail,s100d0p05_sub250_r01,238m55.908s,14335.9
scmail,s100d0p05_sub250_r02,191m36.757s,11496.8
scmail,s100d0p05_sub250_r03,51m2.889s,3062.89
scmail,s100d0p05_sub250_r04,55m36.726s,3336.73
scmail,s100d0p05_sub250_r05,141m10.423s,8470.42
scmail,s100d0p06_sub250_r01,105m11.662s,6311.66
scmail,s100d0p06_sub250_r02,65m2.081s,3902.08
scmail,s100d0p06_sub250_r03,93m42.185s,5622.19
scmail,s100d0p06_sub250_r04,120m35.782s,7235.78
scmail,s0d100p02_sub250_r03,43m31.817s,2611.82
scmail,s100d0p06_sub250_r05,104m51.838s,6291.84
scmail,s100d0p07_sub250_r01,76m55.881s,4615.88
scmail,s100d0p07_sub250_r02,167m48.634s,10068.6
scmail,s100d0p07_sub250_r03,267m54.715s,16074.7
scmail,s100d0p07_sub250_r04,84m38.442s,5078.44
scmail,s100d0p07_sub250_r05,132m8.841s,7928.84
scmail,s100d0p08_sub250_r01,71m20.172s,4280.17
scmail,s100d0p08_sub250_r02,98m10.583s,5890.58
scmail,s100d0p08_sub250_r03,61m44.292s,3704.29
scmail,s100d0p08_sub250_r04,121m9.021s,7269.02
scmail,s0d100p02_sub250_r04,33m59.945s,2039.94
scmail,s100d0p08_sub250_r05,33m13.319s,1993.32
scmail,s100d0p09_sub250_r01,51m24.906s,3084.91
scmail,s100d0p09_sub250_r02,73m30.921s,4410.92
scmail,s100d0p09_sub250_r03,219m42.042s,13182
scmail,s100d0p09_sub250_r04,274m47.882s,16487.9
scmail,s100d0p09_sub250_r05,127m46.422s,7666.42
scmail,s100d0p10_sub250_r01,118m51.712s,7131.71
scmail,s100d0p10_sub250_r02,235m37.890s,14137.9
scmail,s100d0p10_sub250_r03,104m46.444s,6286.44
scmail,s100d0p10_sub250_r04,207m21.308s,12441.3
startle,s0d100p01_sub250_r01,226m39.895s,13599.9
startle,s0d100p02_sub250_r05,190m49.787s,11449.8
startle,s100d0p10_sub250_r05,110m34.238s,6634.24
startle,s25d75p01_sub250_r01,174m17.528s,10457.5
startle,s25d75p01_sub250_r02,301m30.878s,18090.9
startle,s25d75p01_sub250_r03,335m34.802s,20134.8
startle,s25d75p01_sub250_r04,369m30.941s,22170.9
startle,s25d75p01_sub250_r05,316m18.423s,18978.4
startle,s25d75p02_sub250_r01,206m52.131s,12412.1
startle,s25d75p02_sub250_r02,251m25.848s,15085.8
startle,s25d75p02_sub250_r03,231m34.658s,13894.7
startle,s25d75p02_sub250_r04,247m36.048s,14856
startle,s0d100p03_sub250_r01,360m12.767s,21612.8
startle,s25d75p02_sub250_r05,154m19.757s,9259.76
startle,s25d75p03_sub250_r01,259m1.203s,15541.2
startle,s25d75p03_sub250_r02,133m18.318s,7998.32
startle,s25d75p03_sub250_r03,205m57.673s,12357.7
startle,s25d75p03_sub250_r04,141m23.002s,8483
startle,s25d75p03_sub250_r05,230m56.131s,13856.1
startle,s25d75p04_sub250_r01,200m57.988s,12058
startle,s25d75p04_sub250_r02,218m19.585s,13099.6
startle,s25d75p04_sub250_r03,368m20.992s,22101
startle,s25d75p04_sub250_r04,407m52.893s,24472.9
startle,s0d100p03_sub250_r02,321m51.044s,19311
startle,s25d75p04_sub250_r05,171m33.347s,10293.3
startle,s25d75p05_sub250_r01,270m21.180s,16221.2
startle,s25d75p05_sub250_r02,186m44.426s,11204.4
startle,s25d75p05_sub250_r03,321m48.801s,19308.8
startle,s25d75p05_sub250_r04,331m49.381s,19909.4
startle,s25d75p05_sub250_r05,270m48.626s,16248.6
startle,s25d75p06_sub250_r01,224m37.191s,13477.2
startle,s25d75p06_sub250_r02,270m9.841s,16209.8
startle,s25d75p06_sub250_r03,328m59.030s,19739
startle,s25d75p06_sub250_r04,250m41.950s,15042
startle,s0d100p03_sub250_r03,265m43.841s,15943.8
startle,s25d75p06_sub250_r05,213m46.967s,12827
startle,s25d75p07_sub250_r01,226m48.289s,13608.3
startle,s25d75p07_sub250_r02,256m9.131s,15369.1
startle,s25d75p07_sub250_r03,316m46.979s,19007
startle,s25d75p07_sub250_r04,333m32.218s,20012.2
startle,s25d75p07_sub250_r05,337m0.945s,20220.9
startle,s25d75p08_sub250_r01,203m17.781s,12197.8
startle,s25d75p08_sub250_r02,154m14.101s,9254.1
startle,s25d75p08_sub250_r03,139m48.358s,8388.36
startle,s25d75p08_sub250_r04,198m26.908s,11906.9
startle,s0d100p03_sub250_r04,252m48.482s,15168.5
startle,s25d75p08_sub250_r05,176m21.505s,10581.5
startle,s25d75p09_sub250_r01,181m26.802s,10886.8
startle,s25d75p09_sub250_r02,157m42.209s,9462.21
startle,s25d75p09_sub250_r03,127m4.046s,7624.05
startle,s25d75p09_sub250_r04,261m11.729s,15671.7
startle,s25d75p09_sub250_r05,144m23.932s,8663.93
startle,s25d75p10_sub250_r01,178m24.034s,10704
startle,s25d75p10_sub250_r02,148m47.535s,8927.53
startle,s25d75p10_sub250_r03,148m25.591s,8905.59
startle,s25d75p10_sub250_r04,332m4.238s,19924.2
startle,s0d100p03_sub250_r05,350m52.567s,21052.6
startle,s25d75p10_sub250_r05,311m43.749s,18703.7
startle,s50d50p01_sub250_r01,273m16.895s,16396.9
startle,s50d50p01_sub250_r02,248m7.165s,14887.2
startle,s50d50p01_sub250_r03,175m30.209s,10530.2
startle,s50d50p01_sub250_r04,220m45.516s,13245.5
startle,s50d50p01_sub250_r05,319m44.366s,19184.4
startle,s50d50p02_sub250_r01,274m55.393s,16495.4
startle,s50d50p02_sub250_r02,275m39.574s,16539.6
startle,s50d50p02_sub250_r03,228m53.230s,13733.2
startle,s50d50p02_sub250_r04,97m20.308s,5840.31
startle,s0d100p04_sub250_r01,233m6.172s,13986.2
startle,s50d50p02_sub250_r05,180m49.653s,10849.7
startle,s50d50p03_sub250_r01,240m30.793s,14430.8
startle,s50d50p03_sub250_r02,179m26.197s,10766.2
startle,s50d50p03_sub250_r03,194m20.481s,11660.5
startle,s50d50p03_sub250_r04,256m56.916s,15416.9
startle,s50d50p03_sub250_r05,257m29.493s,15449.5
startle,s50d50p04_sub250_r01,279m55.539s,16795.5
startle,s50d50p04_sub250_r02,176m50.256s,10610.3
startle,s50d50p04_sub250_r03,132m4.808s,7924.81
startle,s50d50p04_sub250_r04,245m3.075s,14703.1
startle,s0d100p04_sub250_r02,335m3.325s,20103.3
startle,s50d50p04_sub250_r05,306m48.868s,18408.9
startle,s50d50p05_sub250_r01,138m54.121s,8334.12
startle,s50d50p05_sub250_r02,184m50.914s,11090.9
startle,s50d50p05_sub250_r03,195m44.440s,11744.4
startle,s50d50p05_sub250_r04,379m38.421s,22778.4
startle,s50d50p05_sub250_r05,196m8.165s,11768.2
startle,s50d50p06_sub250_r01,253m11.018s,15191
startle,s50d50p06_sub250_r02,221m31.969s,13292
startle,s50d50p06_sub250_r03,281m11.560s,16871.6
startle,s50d50p06_sub250_r04,228m57.228s,13737.2
startle,s0d100p04_sub250_r03,255m51.492s,15351.5
startle,s50d50p06_sub250_r05,220m25.147s,13225.1
startle,s50d50p07_sub250_r01,353m44.925s,21224.9
startle,s50d50p07_sub250_r02,188m43.102s,11323.1
startle,s50d50p07_sub250_r03,152m9.616s,9129.62
startle,s50d50p07_sub250_r04,256m8.840s,15368.8
startle,s50d50p07_sub250_r05,143m57.064s,8637.06
startle,s50d50p08_sub250_r01,214m22.261s,12862.3
startle,s50d50p08_sub250_r02,231m24.443s,13884.4
startle,s50d50p08_sub250_r03,146m49.528s,8809.53
startle,s50d50p08_sub250_r04,221m15.360s,13275.4
startle,s0d100p04_sub250_r04,348m49.918s,20929.9
startle,s50d50p08_sub250_r05,216m28.489s,12988.5
startle,s50d50p09_sub250_r01,259m58.155s,15598.2
startle,s50d50p09_sub250_r02,282m37.953s,16958
startle,s50d50p09_sub250_r03,316m51.801s,19011.8
startle,s50d50p09_sub250_r04,169m24.968s,10165
startle,s50d50p09_sub250_r05,261m2.704s,15662.7
startle,s50d50p10_sub250_r01,173m15.011s,10395
startle,s50d50p10_sub250_r02,175m44.778s,10544.8
startle,s50d50p10_sub250_r03,342m46.843s,20566.8
startle,s50d50p10_sub250_r04,207m57.922s,12477.9
startle,s0d100p01_sub250_r02,173m54.173s,10434.2
startle,s0d100p04_sub250_r05,393m13.791s,23593.8
startle,s50d50p10_sub250_r05,167m15.296s,10035.3
startle,s75d25p01_sub250_r01,187m4.157s,11224.2
startle,s75d25p01_sub250_r02,303m46.559s,18226.6
startle,s75d25p01_sub250_r03,162m38.277s,9758.28
startle,s75d25p01_sub250_r04,264m16.489s,15856.5
startle,s75d25p01_sub250_r05,173m5.392s,10385.4
startle,s75d25p02_sub250_r01,226m2.723s,13562.7
startle,s75d25p02_sub250_r02,180m32.212s,10832.2
startle,s75d25p02_sub250_r03,237m11.277s,14231.3
startle,s75d25p02_sub250_r04,164m31.796s,9871.8
startle,s0d100p05_sub250_r01,408m39.134s,24519.1
startle,s75d25p02_sub250_r05,124m44.412s,7484.41
startle,s75d25p03_sub250_r01,160m44.504s,9644.5
startle,s75d25p03_sub250_r02,171m55.577s,10315.6
startle,s75d25p03_sub250_r03,349m2.130s,20942.1
startle,s75d25p03_sub250_r04,210m11.818s,12611.8
startle,s75d25p03_sub250_r05,185m29.231s,11129.2
startle,s75d25p04_sub250_r01,263m2.667s,15782.7
startle,s75d25p04_sub250_r02,197m40.675s,11860.7
startle,s75d25p04_sub250_r03,157m33.661s,9453.66
startle,s75d25p04_sub250_r04,342m41.486s,20561.5
startle,s0d100p05_sub250_r02,535m42.696s,32142.7
startle,s75d25p04_sub250_r05,88m7.094s,5287.09
startle,s75d25p05_sub250_r01,170m32.963s,10233
startle,s75d25p05_sub250_r02,195m44.243s,11744.2
startle,s75d25p05_sub250_r03,121m10.294s,7270.29
startle,s75d25p05_sub250_r04,400m5.845s,24005.8
startle,s75d25p05_sub250_r05,239m46.416s,14386.4
startle,s75d25p06_sub250_r01,115m12.776s,6912.78
startle,s75d25p06_sub250_r02,241m33.267s,14493.3
startle,s75d25p06_sub250_r03,172m37.867s,10357.9
startle,s75d25p06_sub250_r04,205m41.134s,12341.1
startle,s0d100p05_sub250_r03,338m9.815s,20289.8
startle,s75d25p06_sub250_r05,246m35.661s,14795.7
startle,s75d25p07_sub250_r01,350m8.533s,21008.5
startle,s75d25p07_sub250_r02,181m50.766s,10910.8
startle,s75d25p07_sub250_r03,155m38.881s,9338.88
startle,s75d25p07_sub250_r04,192m18.010s,11538
startle,s75d25p07_sub250_r05,191m36.137s,11496.1
startle,s75d25p08_sub250_r01,232m22.142s,13942.1
startle,s75d25p08_sub250_r02,237m11.452s,14231.5
startle,s75d25p08_sub250_r03,212m32.343s,12752.3
startle,s75d25p08_sub250_r04,317m10.550s,19030.5
startle,s0d100p05_sub250_r04,299m14.868s,17954.9
startle,s75d25p08_sub250_r05,98m42.870s,5922.87
startle,s75d25p09_sub250_r01,226m27.585s,13587.6
startle,s75d25p09_sub250_r02,153m44.183s,9224.18
startle,s75d25p09_sub250_r03,198m51.646s,11931.6
startle,s75d25p09_sub250_r04,374m55.297s,22495.3
startle,s75d25p09_sub250_r05,198m4.635s,11884.6
startle,s75d25p10_sub250_r01,263m44.728s,15824.7
startle,s75d25p10_sub250_r02,342m49.733s,20569.7
startle,s75d25p10_sub250_r03,302m0.106s,18120.1
startle,s75d25p10_sub250_r04,195m57.253s,11757.3
startle,s0d100p05_sub250_r05,359m50.249s,21590.2
startle,s75d25p10_sub250_r05,239m12.744s,14352.7
startle,s0d100p06_sub250_r01,260m26.694s,15626.7
startle,s0d100p06_sub250_r02,291m39.120s,17499.1
startle,s0d100p06_sub250_r03,277m41.350s,16661.3
startle,s0d100p06_sub250_r04,219m50.648s,13190.6
startle,s0d100p01_sub250_r03,516m1.226s,30961.2
startle,s0d100p06_sub250_r05,322m25.540s,19345.5
startle,s0d100p07_sub250_r01,357m15.151s,21435.2
startle,s0d100p07_sub250_r02,194m31.631s,11671.6
startle,s0d100p07_sub250_r03,223m35.475s,13415.5
startle,s0d100p07_sub250_r04,254m48.071s,15288.1
startle,s0d100p07_sub250_r05,241m9.896s,14469.9
startle,s0d100p08_sub250_r01,178m46.871s,10726.9
startle,s0d100p08_sub250_r02,249m57.100s,14997.1
startle,s0d100p08_sub250_r03,227m16.085s,13636.1
startle,s0d100p08_sub250_r04,278m39.367s,16719.4
startle,s0d100p01_sub250_r04,297m7.901s,17827.9
startle,s0d100p08_sub250_r05,269m16.411s,16156.4
startle,s0d100p09_sub250_r01,219m51.709s,13191.7
startle,s0d100p09_sub250_r02,355m13.776s,21313.8
startle,s0d100p09_sub250_r03,235m18.166s,14118.2
startle,s0d100p09_sub250_r04,329m1.569s,19741.6
startle,s0d100p09_sub250_r05,378m36.750s,22716.8
startle,s0d100p10_sub250_r01,384m33.504s,23073.5
startle,s0d100p10_sub250_r02,301m35.496s,18095.5
startle,s0d100p10_sub250_r03,258m56.800s,15536.8
startle,s0d100p10_sub250_r04,320m30.973s,19231
startle,s0d100p01_sub250_r05,266m54.720s,16014.7
startle,s0d100p10_sub250_r05,300m26.494s,18026.5
startle,s100d0p01_sub250_r01,157m26.829s,9446.83
startle,s100d0p01_sub250_r02,215m41.199s,12941.2
startle,s100d0p01_sub250_r03,200m2.258s,12002.3
startle,s100d0p01_sub250_r04,221m30.616s,13290.6
startle,s100d0p01_sub250_r05,214m36.200s,12876.2
startle,s100d0p02_sub250_r01,293m9.793s,17589.8
startle,s100d0p02_sub250_r02,206m39.469s,12399.5
startle,s100d0p02_sub250_r03,295m20.840s,17720.8
startle,s100d0p02_sub250_r04,233m36.676s,14016.7
startle,s0d100p02_sub250_r01,377m41.731s,22661.7
startle,s100d0p02_sub250_r05,200m6.088s,12006.1
startle,s100d0p03_sub250_r01,123m12.897s,7392.9
startle,s100d0p03_sub250_r02,206m51.285s,12411.3
startle,s100d0p03_sub250_r03,142m7.735s,8527.74
startle,s100d0p03_sub250_r04,171m50.665s,10310.7
startle,s100d0p03_sub250_r05,234m37.502s,14077.5
startle,s100d0p04_sub250_r01,161m1.222s,9661.22
startle,s100d0p04_sub250_r02,223m14.209s,13394.2
startle,s100d0p04_sub250_r03,172m49.395s,10369.4
startle,s100d0p04_sub250_r04,229m13.560s,13753.6
startle,s0d100p02_sub250_r02,485m51.633s,29151.6
startle,s100d0p04_sub250_r05,217m25.493s,13045.5
startle,s100d0p05_sub250_r01,175m18.490s,10518.5
startle,s100d0p05_sub250_r02,176m34.751s,10594.8
startle,s100d0p05_sub250_r03,221m15.569s,13275.6
startle,s100d0p05_sub250_r04,358m37.607s,21517.6
startle,s100d0p05_sub250_r05,319m22.419s,19162.4
startle,s100d0p06_sub250_r01,229m41.477s,13781.5
startle,s100d0p06_sub250_r02,370m25.358s,22225.4
startle,s100d0p06_sub250_r03,160m55.713s,9655.71
startle,s100d0p06_sub250_r04,320m33.202s,19233.2
startle,s0d100p02_sub250_r03,250m14.519s,15014.5
startle,s100d0p06_sub250_r05,125m5.425s,7505.43
startle,s100d0p07_sub250_r01,232m20.228s,13940.2
startle,s100d0p07_sub250_r02,293m16.372s,17596.4
startle,s100d0p07_sub250_r03,482m22.693s,28942.7
startle,s100d0p07_sub250_r04,390m50.368s,23450.4
startle,s100d0p07_sub250_r05,314m58.819s,18898.8
startle,s100d0p08_sub250_r01,297m2.937s,17822.9
startle,s100d0p08_sub250_r02,204m25.183s,12265.2
startle,s100d0p08_sub250_r03,275m11.305s,16511.3
startle,s100d0p08_sub250_r04,225m27.399s,13527.4
startle,s0d100p02_sub250_r04,326m6.631s,19566.6
startle,s100d0p08_sub250_r05,286m59.380s,17219.4
startle,s100d0p09_sub250_r01,361m57.703s,21717.7
startle,s100d0p09_sub250_r02,418m37.567s,25117.6
startle,s100d0p09_sub250_r03,162m20.626s,9740.63
startle,s100d0p09_sub250_r04,208m54.844s,12534.8
startle,s100d0p09_sub250_r05,165m4.624s,9904.62
startle,s100d0p10_sub250_r01,239m28.010s,14368
startle,s100d0p10_sub250_r02,260m3.904s,15603.9
startle,s100d0p10_sub250_r03,200m50.573s,12050.6
startle,s100d0p10_sub250_r04,211m7.810s,12667.8
