branch_length,epoch
0.19311067051961742,Primary Growth
0.005,Primary Growth
0.005,Primary Growth
0.3843457381117571,Metastasis
0.1260013610013078,Primary Growth
0.004999999999999999,Primary Growth
1.086034074712329,Late Metastasis
1.086034074712329,Late Metastasis
0.12719259066899338,Primary Growth
0.11317298282909295,Primary Growth
0.005000000000000001,Primary Growth
0.005003527152143583,Late Metastasis
0.005003527152143583,Metastasis Burst
0.5213270633349785,Late Metastasis
0.10509185598437326,Primary Growth
0.00500159108757936,Metastasis
0.007834202777416116,Primary Growth
0.005000000000000001,Primary Growth
0.0732079371446571,Primary Growth
0.005000661274110474,Late Metastasis
0.005000661274110474,Metastasis Burst
0.5163235361828349,Late Metastasis
0.4780742944895765,Metastasis
0.005003062943566894,Late Metastasis
0.20071095764035118,Late Metastasis
0.6801604280484297,Metastasis
0.7225090274254626,Metastasis
0.00656203629714415,Primary Growth
0.3426195061621374,Primary Growth
0.0050000000000000044,Primary Growth
0.5113228749087244,Late Metastasis
0.5113228749087244,Late Metastasis
0.28555041529177094,Metastasis
0.18580159954465525,Metastasis
0.2852010105381234,Metastasis
0.2803778851628249,Metastasis
0.33204619641926136,Metastasis
0.7242618677351027,Late Metastasis
0.7242618677351027,Late Metastasis
0.0050023568536370355,Late Metastasis
0.4303845024301629,Late Metastasis
1.2281683042111753,Late Metastasis
0.005001627064304959,Late Metastasis
1.032460409514391,Late Metastasis
1.032460409514391,Late Metastasis
0.005001037309235401,Metastasis
0.11033461538144929,Metastasis
0.15960905777811843,Primary Growth
0.08608758212655923,Primary Growth
0.0050000000000000044,Primary Growth
0.005212074003579037,Late Metastasis
0.010217278583303457,Late Metastasis
0.10762271239221477,Metastasis
0.1687737769662625,Metastasis
0.15148551889898143,Metastasis
0.005000371986231822,Metastasis
0.8868462772526149,Late Metastasis
0.8868462772526149,Late Metastasis
0.45145265055686945,Late Metastasis
0.4614641296781903,Late Metastasis
0.005002804407985506,Late Metastasis
0.7829404131514657,Late Metastasis
0.6852101671317647,Late Metastasis
0.6852101671317647,Late Metastasis
0.588123974618552,Metastasis
0.09826523963712627,Primary Growth
0.09456162837721416,Metastasis
0.005028526778994902,Metastasis
0.005187214813587859,Metastasis
0.0050000000000000044,Metastasis
0.636907153730045,Late Metastasis
0.005002457129147597,Late Metastasis
0.005002457129147597,Metastasis Burst
0.9812645746834245,Late Metastasis
0.36618630495517035,Late Metastasis
0.0050016774434142874,Late Metastasis
0.010011479121320832,Late Metastasis
0.46636872873524426,Late Metastasis
1.2181638554763912,Late Metastasis
0.4402262597472695,Late Metastasis
0.4402262597472695,Late Metastasis
0.3639246239654965,Late Metastasis
0.9007965302098002,Late Metastasis
0.009369796126258212,Late Metastasis
0.009369796126258212,Metastasis Burst
0.5083592643705894,Late Metastasis
0.5951749150739629,Metastasis
0.42581986508877484,Metastasis
0.09947074293105412,Primary Growth
0.0050000000000000044,Metastasis
0.37274145527453084,Metastasis
0.005001065579431918,Metastasis
0.005006659494547039,Late Metastasis
0.893743791190347,Late Metastasis
1.1128755454564736,Late Metastasis
0.5639869892684675,Late Metastasis
0.0050000000000000044,Metastasis
0.005131773730306266,Late Metastasis
0.005131773730306266,Metastasis Burst
0.3204917578060482,Late Metastasis
0.3204917578060482,Metastasis Burst
0.2874821263140739,Late Metastasis
0.2874821263140739,Metastasis Burst
0.0050117461982144285,Late Metastasis
0.0050117461982144285,Metastasis Burst
0.11897828455760373,Late Metastasis
0.751795135643273,Late Metastasis
0.005000617467835644,Late Metastasis
1.1376903782638967,Late Metastasis
0.005003026622520945,Late Metastasis
0.005003026622520945,Metastasis Burst
0.5368719062443037,Late Metastasis
0.49398543431883324,Late Metastasis
0.005000404891122745,Late Metastasis
0.005000404891122745,Metastasis Burst
0.005000533666622897,Metastasis
0.009292559096859443,Metastasis
0.2632157671663742,Metastasis
0.10411422024592998,Primary Growth
0.005002273153127068,Metastasis
0.0050000000000000044,Metastasis
0.005010762357728904,Late Metastasis
0.005010762357728904,Metastasis Burst
0.005038671827417351,Late Metastasis
0.005038671827417351,Metastasis Burst
0.005006170117716202,Metastasis
0.0050008946515496255,Metastasis
0.27909229354016074,Metastasis
0.005029295576432835,Late Metastasis
0.7780660180927366,Late Metastasis
0.005003159672930302,Late Metastasis
0.8887371227644252,Late Metastasis
0.5417867401894245,Late Metastasis
0.5488885561880061,Late Metastasis
0.8598543950879913,Late Metastasis
0.00500288366849122,Late Metastasis
0.0050000000000000044,Metastasis
0.0052154013758094475,Late Metastasis
0.0052154013758094475,Metastasis Burst
0.6267730544255377,Late Metastasis
0.311408891152293,Late Metastasis
0.3164153811594086,Late Metastasis
0.32759614341418075,Late Metastasis
0.3225960022518888,Late Metastasis
0.6050644263062777,Late Metastasis
0.005011833695967471,Late Metastasis
0.005011833695967471,Metastasis Burst
0.005334944985092571,Late Metastasis
0.005334944985092571,Metastasis Burst
0.6328168510856693,Late Metastasis
0.26651184685575013,Late Metastasis
0.7511061190796802,Late Metastasis
0.5318688796217828,Late Metastasis
0.5243530219812071,Late Metastasis
0.49398906335320847,Late Metastasis
0.49398906335320847,Late Metastasis
0.011208893042943924,Late Metastasis
0.011208893042943924,Late Metastasis
0.9038896615549767,Late Metastasis
0.005004075520404605,Late Metastasis
0.005002815814168615,Metastasis
0.0050000000000000044,Metastasis
0.005018336324922323,Late Metastasis
0.005018336324922323,Metastasis Burst
0.6723607906102294,Late Metastasis
0.6723328821591226,Late Metastasis
0.6723328821591226,Late Metastasis
0.0050022855553106815,Metastasis
0.005001109212403043,Metastasis
0.25331881604153983,Metastasis
0.005004656000586527,Late Metastasis
0.5138415586475331,Late Metastasis
0.8787234809057285,Late Metastasis
0.8837339630914949,Late Metastasis
0.0071018159985811735,Late Metastasis
0.0071018159985811735,Late Metastasis
0.8498418467469944,Late Metastasis
0.8548515114195001,Late Metastasis
0.005001016218076693,Late Metastasis
0.005002194082269762,Late Metastasis
0.005002253436976134,Metastasis
0.0050000000000000044,Metastasis
0.04726352960163682,Late Metastasis
0.04726352960163682,Metastasis Burst
0.6215577492005098,Late Metastasis
0.005015365879623479,Late Metastasis
0.005015365879623479,Metastasis Burst
0.6050546732857869,Late Metastasis
0.6274819061005767,Late Metastasis
0.6274819061005767,Late Metastasis
0.005001171311246999,Late Metastasis
0.8661779167261874,Late Metastasis
0.38158363568185694,Late Metastasis
0.38158363568185694,Late Metastasis
0.007515857640575607,Late Metastasis
0.007515857640575607,Late Metastasis
0.7494317966623227,Late Metastasis
0.005006322856837775,Late Metastasis
0.7381150662668821,Late Metastasis
0.7381150662668821,Late Metastasis
0.005009376067402149,Late Metastasis
0.8988855863650766,Late Metastasis
0.005004782198190005,Late Metastasis
0.29080501018827953,Late Metastasis
0.0050008472173060925,Metastasis
0.14467545272108673,Metastasis
0.12305372723007102,Metastasis
0.005000265172448781,Metastasis
0.20409067299740924,Late Metastasis
0.0050148151476121505,Late Metastasis
0.0050000000000000044,Metastasis
0.667342454285307,Late Metastasis
0.667342454285307,Late Metastasis
0.005009837065646616,Metastasis
0.005003425073346168,Metastasis
0.19241610280479715,Metastasis
0.005004225967760956,Late Metastasis
0.34802342290277655,Late Metastasis
