m_prop,p_rep,rep,modelcond,method,rf
m0,04,01,s50d50,cassgreedy,0.330233
m0,04,01,s50d50,casshybrid,0.257642
m0,04,01,s50d50,startle,0.251012
m0,04,01,s50d50,laml,0.250505
m0,04,02,s50d50,cassgreedy,0.271889
m0,04,02,s50d50,casshybrid,0.211454
m0,04,02,s50d50,startle,0.271255
m0,04,02,s50d50,laml,0.278788
m0,04,03,s50d50,cassgreedy,0.412621
m0,04,03,s50d50,casshybrid,NA
m0,04,03,s50d50,startle,0.295547
m0,04,03,s50d50,laml,0.294949
m0,04,04,s50d50,cassgreedy,0.310023
m0,04,04,s50d50,casshybrid,0.241228
m0,04,04,s50d50,startle,0.251012
m0,04,04,s50d50,laml,0.250505
m0,04,05,s50d50,cassgreedy,0.328671
m0,04,05,s50d50,casshybrid,NA
m0,04,05,s50d50,startle,0.267206
m0,04,05,s50d50,laml,0.266667
m0,05,01,s50d50,cassgreedy,0.348519
m0,05,01,s50d50,casshybrid,0.274725
m0,05,01,s50d50,startle,0.230769
m0,05,01,s50d50,laml,0.230303
m0,05,02,s50d50,cassgreedy,0.269406
m0,05,02,s50d50,casshybrid,0.197368
m0,05,02,s50d50,startle,0.210526
m0,05,02,s50d50,laml,0.210101
m0,05,03,s50d50,cassgreedy,0.371298
m0,05,03,s50d50,casshybrid,0.251641
m0,05,03,s50d50,startle,0.230769
m0,05,03,s50d50,laml,0.230303
m0,05,04,s50d50,cassgreedy,0.309091
m0,05,04,s50d50,casshybrid,0.217582
m0,05,04,s50d50,startle,0.234818
m0,05,04,s50d50,laml,0.234343
m0,05,05,s50d50,cassgreedy,0.342404
m0,05,05,s50d50,casshybrid,0.194805
m0,05,05,s50d50,startle,0.222672
m0,05,05,s50d50,laml,0.222222
m0,06,01,s50d50,cassgreedy,0.295508
m0,06,01,s50d50,casshybrid,NA
m0,06,01,s50d50,startle,0.194332
m0,06,01,s50d50,laml,0.193939
m0,06,02,s50d50,cassgreedy,0.267606
m0,06,02,s50d50,casshybrid,0.151648
m0,06,02,s50d50,startle,0.174089
m0,06,02,s50d50,laml,0.173737
m0,06,03,s50d50,cassgreedy,0.292162
m0,06,03,s50d50,casshybrid,0.186667
m0,06,03,s50d50,startle,0.190283
m0,06,03,s50d50,laml,0.189899
m0,06,04,s50d50,cassgreedy,0.270642
m0,06,04,s50d50,casshybrid,0.170732
m0,06,04,s50d50,startle,0.194332
m0,06,04,s50d50,laml,0.202020
m0,06,05,s50d50,cassgreedy,0.200924
m0,06,05,s50d50,casshybrid,0.149675
m0,06,05,s50d50,startle,0.157895
m0,06,05,s50d50,laml,0.125253
m0,07,01,s50d50,cassgreedy,0.278539
m0,07,01,s50d50,casshybrid,0.159292
m0,07,01,s50d50,startle,0.190283
m0,07,01,s50d50,laml,0.189899
m0,07,02,s50d50,cassgreedy,0.267606
m0,07,02,s50d50,casshybrid,0.193694
m0,07,02,s50d50,startle,0.255061
m0,07,02,s50d50,laml,0.254545
m0,07,03,s50d50,cassgreedy,0.319149
m0,07,03,s50d50,casshybrid,0.219955
m0,07,03,s50d50,startle,0.242915
m0,07,03,s50d50,laml,0.242424
m0,07,04,s50d50,cassgreedy,0.319249
m0,07,04,s50d50,casshybrid,0.212528
m0,07,04,s50d50,startle,0.279352
m0,07,04,s50d50,laml,0.278788
m0,07,05,s50d50,cassgreedy,0.285047
m0,07,05,s50d50,casshybrid,0.193694
m0,07,05,s50d50,startle,0.214575
m0,07,05,s50d50,laml,0.210101
m0,08,01,s50d50,cassgreedy,0.265589
m0,08,01,s50d50,casshybrid,NA
m0,08,01,s50d50,startle,0.174089
m0,08,01,s50d50,laml,0.173737
m0,08,02,s50d50,cassgreedy,0.228311
m0,08,02,s50d50,casshybrid,NA
m0,08,02,s50d50,startle,0.145749
m0,08,02,s50d50,laml,0.117172
m0,08,03,s50d50,cassgreedy,0.254630
m0,08,03,s50d50,casshybrid,NA
m0,08,03,s50d50,startle,0.182186
m0,08,03,s50d50,laml,0.181818
m0,08,04,s50d50,cassgreedy,0.305361
m0,08,04,s50d50,casshybrid,0.193133
m0,08,04,s50d50,startle,0.182186
m0,08,04,s50d50,laml,0.177778
m0,08,05,s50d50,cassgreedy,0.277778
m0,08,05,s50d50,casshybrid,NA
m0,08,05,s50d50,startle,0.165992
m0,08,05,s50d50,laml,0.125253
m0,09,01,s50d50,cassgreedy,0.305556
m0,09,01,s50d50,casshybrid,0.251701
m0,09,01,s50d50,startle,0.319838
m0,09,01,s50d50,laml,0.319192
m0,09,02,s50d50,cassgreedy,0.293023
m0,09,02,s50d50,casshybrid,0.189189
m0,09,02,s50d50,startle,0.206478
m0,09,02,s50d50,laml,0.206061
m0,09,03,s50d50,cassgreedy,0.330144
m0,09,03,s50d50,casshybrid,NA
m0,09,03,s50d50,startle,0.307692
m0,09,03,s50d50,laml,0.307071
m0,09,04,s50d50,cassgreedy,0.358314
m0,09,04,s50d50,casshybrid,0.289888
m0,09,04,s50d50,startle,0.287449
m0,09,04,s50d50,laml,0.250505
m0,09,05,s50d50,cassgreedy,0.360577
m0,09,05,s50d50,casshybrid,0.264108
m0,09,05,s50d50,startle,0.295547
m0,09,05,s50d50,laml,0.294949
m0,10,01,s50d50,cassgreedy,0.312649
m0,10,01,s50d50,casshybrid,0.221477
m0,10,01,s50d50,startle,0.202429
m0,10,01,s50d50,laml,0.193939
m0,10,02,s50d50,cassgreedy,0.299065
m0,10,02,s50d50,casshybrid,NA
m0,10,02,s50d50,startle,0.206478
m0,10,02,s50d50,laml,0.222222
m0,10,03,s50d50,cassgreedy,0.313364
m0,10,03,s50d50,casshybrid,NA
m0,10,03,s50d50,startle,0.206478
m0,10,03,s50d50,laml,0.206061
m0,10,04,s50d50,cassgreedy,0.273585
m0,10,04,s50d50,casshybrid,NA
m0,10,04,s50d50,startle,0.202429
m0,10,04,s50d50,laml,0.202020
m0,10,05,s50d50,cassgreedy,0.319444
m0,10,05,s50d50,casshybrid,0.202643
m0,10,05,s50d50,startle,0.222672
m0,10,05,s50d50,laml,0.222222
m25,01,01,s50d50,cassgreedy,0.506494
m25,01,01,s50d50,casshybrid,NA
m25,01,01,s50d50,startle,0.417004
m25,01,01,s50d50,laml,0.400000
m25,01,02,s50d50,cassgreedy,0.647577
m25,01,02,s50d50,casshybrid,NA
m25,01,02,s50d50,startle,0.372470
m25,01,02,s50d50,laml,0.323232
m25,01,03,s50d50,cassgreedy,0.539823
m25,01,03,s50d50,casshybrid,NA
m25,01,03,s50d50,startle,0.384615
m25,01,03,s50d50,laml,0.371717
m25,01,04,s50d50,cassgreedy,0.604444
m25,01,04,s50d50,casshybrid,NA
m25,01,04,s50d50,startle,0.412955
m25,01,04,s50d50,laml,0.408081
m25,01,05,s50d50,cassgreedy,0.728285
m25,01,05,s50d50,casshybrid,NA
m25,01,05,s50d50,startle,0.356275
m25,01,05,s50d50,laml,0.355556
m25,02,01,s50d50,cassgreedy,0.486842
m25,02,01,s50d50,casshybrid,NA
m25,02,01,s50d50,startle,0.311741
m25,02,01,s50d50,laml,0.311111
m25,02,02,s50d50,cassgreedy,0.492408
m25,02,02,s50d50,casshybrid,NA
m25,02,02,s50d50,startle,0.311741
m25,02,02,s50d50,laml,0.278788
m25,02,03,s50d50,cassgreedy,0.565996
m25,02,03,s50d50,casshybrid,NA
m25,02,03,s50d50,startle,0.299595
m25,02,03,s50d50,laml,0.246465
m25,02,04,s50d50,cassgreedy,0.581699
m25,02,04,s50d50,casshybrid,NA
m25,02,04,s50d50,startle,0.396761
m25,02,04,s50d50,laml,0.375758
m25,02,05,s50d50,cassgreedy,0.549669
m25,02,05,s50d50,casshybrid,NA
m25,02,05,s50d50,startle,0.323887
m25,02,05,s50d50,laml,0.319192
m25,03,01,s50d50,cassgreedy,0.651007
m25,03,01,s50d50,casshybrid,NA
m25,03,01,s50d50,startle,0.473684
m25,03,01,s50d50,laml,0.408081
m25,03,02,s50d50,cassgreedy,0.728889
m25,03,02,s50d50,casshybrid,NA
m25,03,02,s50d50,startle,0.465587
m25,03,02,s50d50,laml,0.452525
m25,03,03,s50d50,cassgreedy,0.680000
m25,03,03,s50d50,casshybrid,NA
m25,03,03,s50d50,startle,0.514170
m25,03,03,s50d50,laml,0.513131
m25,03,04,s50d50,cassgreedy,0.730337
m25,03,04,s50d50,casshybrid,NA
m25,03,04,s50d50,startle,0.514170
m25,03,04,s50d50,laml,0.484848
m25,03,05,s50d50,cassgreedy,0.673289
m25,03,05,s50d50,casshybrid,NA
m25,03,05,s50d50,startle,0.433198
m25,03,05,s50d50,laml,0.395960
m25,04,01,s50d50,cassgreedy,0.722467
m25,04,01,s50d50,casshybrid,NA
m25,04,01,s50d50,startle,0.453441
m25,04,01,s50d50,laml,0.460606
m25,04,02,s50d50,cassgreedy,0.660044
m25,04,02,s50d50,casshybrid,NA
m25,04,02,s50d50,startle,0.477733
m25,04,02,s50d50,laml,0.468687
m25,04,03,s50d50,cassgreedy,0.667406
m25,04,03,s50d50,casshybrid,NA
m25,04,03,s50d50,startle,0.522267
m25,04,03,s50d50,laml,0.492929
m25,04,04,s50d50,cassgreedy,0.702222
m25,04,04,s50d50,casshybrid,NA
m25,04,04,s50d50,startle,0.425101
m25,04,04,s50d50,laml,0.359596
m25,04,05,s50d50,cassgreedy,0.656250
m25,04,05,s50d50,casshybrid,NA
m25,04,05,s50d50,startle,0.433198
m25,04,05,s50d50,laml,0.408081
m25,05,01,s50d50,cassgreedy,0.741794
m25,05,01,s50d50,casshybrid,NA
m25,05,01,s50d50,startle,0.550607
m25,05,01,s50d50,laml,0.545455
m25,05,02,s50d50,cassgreedy,0.784141
m25,05,02,s50d50,casshybrid,NA
m25,05,02,s50d50,startle,0.562753
m25,05,02,s50d50,laml,0.492929
m25,05,03,s50d50,cassgreedy,0.750547
m25,05,03,s50d50,casshybrid,NA
m25,05,03,s50d50,startle,0.595142
m25,05,03,s50d50,laml,0.565657
m25,05,04,s50d50,cassgreedy,0.766520
m25,05,04,s50d50,casshybrid,NA
m25,05,04,s50d50,startle,0.489879
m25,05,04,s50d50,laml,0.472727
m25,05,05,s50d50,cassgreedy,0.735683
m25,05,05,s50d50,casshybrid,NA
m25,05,05,s50d50,startle,0.550607
m25,05,05,s50d50,laml,0.501010
m25,06,01,s50d50,cassgreedy,0.540541
m25,06,01,s50d50,casshybrid,NA
m25,06,01,s50d50,startle,0.429150
m25,06,01,s50d50,laml,0.363636
m25,06,02,s50d50,cassgreedy,0.563063
m25,06,02,s50d50,casshybrid,NA
m25,06,02,s50d50,startle,0.396761
m25,06,02,s50d50,laml,0.383838
m25,06,03,s50d50,cassgreedy,0.617978
m25,06,03,s50d50,casshybrid,NA
m25,06,03,s50d50,startle,0.457490
m25,06,03,s50d50,laml,0.351515
m25,06,04,s50d50,cassgreedy,0.613483
m25,06,04,s50d50,casshybrid,NA
m25,06,04,s50d50,startle,0.392713
m25,06,04,s50d50,laml,0.383838
m25,06,05,s50d50,cassgreedy,0.617978
m25,06,05,s50d50,casshybrid,NA
m25,06,05,s50d50,startle,0.485830
m25,06,05,s50d50,laml,0.464646
m25,07,01,s50d50,cassgreedy,0.701299
m25,07,01,s50d50,casshybrid,NA
m25,07,01,s50d50,startle,0.441296
m25,07,01,s50d50,laml,0.444444
m25,07,02,s50d50,cassgreedy,0.600000
m25,07,02,s50d50,casshybrid,NA
m25,07,02,s50d50,startle,0.465587
m25,07,02,s50d50,laml,0.464646
m25,07,03,s50d50,cassgreedy,0.587097
m25,07,03,s50d50,casshybrid,NA
m25,07,03,s50d50,startle,0.376518
m25,07,03,s50d50,laml,0.327273
m25,07,04,s50d50,cassgreedy,0.622560
m25,07,04,s50d50,casshybrid,NA
m25,07,04,s50d50,startle,0.336032
m25,07,04,s50d50,laml,0.319192
m25,07,05,s50d50,cassgreedy,0.648590
m25,07,05,s50d50,casshybrid,NA
m25,07,05,s50d50,startle,0.356275
m25,07,05,s50d50,laml,0.315152
m25,08,01,s50d50,cassgreedy,0.625272
m25,08,01,s50d50,casshybrid,NA
m25,08,01,s50d50,startle,0.323887
m25,08,01,s50d50,laml,0.278788
m25,08,02,s50d50,cassgreedy,0.669604
m25,08,02,s50d50,casshybrid,NA
m25,08,02,s50d50,startle,0.481781
m25,08,02,s50d50,laml,0.400000
m25,08,03,s50d50,cassgreedy,0.655773
m25,08,03,s50d50,casshybrid,NA
m25,08,03,s50d50,startle,0.376518
m25,08,03,s50d50,laml,0.262626
m25,08,04,s50d50,cassgreedy,0.627706
m25,08,04,s50d50,casshybrid,NA
m25,08,04,s50d50,startle,0.400810
m25,08,04,s50d50,laml,0.400000
m25,08,05,s50d50,cassgreedy,0.649891
m25,08,05,s50d50,casshybrid,NA
m25,08,05,s50d50,startle,0.429150
m25,08,05,s50d50,laml,0.290909
m25,09,01,s50d50,cassgreedy,0.640693
m25,09,01,s50d50,casshybrid,NA
m25,09,01,s50d50,startle,0.497976
m25,09,01,s50d50,laml,0.391919
m25,09,02,s50d50,cassgreedy,0.676856
m25,09,02,s50d50,casshybrid,NA
m25,09,02,s50d50,startle,0.489879
m25,09,02,s50d50,laml,0.424242
m25,09,03,s50d50,cassgreedy,0.646799
m25,09,03,s50d50,casshybrid,NA
m25,09,03,s50d50,startle,0.485830
m25,09,03,s50d50,laml,0.416162
m25,09,04,s50d50,cassgreedy,0.688596
m25,09,04,s50d50,casshybrid,NA
m25,09,04,s50d50,startle,0.396761
m25,09,04,s50d50,laml,0.331313
m25,09,05,s50d50,cassgreedy,0.714912
m25,09,05,s50d50,casshybrid,NA
m25,09,05,s50d50,startle,0.493927
m25,09,05,s50d50,laml,0.476768
m25,10,01,s50d50,cassgreedy,0.607064
m25,10,01,s50d50,casshybrid,NA
m25,10,01,s50d50,startle,0.465587
m25,10,01,s50d50,laml,0.444444
m25,10,02,s50d50,cassgreedy,0.587719
m25,10,02,s50d50,casshybrid,NA
m25,10,02,s50d50,startle,0.445344
m25,10,02,s50d50,laml,0.428283
m25,10,03,s50d50,cassgreedy,0.663755
m25,10,03,s50d50,casshybrid,NA
m25,10,03,s50d50,startle,0.489879
m25,10,03,s50d50,laml,0.440404
m25,10,04,s50d50,cassgreedy,0.633554
m25,10,04,s50d50,casshybrid,NA
m25,10,04,s50d50,startle,0.502024
m25,10,04,s50d50,laml,0.496970
m25,10,05,s50d50,cassgreedy,0.627494
m25,10,05,s50d50,casshybrid,NA
m25,10,05,s50d50,startle,0.441296
m25,10,05,s50d50,laml,0.428283
m50,01,01,s50d50,cassgreedy,0.899782
m50,01,01,s50d50,casshybrid,NA
m50,01,01,s50d50,startle,0.789474
m50,01,01,s50d50,laml,0.739394
m50,01,02,s50d50,cassgreedy,0.875536
m50,01,02,s50d50,casshybrid,NA
m50,01,02,s50d50,startle,0.850202
m50,01,02,s50d50,laml,0.844444
m50,01,03,s50d50,cassgreedy,0.849462
m50,01,03,s50d50,casshybrid,NA
m50,01,03,s50d50,startle,0.785425
m50,01,03,s50d50,laml,0.783838
m50,01,04,s50d50,cassgreedy,0.915074
m50,01,04,s50d50,casshybrid,NA
m50,01,04,s50d50,startle,0.870445
m50,01,04,s50d50,laml,0.868687
m50,01,05,s50d50,cassgreedy,0.878661
m50,01,05,s50d50,casshybrid,NA
m50,01,05,s50d50,startle,0.809717
m50,01,05,s50d50,laml,0.800000
m50,02,01,s50d50,cassgreedy,0.895616
