M,p_rep,rep,modelcond,method,rf
20,01,01,s50d50,cassgreedy,0.634361
20,01,01,s50d50,casshybrid,NA
20,01,01,s50d50,startle,0.429150
20,01,01,s50d50,laml,0.412121
20,01,02,s50d50,cassgreedy,0.598253
20,01,02,s50d50,casshybrid,NA
20,01,02,s50d50,startle,0.473684
20,01,02,s50d50,laml,0.428283
20,01,03,s50d50,cassgreedy,0.619256
20,01,03,s50d50,casshybrid,NA
20,01,03,s50d50,startle,0.485830
20,01,03,s50d50,laml,0.464646
20,01,04,s50d50,cassgreedy,0.687225
20,01,04,s50d50,casshybrid,NA
20,01,04,s50d50,startle,0.469636
20,01,04,s50d50,laml,0.464646
20,01,05,s50d50,cassgreedy,0.631111
20,01,05,s50d50,casshybrid,NA
20,01,05,s50d50,startle,0.417004
20,01,05,s50d50,laml,0.387879
20,02,01,s50d50,cassgreedy,0.733042
20,02,01,s50d50,casshybrid,NA
20,02,01,s50d50,startle,0.514170
20,02,01,s50d50,laml,0.492929
20,02,02,s50d50,cassgreedy,0.687912
20,02,02,s50d50,casshybrid,NA
20,02,02,s50d50,startle,0.441296
20,02,02,s50d50,laml,0.359596
20,02,03,s50d50,cassgreedy,0.683516
20,02,03,s50d50,casshybrid,NA
20,02,03,s50d50,startle,0.493927
20,02,03,s50d50,laml,0.448485
20,02,04,s50d50,cassgreedy,0.668874
20,02,04,s50d50,casshybrid,NA
20,02,04,s50d50,startle,0.526316
20,02,04,s50d50,laml,0.525253
20,02,05,s50d50,cassgreedy,0.613883
20,02,05,s50d50,casshybrid,NA
20,02,05,s50d50,startle,0.441296
20,02,05,s50d50,laml,0.436364
20,03,01,s50d50,cassgreedy,0.669643
20,03,01,s50d50,casshybrid,NA
20,03,01,s50d50,startle,0.477733
20,03,01,s50d50,laml,0.436364
20,03,02,s50d50,cassgreedy,0.692982
20,03,02,s50d50,casshybrid,NA
20,03,02,s50d50,startle,0.546559
20,03,02,s50d50,laml,0.505051
20,03,03,s50d50,cassgreedy,0.704194
20,03,03,s50d50,casshybrid,NA
20,03,03,s50d50,startle,0.392713
20,03,03,s50d50,laml,0.387879
20,03,04,s50d50,cassgreedy,0.652174
20,03,04,s50d50,casshybrid,NA
20,03,04,s50d50,startle,0.510121
20,03,04,s50d50,laml,0.492929
20,03,05,s50d50,cassgreedy,0.674725
20,03,05,s50d50,casshybrid,NA
20,03,05,s50d50,startle,0.441296
20,03,05,s50d50,laml,0.355556
20,04,01,s50d50,cassgreedy,0.652968
20,04,01,s50d50,casshybrid,NA
20,04,01,s50d50,startle,0.421053
20,04,01,s50d50,laml,0.420202
20,04,02,s50d50,cassgreedy,0.571744
20,04,02,s50d50,casshybrid,NA
20,04,02,s50d50,startle,0.445344
20,04,02,s50d50,laml,0.456566
20,04,03,s50d50,cassgreedy,0.642384
20,04,03,s50d50,casshybrid,NA
20,04,03,s50d50,startle,0.477733
20,04,03,s50d50,laml,0.476768
