k,p_rep,rep,modelcond,method,rf
30,05,05,k30s50d50,startle,0.407407
30,05,05,k30s50d50,laml,0.290909
30,06,01,k30s50d50,cassgreedy,0.481481
30,06,01,k30s50d50,casshybrid,0.396226
30,06,01,k30s50d50,cassilp,0.523810
30,06,01,k30s50d50,startle,0.370370
30,06,01,k30s50d50,laml,0.181818
30,06,02,k30s50d50,cassgreedy,0.471698
30,06,02,k30s50d50,casshybrid,0.400000
30,06,02,k30s50d50,cassilp,0.469388
30,06,02,k30s50d50,startle,0.407407
30,06,02,k30s50d50,laml,0.290909
30,06,03,k30s50d50,cassgreedy,0.576923
30,06,03,k30s50d50,casshybrid,0.411765
30,06,03,k30s50d50,cassilp,0.333333
30,06,03,k30s50d50,startle,0.296296
30,06,03,k30s50d50,laml,0.254545
30,06,04,k30s50d50,cassgreedy,0.461538
30,06,04,k30s50d50,casshybrid,0.509434
30,06,04,k30s50d50,cassilp,NA
30,06,04,k30s50d50,startle,0.259259
30,06,04,k30s50d50,laml,0.254545
30,06,05,k30s50d50,cassgreedy,0.269231
30,06,05,k30s50d50,casshybrid,0.192308
30,06,05,k30s50d50,cassilp,0.254902
30,06,05,k30s50d50,startle,0.185185
30,06,05,k30s50d50,laml,0.109091
30,07,01,k30s50d50,cassgreedy,0.576923
30,07,01,k30s50d50,casshybrid,0.509434
30,07,01,k30s50d50,cassilp,NA
30,07,01,k30s50d50,startle,0.370370
30,07,01,k30s50d50,laml,0.072727
30,07,02,k30s50d50,cassgreedy,0.320755
30,07,02,k30s50d50,casshybrid,0.358491
30,07,02,k30s50d50,cassilp,NA
30,07,02,k30s50d50,startle,0.074074
30,07,02,k30s50d50,laml,0.072727
30,07,03,k30s50d50,cassgreedy,0.846154
30,07,03,k30s50d50,casshybrid,0.660377
30,07,03,k30s50d50,cassilp,NA
30,07,03,k30s50d50,startle,0.370370
30,07,03,k30s50d50,laml,0.327273
30,07,04,k30s50d50,cassgreedy,0.615385
30,07,04,k30s50d50,casshybrid,0.471698
30,07,04,k30s50d50,cassilp,NA
30,07,04,k30s50d50,startle,0.296296
30,07,04,k30s50d50,laml,0.254545
30,07,05,k30s50d50,cassgreedy,0.547170
30,07,05,k30s50d50,casshybrid,NA
30,07,05,k30s50d50,cassilp,NA
30,07,05,k30s50d50,startle,0.259259
30,07,05,k30s50d50,laml,0.218182
30,08,01,k30s50d50,cassgreedy,0.777778
30,08,01,k30s50d50,casshybrid,0.450980
30,08,01,k30s50d50,cassilp,0.488372
30,08,01,k30s50d50,startle,0.222222
30,08,01,k30s50d50,laml,0.181818
30,08,02,k30s50d50,cassgreedy,0.647059
30,08,02,k30s50d50,casshybrid,0.372549
30,08,02,k30s50d50,cassilp,0.560000
30,08,02,k30s50d50,startle,0.370370
30,08,02,k30s50d50,laml,0.290909
30,08,03,k30s50d50,cassgreedy,0.647059
30,08,03,k30s50d50,casshybrid,0.615385
30,08,03,k30s50d50,cassilp,0.644444
30,08,03,k30s50d50,startle,0.370370
30,08,03,k30s50d50,laml,0.254545
30,08,04,k30s50d50,cassgreedy,0.481481
30,08,04,k30s50d50,casshybrid,0.358491
30,08,04,k30s50d50,cassilp,0.433962
30,08,04,k30s50d50,startle,0.333333
30,08,04,k30s50d50,laml,0.218182
30,08,05,k30s50d50,cassgreedy,0.358491
30,08,05,k30s50d50,casshybrid,0.481481
30,08,05,k30s50d50,cassilp,0.510204
30,08,05,k30s50d50,startle,0.407407
30,08,05,k30s50d50,laml,0.218182
30,09,01,k30s50d50,cassgreedy,0.615385
