k,p_rep,rep,modelcond,method,rf
10,01,01,s50d50,cassgreedy,0.878947
10,01,01,s50d50,casshybrid,NA
10,01,01,s50d50,startle,0.882591
10,01,01,s50d50,laml,0.872727
10,01,02,s50d50,cassgreedy,0.841270
10,01,02,s50d50,casshybrid,0.783934
10,01,02,s50d50,startle,0.846154
10,01,02,s50d50,laml,0.844444
10,01,03,s50d50,cassgreedy,0.842932
10,01,03,s50d50,casshybrid,0.806094
10,01,03,s50d50,startle,0.874494
10,01,03,s50d50,laml,0.868687
10,01,04,s50d50,cassgreedy,0.899471
10,01,04,s50d50,casshybrid,0.849711
10,01,04,s50d50,startle,0.894737
10,01,04,s50d50,laml,0.896970
10,01,05,s50d50,cassgreedy,0.817204
10,01,05,s50d50,casshybrid,0.785901
10,01,05,s50d50,startle,0.825911
10,01,05,s50d50,laml,0.824242
10,02,01,s50d50,cassgreedy,0.802667
10,02,01,s50d50,casshybrid,0.762803
10,02,01,s50d50,startle,0.838057
10,02,01,s50d50,laml,0.836364
10,02,02,s50d50,cassgreedy,0.794195
10,02,02,s50d50,casshybrid,0.756906
10,02,02,s50d50,startle,0.838057
10,02,02,s50d50,laml,0.840404
10,02,03,s50d50,cassgreedy,0.764706
10,02,03,s50d50,casshybrid,0.748603
10,02,03,s50d50,startle,0.813765
10,02,03,s50d50,laml,0.804040
10,02,04,s50d50,cassgreedy,0.809278
10,02,04,s50d50,casshybrid,0.753425
10,02,04,s50d50,startle,0.809717
10,02,04,s50d50,laml,0.804040
10,02,05,s50d50,cassgreedy,0.814910
10,02,05,s50d50,casshybrid,0.763380
10,02,05,s50d50,startle,0.850202
10,02,05,s50d50,laml,0.844444
10,03,01,s50d50,cassgreedy,0.892308
10,03,01,s50d50,casshybrid,NA
10,03,01,s50d50,startle,0.850202
10,03,01,s50d50,laml,0.840404
10,03,02,s50d50,cassgreedy,0.884817
10,03,02,s50d50,casshybrid,0.863014
10,03,02,s50d50,startle,0.882591
10,03,02,s50d50,laml,0.868687
10,03,03,s50d50,cassgreedy,0.895561
10,03,03,s50d50,casshybrid,NA
10,03,03,s50d50,startle,0.854251
10,03,03,s50d50,laml,0.852525
10,03,04,s50d50,cassgreedy,0.898990
10,03,04,s50d50,casshybrid,0.834758
10,03,04,s50d50,startle,0.914980
10,03,04,s50d50,laml,0.901010
10,03,05,s50d50,cassgreedy,0.847328
10,03,05,s50d50,casshybrid,0.869318
10,03,05,s50d50,startle,0.866397
10,03,05,s50d50,laml,0.864646
10,04,01,s50d50,cassgreedy,0.893048
10,04,01,s50d50,casshybrid,0.851064
10,04,01,s50d50,startle,0.898785
10,04,01,s50d50,laml,0.892929
10,04,02,s50d50,cassgreedy,0.915344
10,04,02,s50d50,casshybrid,0.892958
10,04,02,s50d50,startle,0.919028
10,04,02,s50d50,laml,0.905051
10,04,03,s50d50,cassgreedy,0.915567
10,04,03,s50d50,casshybrid,NA
10,04,03,s50d50,startle,0.919028
10,04,03,s50d50,laml,0.917172
10,04,04,s50d50,cassgreedy,0.962963
10,04,04,s50d50,casshybrid,0.906433
10,04,04,s50d50,startle,0.939271
10,04,04,s50d50,laml,0.933333
10,04,05,s50d50,cassgreedy,0.941489
10,04,05,s50d50,casshybrid,0.882353
10,04,05,s50d50,startle,0.939271
10,04,05,s50d50,laml,0.933333
10,05,01,s50d50,cassgreedy,0.850667
10,05,01,s50d50,casshybrid,0.770492
10,05,01,s50d50,startle,0.821862
10,05,01,s50d50,laml,0.812121
10,05,02,s50d50,cassgreedy,0.894180
10,05,02,s50d50,casshybrid,0.781421
10,05,02,s50d50,startle,0.866397
10,05,02,s50d50,laml,0.864646
10,05,03,s50d50,cassgreedy,0.874055
10,05,03,s50d50,casshybrid,NA
10,05,03,s50d50,startle,0.882591
10,05,03,s50d50,laml,0.848485
10,05,04,s50d50,cassgreedy,0.883544
10,05,04,s50d50,casshybrid,NA
10,05,04,s50d50,startle,0.825911
10,05,04,s50d50,laml,0.824242
10,05,05,s50d50,cassgreedy,0.865337
10,05,05,s50d50,casshybrid,NA
10,05,05,s50d50,startle,0.858300
10,05,05,s50d50,laml,0.848485
10,06,01,s50d50,cassgreedy,0.874317
10,06,01,s50d50,casshybrid,NA
10,06,01,s50d50,startle,0.910931
10,06,01,s50d50,laml,0.896970
10,06,02,s50d50,cassgreedy,0.876676
10,06,02,s50d50,casshybrid,NA
10,06,02,s50d50,startle,0.898785
10,06,02,s50d50,laml,0.892929
10,06,03,s50d50,cassgreedy,0.905817
10,06,03,s50d50,casshybrid,NA
10,06,03,s50d50,startle,0.931174
10,06,03,s50d50,laml,0.933333
10,06,04,s50d50,cassgreedy,0.887097
10,06,04,s50d50,casshybrid,0.836066
10,06,04,s50d50,startle,0.886640
10,06,04,s50d50,laml,0.880808
10,06,05,s50d50,cassgreedy,0.917808
10,06,05,s50d50,casshybrid,0.896254
10,06,05,s50d50,startle,0.910931
10,06,05,s50d50,laml,0.905051
10,07,01,s50d50,cassgreedy,0.832884
10,07,01,s50d50,casshybrid,0.865889
10,07,01,s50d50,startle,0.898785
10,07,01,s50d50,laml,0.888889
10,07,02,s50d50,cassgreedy,0.865952
10,07,02,s50d50,casshybrid,0.892183
10,07,02,s50d50,startle,0.902834
10,07,02,s50d50,laml,0.901010
10,07,03,s50d50,cassgreedy,0.886010
10,07,03,s50d50,casshybrid,NA
10,07,03,s50d50,startle,0.910931
10,07,03,s50d50,laml,0.905051
10,07,04,s50d50,cassgreedy,0.884514
10,07,04,s50d50,casshybrid,NA
10,07,04,s50d50,startle,0.874494
10,07,04,s50d50,laml,0.868687
10,07,05,s50d50,cassgreedy,0.883289
10,07,05,s50d50,casshybrid,0.860104
10,07,05,s50d50,startle,0.890688
10,07,05,s50d50,laml,0.888889
10,08,01,s50d50,cassgreedy,0.889447
10,08,01,s50d50,casshybrid,NA
10,08,01,s50d50,startle,0.902834
10,08,01,s50d50,laml,0.901010
10,08,02,s50d50,cassgreedy,0.897172
10,08,02,s50d50,casshybrid,NA
10,08,02,s50d50,startle,0.894737
10,08,02,s50d50,laml,0.888889
10,08,03,s50d50,cassgreedy,0.927649
10,08,03,s50d50,casshybrid,NA
10,08,03,s50d50,startle,0.906883
10,08,03,s50d50,laml,0.901010
10,08,04,s50d50,cassgreedy,0.916010
10,08,04,s50d50,casshybrid,NA
10,08,04,s50d50,startle,0.919028
10,08,04,s50d50,laml,0.917172
10,08,05,s50d50,cassgreedy,0.877660
10,08,05,s50d50,casshybrid,NA
10,08,05,s50d50,startle,0.878543
10,08,05,s50d50,laml,0.876768
10,09,01,s50d50,cassgreedy,0.930667
10,09,01,s50d50,casshybrid,0.925729
10,09,01,s50d50,startle,0.939271
10,09,01,s50d50,laml,0.941414
10,09,02,s50d50,cassgreedy,0.973333
10,09,02,s50d50,casshybrid,0.913279
10,09,02,s50d50,startle,0.927126
10,09,02,s50d50,laml,0.925253
10,09,03,s50d50,cassgreedy,0.935829
10,09,03,s50d50,casshybrid,NA
10,09,03,s50d50,startle,0.955466
10,09,03,s50d50,laml,0.945455
10,09,04,s50d50,cassgreedy,0.963446
10,09,04,s50d50,casshybrid,0.931398
10,09,04,s50d50,startle,0.947368
10,09,04,s50d50,laml,0.945455
10,09,05,s50d50,cassgreedy,0.936675
10,09,05,s50d50,casshybrid,0.894737
10,09,05,s50d50,startle,0.927126
10,09,05,s50d50,laml,0.925253
10,10,01,s50d50,cassgreedy,0.932011
10,10,01,s50d50,casshybrid,0.895028
10,10,01,s50d50,startle,0.919028
10,10,01,s50d50,laml,0.929293
10,10,02,s50d50,cassgreedy,0.905556
10,10,02,s50d50,casshybrid,0.848238
10,10,02,s50d50,startle,0.894737
10,10,02,s50d50,laml,0.888889
10,10,03,s50d50,cassgreedy,0.910364
10,10,03,s50d50,casshybrid,0.867403
10,10,03,s50d50,startle,0.914980
10,10,03,s50d50,laml,0.921212
10,10,04,s50d50,cassgreedy,0.940541
10,10,04,s50d50,casshybrid,NA
10,10,04,s50d50,startle,0.935223
10,10,04,s50d50,laml,0.925253
10,10,05,s50d50,cassgreedy,0.923913
10,10,05,s50d50,casshybrid,NA
10,10,05,s50d50,startle,0.935223
10,10,05,s50d50,laml,0.929293
20,01,01,s50d50,cassgreedy,0.650350
20,01,01,s50d50,casshybrid,NA
20,01,01,s50d50,startle,0.603239
20,01,01,s50d50,laml,0.581818
20,01,02,s50d50,cassgreedy,0.689815
20,01,02,s50d50,casshybrid,NA
20,01,02,s50d50,startle,0.570850
20,01,02,s50d50,laml,0.569697
20,01,03,s50d50,cassgreedy,0.678322
20,01,03,s50d50,casshybrid,NA
20,01,03,s50d50,startle,0.554656
20,01,03,s50d50,laml,0.529293
20,01,04,s50d50,cassgreedy,0.649203
20,01,04,s50d50,casshybrid,NA
20,01,04,s50d50,startle,0.502024
20,01,04,s50d50,laml,0.492929
20,01,05,s50d50,cassgreedy,0.696970
20,01,05,s50d50,casshybrid,NA
20,01,05,s50d50,startle,0.566802
20,01,05,s50d50,laml,0.561616
20,02,01,s50d50,cassgreedy,0.729730
20,02,01,s50d50,casshybrid,NA
20,02,01,s50d50,startle,0.591093
20,02,01,s50d50,laml,0.589899
20,02,02,s50d50,cassgreedy,0.626424
20,02,02,s50d50,casshybrid,NA
20,02,02,s50d50,startle,0.514170
20,02,02,s50d50,laml,0.513131
20,02,03,s50d50,cassgreedy,0.766292
20,02,03,s50d50,casshybrid,NA
20,02,03,s50d50,startle,0.558704
20,02,03,s50d50,laml,0.557576
20,02,04,s50d50,cassgreedy,0.745370
20,02,04,s50d50,casshybrid,NA
20,02,04,s50d50,startle,0.546559
20,02,04,s50d50,laml,0.541414
20,02,05,s50d50,cassgreedy,0.657534
20,02,05,s50d50,casshybrid,NA
20,02,05,s50d50,startle,0.510121
20,02,05,s50d50,laml,0.468687
20,03,01,s50d50,cassgreedy,0.644860
20,03,01,s50d50,casshybrid,NA
20,03,01,s50d50,startle,0.635628
20,03,01,s50d50,laml,0.634343
20,03,02,s50d50,cassgreedy,0.707657
20,03,02,s50d50,casshybrid,NA
20,03,02,s50d50,startle,0.647773
20,03,02,s50d50,laml,0.646465
20,03,03,s50d50,cassgreedy,0.742991
20,03,03,s50d50,casshybrid,NA
20,03,03,s50d50,startle,0.688259
20,03,03,s50d50,laml,0.690909
20,03,04,s50d50,cassgreedy,0.744076
20,03,04,s50d50,casshybrid,NA
20,03,04,s50d50,startle,0.712551
20,03,04,s50d50,laml,0.707071
20,03,05,s50d50,cassgreedy,0.734554
20,03,05,s50d50,casshybrid,NA
20,03,05,s50d50,startle,0.688259
20,03,05,s50d50,laml,0.686869
20,04,01,s50d50,cassgreedy,0.737327
20,04,01,s50d50,casshybrid,NA
20,04,01,s50d50,startle,0.793522
20,04,01,s50d50,laml,0.791919
20,04,02,s50d50,cassgreedy,0.748837
20,04,02,s50d50,casshybrid,NA
20,04,02,s50d50,startle,0.672065
20,04,02,s50d50,laml,0.666667
20,04,03,s50d50,cassgreedy,0.728337
20,04,03,s50d50,casshybrid,NA
20,04,03,s50d50,startle,0.611336
20,04,03,s50d50,laml,0.618182
20,04,04,s50d50,cassgreedy,0.684455
20,04,04,s50d50,casshybrid,NA
20,04,04,s50d50,startle,0.587045
20,04,04,s50d50,laml,0.577778
20,04,05,s50d50,cassgreedy,0.761682
20,04,05,s50d50,casshybrid,NA
20,04,05,s50d50,startle,0.623482
20,04,05,s50d50,laml,0.626263
20,05,01,s50d50,cassgreedy,0.665882
20,05,01,s50d50,casshybrid,0.646409
20,05,01,s50d50,startle,0.607287
20,05,01,s50d50,laml,0.606061
20,05,02,s50d50,cassgreedy,0.665882
20,05,02,s50d50,casshybrid,NA
20,05,02,s50d50,startle,0.542510
20,05,02,s50d50,laml,0.529293
20,05,03,s50d50,cassgreedy,0.716247
20,05,03,s50d50,casshybrid,NA
20,05,03,s50d50,startle,0.627530
20,05,03,s50d50,laml,0.626263
20,05,04,s50d50,cassgreedy,0.709524
20,05,04,s50d50,casshybrid,NA
20,05,04,s50d50,startle,0.619433
20,05,04,s50d50,laml,0.610101
20,05,05,s50d50,cassgreedy,0.695550
20,05,05,s50d50,casshybrid,NA
20,05,05,s50d50,startle,0.599190
20,05,05,s50d50,laml,0.593939
20,06,01,s50d50,cassgreedy,0.730769
