k,p_rep,rep,modelcond,method,rf
10,02,05,s0d0,startle,0.623482
10,02,05,s0d0,laml-startle,0.614141
10,02,05,s0d0,laml-casshybrid,0.517172
10,02,05,s0d0,laml-startle-nomissing,0.622222
10,03,01,s0d0,cassgreedy,0.710145
10,03,01,s0d0,casshybrid,0.664894
10,03,01,s0d0,startle,0.724696
10,03,01,s0d0,laml-startle,0.723232
10,03,01,s0d0,laml-casshybrid,0.634343
10,03,01,s0d0,laml-startle-nomissing,0.731313
10,03,02,s0d0,cassgreedy,0.652422
10,03,02,s0d0,casshybrid,0.669291
10,03,02,s0d0,startle,0.720648
10,03,02,s0d0,laml-startle,0.719192
10,03,02,s0d0,laml-casshybrid,0.674747
10,03,02,s0d0,laml-startle-nomissing,0.723232
10,03,03,s0d0,cassgreedy,0.673130
10,03,03,s0d0,casshybrid,0.647668
10,03,03,s0d0,startle,0.680162
10,03,03,s0d0,laml-startle,0.678788
10,03,03,s0d0,laml-casshybrid,0.618182
10,03,03,s0d0,laml-startle-nomissing,0.678788
10,03,04,s0d0,cassgreedy,0.706052
10,03,04,s0d0,casshybrid,0.655914
10,03,04,s0d0,startle,0.712551
10,03,04,s0d0,laml-startle,0.711111
10,03,04,s0d0,laml-casshybrid,0.666667
10,03,04,s0d0,laml-startle-nomissing,0.711111
10,03,05,s0d0,cassgreedy,0.725373
10,03,05,s0d0,casshybrid,0.701897
10,03,05,s0d0,startle,0.748988
10,03,05,s0d0,laml-startle,0.739394
10,03,05,s0d0,laml-casshybrid,0.698990
10,03,05,s0d0,laml-startle-nomissing,0.743434
10,04,01,s0d0,cassgreedy,0.636888
10,04,01,s0d0,casshybrid,0.604457
10,04,01,s0d0,startle,0.716599
10,04,01,s0d0,laml-startle,0.715152
10,04,01,s0d0,laml-casshybrid,0.606061
10,04,01,s0d0,laml-startle-nomissing,0.711111
10,04,02,s0d0,cassgreedy,0.581662
10,04,02,s0d0,casshybrid,0.591160
10,04,02,s0d0,startle,0.712551
10,04,02,s0d0,laml-startle,0.703030
10,04,02,s0d0,laml-casshybrid,0.614141
10,04,02,s0d0,laml-startle-nomissing,0.703030
10,04,03,s0d0,cassgreedy,0.552408
10,04,03,s0d0,casshybrid,0.550685
10,04,03,s0d0,startle,0.704453
10,04,03,s0d0,laml-startle,0.690909
10,04,03,s0d0,laml-casshybrid,0.573737
10,04,03,s0d0,laml-startle-nomissing,0.698990
10,04,04,s0d0,cassgreedy,0.638484
10,04,04,s0d0,casshybrid,0.639437
10,04,04,s0d0,startle,0.720648
10,04,04,s0d0,laml-startle,0.711111
10,04,04,s0d0,laml-casshybrid,0.634343
10,04,04,s0d0,laml-startle-nomissing,0.703030
10,04,05,s0d0,cassgreedy,0.563218
10,04,05,s0d0,casshybrid,0.596685
10,04,05,s0d0,startle,0.728745
10,04,05,s0d0,laml-startle,0.727273
10,04,05,s0d0,laml-casshybrid,0.593939
10,04,05,s0d0,laml-startle-nomissing,0.727273
10,05,01,s0d0,cassgreedy,0.567416
10,05,01,s0d0,casshybrid,0.527851
10,05,01,s0d0,startle,0.599190
10,05,01,s0d0,laml-startle,0.593939
10,05,01,s0d0,laml-casshybrid,0.549495
10,05,01,s0d0,laml-startle-nomissing,0.597980
10,05,02,s0d0,cassgreedy,0.589888
10,05,02,s0d0,casshybrid,0.537234
10,05,02,s0d0,startle,0.623482
10,05,02,s0d0,laml-startle,0.622222
10,05,02,s0d0,laml-casshybrid,0.545455
10,05,02,s0d0,laml-startle-nomissing,0.622222
10,05,03,s0d0,cassgreedy,0.573864
10,05,03,s0d0,casshybrid,0.536388
10,05,03,s0d0,startle,0.663968
10,05,03,s0d0,laml-startle,0.662626
10,05,03,s0d0,laml-casshybrid,0.529293
10,05,03,s0d0,laml-startle-nomissing,0.666667
10,05,04,s0d0,cassgreedy,0.559322
10,05,04,s0d0,casshybrid,0.572193
10,05,04,s0d0,startle,0.663968
10,05,04,s0d0,laml-startle,0.646465
10,05,04,s0d0,laml-casshybrid,0.585859
10,05,04,s0d0,laml-startle-nomissing,0.658586
10,05,05,s0d0,cassgreedy,0.549296
10,05,05,s0d0,casshybrid,0.536842
10,05,05,s0d0,startle,0.643725
10,05,05,s0d0,laml-startle,0.642424
10,05,05,s0d0,laml-casshybrid,0.545455
10,05,05,s0d0,laml-startle-nomissing,0.638384
10,06,01,s0d0,cassgreedy,0.541076
10,06,01,s0d0,casshybrid,0.532033
10,06,01,s0d0,startle,0.635628
10,06,01,s0d0,laml-startle,0.634343
10,06,01,s0d0,laml-casshybrid,0.557576
10,06,01,s0d0,laml-startle-nomissing,0.630303
10,06,02,s0d0,cassgreedy,0.648094
10,06,02,s0d0,casshybrid,0.565714
10,06,02,s0d0,startle,0.672065
10,06,02,s0d0,laml-startle,0.670707
10,06,02,s0d0,laml-casshybrid,0.561616
10,06,02,s0d0,laml-startle-nomissing,0.666667
10,06,03,s0d0,cassgreedy,0.577143
10,06,03,s0d0,casshybrid,0.530726
10,06,03,s0d0,startle,0.643725
10,06,03,s0d0,laml-startle,0.618182
10,06,03,s0d0,laml-casshybrid,0.525253
10,06,03,s0d0,laml-startle-nomissing,0.630303
10,06,04,s0d0,cassgreedy,0.602273
10,06,04,s0d0,casshybrid,0.538462
10,06,04,s0d0,startle,0.619433
10,06,04,s0d0,laml-startle,0.614141
10,06,04,s0d0,laml-casshybrid,0.513131
10,06,04,s0d0,laml-startle-nomissing,0.606061
10,06,05,s0d0,cassgreedy,0.624633
10,06,05,s0d0,casshybrid,0.586402
10,06,05,s0d0,startle,0.651822
10,06,05,s0d0,laml-startle,0.654545
10,06,05,s0d0,laml-casshybrid,0.569697
10,06,05,s0d0,laml-startle-nomissing,0.654545
10,07,01,s0d0,cassgreedy,0.602273
10,07,01,s0d0,casshybrid,0.538043
10,07,01,s0d0,startle,0.639676
10,07,01,s0d0,laml-startle,0.630303
10,07,01,s0d0,laml-casshybrid,0.557576
10,07,01,s0d0,laml-startle-nomissing,0.634343
10,07,02,s0d0,cassgreedy,0.594286
10,07,02,s0d0,casshybrid,0.569061
10,07,02,s0d0,startle,0.692308
10,07,02,s0d0,laml-startle,0.690909
10,07,02,s0d0,laml-casshybrid,0.581818
10,07,02,s0d0,laml-startle-nomissing,0.694949
10,07,03,s0d0,cassgreedy,0.575071
10,07,03,s0d0,casshybrid,0.544715
10,07,03,s0d0,startle,0.623482
10,07,03,s0d0,laml-startle,0.614141
10,07,03,s0d0,laml-casshybrid,0.569697
10,07,03,s0d0,laml-startle-nomissing,0.614141
10,07,04,s0d0,cassgreedy,0.566952
10,07,04,s0d0,casshybrid,0.513661
10,07,04,s0d0,startle,0.668016
10,07,04,s0d0,laml-startle,0.662626
10,07,04,s0d0,laml-casshybrid,0.561616
10,07,04,s0d0,laml-startle-nomissing,0.658586
10,07,05,s0d0,cassgreedy,0.587393
10,07,05,s0d0,casshybrid,0.556787
10,07,05,s0d0,startle,0.700405
10,07,05,s0d0,laml-startle,0.694949
10,07,05,s0d0,laml-casshybrid,0.557576
10,07,05,s0d0,laml-startle-nomissing,0.686869
10,08,01,s0d0,cassgreedy,0.720000
10,08,01,s0d0,casshybrid,0.724324
10,08,01,s0d0,startle,0.785425
10,08,01,s0d0,laml-startle,0.787879
10,08,01,s0d0,laml-casshybrid,0.719192
10,08,01,s0d0,laml-startle-nomissing,0.783838
10,08,02,s0d0,cassgreedy,0.702247
10,08,02,s0d0,casshybrid,0.708895
10,08,02,s0d0,startle,0.753036
10,08,02,s0d0,laml-startle,0.747475
10,08,02,s0d0,laml-casshybrid,0.694949
10,08,02,s0d0,laml-startle-nomissing,0.743434
10,08,03,s0d0,cassgreedy,0.780347
10,08,03,s0d0,casshybrid,0.766938
10,08,03,s0d0,startle,0.838057
10,08,03,s0d0,laml-startle,0.836364
10,08,03,s0d0,laml-casshybrid,0.767677
10,08,03,s0d0,laml-startle-nomissing,0.832323
10,08,04,s0d0,cassgreedy,0.779070
10,08,04,s0d0,casshybrid,0.792916
10,08,04,s0d0,startle,0.838057
10,08,04,s0d0,laml-startle,0.832323
10,08,04,s0d0,laml-casshybrid,0.771717
10,08,04,s0d0,laml-startle-nomissing,0.836364
10,08,05,s0d0,cassgreedy,0.767045
10,08,05,s0d0,casshybrid,0.754768
10,08,05,s0d0,startle,0.793522
10,08,05,s0d0,laml-startle,0.791919
10,08,05,s0d0,laml-casshybrid,0.743434
10,08,05,s0d0,laml-startle-nomissing,0.800000
10,09,01,s0d0,cassgreedy,0.898089
10,09,01,s0d0,casshybrid,0.906250
10,09,01,s0d0,startle,0.931174
10,09,01,s0d0,laml-startle,0.925253
10,09,01,s0d0,laml-casshybrid,0.860606
10,09,01,s0d0,laml-startle-nomissing,0.913131
10,09,02,s0d0,cassgreedy,0.902913
10,09,02,s0d0,casshybrid,0.905063
10,09,02,s0d0,startle,0.923077
10,09,02,s0d0,laml-startle,0.917172
10,09,02,s0d0,laml-casshybrid,0.860606
10,09,02,s0d0,laml-startle-nomissing,0.921212
10,09,03,s0d0,cassgreedy,0.883871
10,09,03,s0d0,casshybrid,0.879365
10,09,03,s0d0,startle,0.906883
10,09,03,s0d0,laml-startle,0.909091
10,09,03,s0d0,laml-casshybrid,0.824242
10,09,03,s0d0,laml-startle-nomissing,0.901010
10,09,04,s0d0,cassgreedy,0.888889
10,09,04,s0d0,casshybrid,0.885350
10,09,04,s0d0,startle,0.910931
10,09,04,s0d0,laml-startle,0.901010
10,09,04,s0d0,laml-casshybrid,0.844444
10,09,04,s0d0,laml-startle-nomissing,0.905051
10,09,05,s0d0,cassgreedy,0.922078
10,09,05,s0d0,casshybrid,0.917722
10,09,05,s0d0,startle,0.923077
10,09,05,s0d0,laml-startle,0.925253
10,09,05,s0d0,laml-casshybrid,0.872727
10,09,05,s0d0,laml-startle-nomissing,0.921212
10,10,01,s0d0,cassgreedy,0.573770
10,10,01,s0d0,casshybrid,0.521053
10,10,01,s0d0,startle,0.639676
10,10,01,s0d0,laml-startle,0.638384
10,10,01,s0d0,laml-casshybrid,0.537374
10,10,01,s0d0,laml-startle-nomissing,0.638384
10,10,02,s0d0,cassgreedy,0.510753
10,10,02,s0d0,casshybrid,0.515789
10,10,02,s0d0,startle,0.574899
10,10,02,s0d0,laml-startle,0.573737
10,10,02,s0d0,laml-casshybrid,0.488889
10,10,02,s0d0,laml-startle-nomissing,0.585859
10,10,03,s0d0,cassgreedy,0.549451
10,10,03,s0d0,casshybrid,0.490814
10,10,03,s0d0,startle,0.574899
10,10,03,s0d0,laml-startle,0.573737
10,10,03,s0d0,laml-casshybrid,0.492929
10,10,03,s0d0,laml-startle-nomissing,0.573737
10,10,04,s0d0,cassgreedy,0.526882
10,10,04,s0d0,casshybrid,0.475325
10,10,04,s0d0,startle,0.566802
10,10,04,s0d0,laml-startle,0.565657
10,10,04,s0d0,laml-casshybrid,0.509091
10,10,04,s0d0,laml-startle-nomissing,0.565657
10,10,05,s0d0,cassgreedy,0.514986
10,10,05,s0d0,casshybrid,0.502646
10,10,05,s0d0,startle,0.599190
10,10,05,s0d0,laml-startle,0.569697
10,10,05,s0d0,laml-casshybrid,0.553535
10,10,05,s0d0,laml-startle-nomissing,0.585859
20,01,01,s0d0,cassgreedy,0.395000
20,01,01,s0d0,casshybrid,0.286052
20,01,01,s0d0,startle,0.368421
20,01,01,s0d0,laml-startle,0.367677
20,01,01,s0d0,laml-casshybrid,0.294949
20,01,01,s0d0,laml-startle-nomissing,0.351515
20,01,02,s0d0,cassgreedy,0.416459
20,01,02,s0d0,casshybrid,0.298824
20,01,02,s0d0,startle,0.352227
20,01,02,s0d0,laml-startle,0.351515
20,01,02,s0d0,laml-casshybrid,0.323232
20,01,02,s0d0,laml-startle-nomissing,0.351515
20,01,03,s0d0,cassgreedy,0.365239
20,01,03,s0d0,casshybrid,0.290476
20,01,03,s0d0,startle,0.364372
20,01,03,s0d0,laml-startle,0.355556
20,01,03,s0d0,laml-casshybrid,0.335354
20,01,03,s0d0,laml-startle-nomissing,0.359596
20,01,04,s0d0,cassgreedy,0.371571
20,01,04,s0d0,casshybrid,0.244131
20,01,04,s0d0,startle,0.299595
20,01,04,s0d0,laml-startle,0.294949
20,01,04,s0d0,laml-casshybrid,0.282828
20,01,04,s0d0,laml-startle-nomissing,0.298990
20,01,05,s0d0,cassgreedy,0.378446
20,01,05,s0d0,casshybrid,0.245370
20,01,05,s0d0,startle,0.303644
20,01,05,s0d0,laml-startle,0.303030
20,01,05,s0d0,laml-casshybrid,0.290909
20,01,05,s0d0,laml-startle-nomissing,0.303030
20,02,01,s0d0,cassgreedy,0.402913
20,02,01,s0d0,casshybrid,0.306604
20,02,01,s0d0,startle,0.323887
20,02,01,s0d0,laml-startle,0.323232
20,02,01,s0d0,laml-casshybrid,0.335354
20,02,01,s0d0,laml-startle-nomissing,0.323232
20,02,02,s0d0,cassgreedy,0.343137
20,02,02,s0d0,casshybrid,0.269321
20,02,02,s0d0,startle,0.303644
20,02,02,s0d0,laml-startle,0.303030
20,02,02,s0d0,laml-casshybrid,0.270707
20,02,02,s0d0,laml-startle-nomissing,0.303030
20,02,03,s0d0,cassgreedy,0.419512
20,02,03,s0d0,casshybrid,0.356974
20,02,03,s0d0,startle,0.352227
20,02,03,s0d0,laml-startle,0.355556
20,02,03,s0d0,laml-casshybrid,0.367677
20,02,03,s0d0,laml-startle-nomissing,0.351515
20,02,04,s0d0,cassgreedy,0.385749
20,02,04,s0d0,casshybrid,0.298578
20,02,04,s0d0,startle,0.295547
20,02,04,s0d0,laml-startle,0.294949
20,02,04,s0d0,laml-casshybrid,0.327273
20,02,04,s0d0,laml-startle-nomissing,0.290909
20,02,05,s0d0,cassgreedy,0.426471
20,02,05,s0d0,casshybrid,0.328638
20,02,05,s0d0,startle,0.336032
20,02,05,s0d0,laml-startle,0.335354
20,02,05,s0d0,laml-casshybrid,0.335354
20,02,05,s0d0,laml-startle-nomissing,0.335354
20,03,01,s0d0,cassgreedy,0.407792
20,03,01,s0d0,casshybrid,0.378446
20,03,01,s0d0,startle,0.461538
20,03,01,s0d0,laml-startle,0.460606
20,03,01,s0d0,laml-casshybrid,0.359596
20,03,01,s0d0,laml-startle-nomissing,0.440404
20,03,02,s0d0,cassgreedy,0.361596
20,03,02,s0d0,casshybrid,0.291866
20,03,02,s0d0,startle,0.376518
20,03,02,s0d0,laml-startle,0.375758
20,03,02,s0d0,laml-casshybrid,0.307071
20,03,02,s0d0,laml-startle-nomissing,0.375758
20,03,03,s0d0,cassgreedy,0.391521
20,03,03,s0d0,casshybrid,0.336516
20,03,03,s0d0,startle,0.392713
20,03,03,s0d0,laml-startle,0.379798
20,03,03,s0d0,laml-casshybrid,0.331313
20,03,03,s0d0,laml-startle-nomissing,0.391919
20,03,04,s0d0,cassgreedy,0.361596
20,03,04,s0d0,casshybrid,0.300469
20,03,04,s0d0,startle,0.360324
20,03,04,s0d0,laml-startle,0.359596
20,03,04,s0d0,laml-casshybrid,0.319192
20,03,04,s0d0,laml-startle-nomissing,0.359596
20,03,05,s0d0,cassgreedy,0.412346
20,03,05,s0d0,casshybrid,0.309524
20,03,05,s0d0,startle,0.360324
20,03,05,s0d0,laml-startle,0.359596
20,03,05,s0d0,laml-casshybrid,0.331313
20,03,05,s0d0,laml-startle-nomissing,0.359596
20,04,01,s0d0,cassgreedy,0.371007
20,04,01,s0d0,casshybrid,0.296296
20,04,01,s0d0,startle,0.348178
20,04,01,s0d0,laml-startle,0.347475
20,04,01,s0d0,laml-casshybrid,0.323232
20,04,01,s0d0,laml-startle-nomissing,0.347475
20,04,02,s0d0,cassgreedy,0.341404
20,04,02,s0d0,casshybrid,0.263403
20,04,02,s0d0,startle,0.323887
20,04,02,s0d0,laml-startle,0.323232
20,04,02,s0d0,laml-casshybrid,0.294949
20,04,02,s0d0,laml-startle-nomissing,0.323232
20,04,03,s0d0,cassgreedy,0.356784
20,04,03,s0d0,casshybrid,0.300000
20,04,03,s0d0,startle,0.368421
20,04,03,s0d0,laml-startle,0.367677
20,04,03,s0d0,laml-casshybrid,0.331313
20,04,03,s0d0,laml-startle-nomissing,0.367677
20,04,04,s0d0,cassgreedy,0.389163
20,04,04,s0d0,casshybrid,0.336471
20,04,04,s0d0,startle,0.421053
20,04,04,s0d0,laml-startle,0.424242
20,04,04,s0d0,laml-casshybrid,0.331313
20,04,04,s0d0,laml-startle-nomissing,0.424242
20,04,05,s0d0,cassgreedy,0.368159
20,04,05,s0d0,casshybrid,0.310023
20,04,05,s0d0,startle,0.396761
20,04,05,s0d0,laml-startle,0.395960
20,04,05,s0d0,laml-casshybrid,0.319192
20,04,05,s0d0,laml-startle-nomissing,0.395960
20,05,01,s0d0,cassgreedy,0.307125
20,05,01,s0d0,casshybrid,0.261682
20,05,01,s0d0,startle,0.319838
20,05,01,s0d0,laml-startle,0.319192
20,05,01,s0d0,laml-casshybrid,0.274747
20,05,01,s0d0,laml-startle-nomissing,0.319192
20,05,02,s0d0,cassgreedy,0.290954
20,05,02,s0d0,casshybrid,0.239437
20,05,02,s0d0,startle,0.315789
20,05,02,s0d0,laml-startle,0.315152
20,05,02,s0d0,laml-casshybrid,0.258586
20,05,02,s0d0,laml-startle-nomissing,0.315152
20,05,03,s0d0,cassgreedy,0.275862
20,05,03,s0d0,casshybrid,0.213115
20,05,03,s0d0,startle,0.271255
20,05,03,s0d0,laml-startle,0.270707
20,05,03,s0d0,laml-casshybrid,0.246465
20,05,03,s0d0,laml-startle-nomissing,0.270707
20,05,04,s0d0,cassgreedy,0.289538
20,05,04,s0d0,casshybrid,0.257143
20,05,04,s0d0,startle,0.287449
20,05,04,s0d0,laml-startle,0.282828
20,05,04,s0d0,laml-casshybrid,0.230303
20,05,04,s0d0,laml-startle-nomissing,0.286869
20,05,05,s0d0,cassgreedy,0.306024
20,05,05,s0d0,casshybrid,0.243619
20,05,05,s0d0,startle,0.238866
20,05,05,s0d0,laml-startle,0.238384
20,05,05,s0d0,laml-casshybrid,0.262626
20,05,05,s0d0,laml-startle-nomissing,0.250505
20,06,01,s0d0,cassgreedy,0.381295
20,06,01,s0d0,casshybrid,0.288288
20,06,01,s0d0,startle,0.311741
20,06,01,s0d0,laml-startle,0.311111
20,06,01,s0d0,laml-casshybrid,0.258586
20,06,01,s0d0,laml-startle-nomissing,0.311111
20,06,02,s0d0,cassgreedy,0.425791
20,06,02,s0d0,casshybrid,0.250000
20,06,02,s0d0,startle,0.242915
20,06,02,s0d0,laml-startle,0.238384
20,06,02,s0d0,laml-casshybrid,0.266667
20,06,02,s0d0,laml-startle-nomissing,0.242424
20,06,03,s0d0,cassgreedy,0.317536
20,06,03,s0d0,casshybrid,0.207207
20,06,03,s0d0,startle,0.263158
20,06,03,s0d0,laml-startle,0.274747
20,06,03,s0d0,laml-casshybrid,0.210101
20,06,03,s0d0,laml-startle-nomissing,0.222222
20,06,04,s0d0,cassgreedy,0.383178
20,06,04,s0d0,casshybrid,0.278396
20,06,04,s0d0,startle,0.307692
20,06,04,s0d0,laml-startle,0.307071
20,06,04,s0d0,laml-casshybrid,0.294949
20,06,04,s0d0,laml-startle-nomissing,0.298990
20,06,05,s0d0,cassgreedy,0.345972
20,06,05,s0d0,casshybrid,0.260579
20,06,05,s0d0,startle,0.242915
20,06,05,s0d0,laml-startle,0.242424
20,06,05,s0d0,laml-casshybrid,0.262626
20,06,05,s0d0,laml-startle-nomissing,0.242424
20,07,01,s0d0,cassgreedy,0.418093
20,07,01,s0d0,casshybrid,0.320843
20,07,01,s0d0,startle,0.376518
20,07,01,s0d0,laml-startle,0.371717
20,07,01,s0d0,laml-casshybrid,0.347475
20,07,01,s0d0,laml-startle-nomissing,0.363636
20,07,02,s0d0,cassgreedy,0.464373
20,07,02,s0d0,casshybrid,0.311321
20,07,02,s0d0,startle,0.331984
20,07,02,s0d0,laml-startle,0.339394
20,07,02,s0d0,laml-casshybrid,0.290909
20,07,02,s0d0,laml-startle-nomissing,0.331313
20,07,03,s0d0,cassgreedy,0.373786
20,07,03,s0d0,casshybrid,0.285047
20,07,03,s0d0,startle,0.340081
20,07,03,s0d0,laml-startle,0.339394
20,07,03,s0d0,laml-casshybrid,0.294949
20,07,03,s0d0,laml-startle-nomissing,0.339394
20,07,04,s0d0,cassgreedy,0.425121
20,07,04,s0d0,casshybrid,0.322430
20,07,04,s0d0,startle,0.360324
20,07,04,s0d0,laml-startle,0.359596
20,07,04,s0d0,laml-casshybrid,0.335354
20,07,04,s0d0,laml-startle-nomissing,0.359596
20,07,05,s0d0,cassgreedy,0.465347
20,07,05,s0d0,casshybrid,0.336471
20,07,05,s0d0,startle,0.372470
20,07,05,s0d0,laml-startle,0.363636
20,07,05,s0d0,laml-casshybrid,0.319192
20,07,05,s0d0,laml-startle-nomissing,0.363636
20,08,01,s0d0,cassgreedy,0.383459
20,08,01,s0d0,casshybrid,0.275294
20,08,01,s0d0,startle,0.344130
20,08,01,s0d0,laml-startle,0.359596
20,08,01,s0d0,laml-casshybrid,0.270707
20,08,01,s0d0,laml-startle-nomissing,0.327273
20,08,02,s0d0,cassgreedy,0.378446
20,08,02,s0d0,casshybrid,0.298824
20,08,02,s0d0,startle,0.360324
20,08,02,s0d0,laml-startle,0.359596
20,08,02,s0d0,laml-casshybrid,0.323232
20,08,02,s0d0,laml-startle-nomissing,0.359596
20,08,03,s0d0,cassgreedy,0.452196
20,08,03,s0d0,casshybrid,0.331707
20,08,03,s0d0,startle,0.408907
20,08,03,s0d0,laml-startle,0.408081
20,08,03,s0d0,laml-casshybrid,0.327273
20,08,03,s0d0,laml-startle-nomissing,0.408081
20,08,04,s0d0,cassgreedy,0.379135
20,08,04,s0d0,casshybrid,0.326923
20,08,04,s0d0,startle,0.364372
20,08,04,s0d0,laml-startle,0.363636
20,08,04,s0d0,laml-casshybrid,0.359596
20,08,04,s0d0,laml-startle-nomissing,0.367677
20,08,05,s0d0,cassgreedy,0.427835
20,08,05,s0d0,casshybrid,0.346154
20,08,05,s0d0,startle,0.400810
20,08,05,s0d0,laml-startle,0.400000
20,08,05,s0d0,laml-casshybrid,0.351515
20,08,05,s0d0,laml-startle-nomissing,0.391919
20,09,01,s0d0,cassgreedy,0.478036
20,09,01,s0d0,casshybrid,0.377358
20,09,01,s0d0,startle,0.445344
20,09,01,s0d0,laml-startle,0.444444
20,09,01,s0d0,laml-casshybrid,0.347475
20,09,01,s0d0,laml-startle-nomissing,0.444444
20,09,02,s0d0,cassgreedy,0.498708
20,09,02,s0d0,casshybrid,0.479905
20,09,02,s0d0,startle,0.514170
20,09,02,s0d0,laml-startle,0.513131
20,09,02,s0d0,laml-casshybrid,0.501010
20,09,02,s0d0,laml-startle-nomissing,0.521212
20,09,03,s0d0,cassgreedy,0.496144
20,09,03,s0d0,casshybrid,0.463869
20,09,03,s0d0,startle,0.582996
20,09,03,s0d0,laml-startle,0.581818
20,09,03,s0d0,laml-casshybrid,0.464646
20,09,03,s0d0,laml-startle-nomissing,0.577778
20,09,04,s0d0,cassgreedy,0.434447
20,09,04,s0d0,casshybrid,0.391101
20,09,04,s0d0,startle,0.493927
20,09,04,s0d0,laml-startle,0.492929
20,09,04,s0d0,laml-casshybrid,0.400000
20,09,04,s0d0,laml-startle-nomissing,0.476768
20,09,05,s0d0,cassgreedy,0.492147
20,09,05,s0d0,casshybrid,0.377049
20,09,05,s0d0,startle,0.497976
20,09,05,s0d0,laml-startle,0.452525
20,09,05,s0d0,laml-casshybrid,0.391919
20,09,05,s0d0,laml-startle-nomissing,0.476768
20,10,01,s0d0,cassgreedy,0.338384
20,10,01,s0d0,casshybrid,0.296117
20,10,01,s0d0,startle,0.461538
20,10,01,s0d0,laml-startle,0.412121
20,10,01,s0d0,laml-casshybrid,0.307071
20,10,01,s0d0,laml-startle-nomissing,0.456566
20,10,02,s0d0,cassgreedy,0.389313
20,10,02,s0d0,casshybrid,0.370732
20,10,02,s0d0,startle,0.514170
20,10,02,s0d0,laml-startle,0.476768
20,10,02,s0d0,laml-casshybrid,0.387879
20,10,02,s0d0,laml-startle-nomissing,0.492929
20,10,03,s0d0,cassgreedy,0.511568
20,10,03,s0d0,casshybrid,0.443902
20,10,03,s0d0,startle,0.578947
20,10,03,s0d0,laml-startle,0.577778
20,10,03,s0d0,laml-casshybrid,0.452525
20,10,03,s0d0,laml-startle-nomissing,0.577778
20,10,04,s0d0,cassgreedy,0.415385
20,10,04,s0d0,casshybrid,0.390663
20,10,04,s0d0,startle,0.506073
20,10,04,s0d0,laml-startle,0.509091
20,10,04,s0d0,laml-casshybrid,0.391919
20,10,04,s0d0,laml-startle-nomissing,0.509091
20,10,05,s0d0,cassgreedy,0.352041
20,10,05,s0d0,casshybrid,0.320388
20,10,05,s0d0,startle,0.485830
20,10,05,s0d0,laml-startle,0.480808
20,10,05,s0d0,laml-casshybrid,0.311111
20,10,05,s0d0,laml-startle-nomissing,0.476768
30,01,01,s0d0,cassgreedy,0.361905
30,01,01,s0d0,casshybrid,0.310962
30,01,01,s0d0,startle,0.469636
30,01,01,s0d0,laml-startle,0.456566
30,01,01,s0d0,laml-casshybrid,0.331313
30,01,01,s0d0,laml-startle-nomissing,0.448485
