k,p_rep,rep,modelcond,method,rf
10,01,01,s0d0,cassgreedy,0.629834
10,01,01,s0d0,casshybrid,0.564304
10,01,01,s0d0,startle,0.623482
10,01,01,s0d0,laml-startle,0.622222
10,01,01,s0d0,laml-casshybrid,0.561616
10,01,01,s0d0,laml-startle-nomissing,0.622222
10,01,02,s0d0,cassgreedy,0.559783
10,01,02,s0d0,casshybrid,0.519182
10,01,02,s0d0,startle,0.591093
10,01,02,s0d0,laml-startle,0.589899
10,01,02,s0d0,laml-casshybrid,0.525253
10,01,02,s0d0,laml-startle-nomissing,0.585859
10,01,03,s0d0,cassgreedy,0.606557
10,01,03,s0d0,casshybrid,0.556701
10,01,03,s0d0,startle,0.595142
10,01,03,s0d0,laml-startle,0.593939
10,01,03,s0d0,laml-casshybrid,0.545455
10,01,03,s0d0,laml-startle-nomissing,0.597980
10,01,04,s0d0,cassgreedy,0.570652
10,01,04,s0d0,casshybrid,0.513924
10,01,04,s0d0,startle,0.574899
10,01,04,s0d0,laml-startle,0.573737
10,01,04,s0d0,laml-casshybrid,0.521212
10,01,04,s0d0,laml-startle-nomissing,0.573737
10,01,05,s0d0,cassgreedy,0.592493
10,01,05,s0d0,casshybrid,0.520202
10,01,05,s0d0,startle,0.615385
10,01,05,s0d0,laml-startle,0.610101
10,01,05,s0d0,laml-casshybrid,0.545455
10,01,05,s0d0,laml-startle-nomissing,0.614141
10,02,01,s0d0,cassgreedy,0.515320
10,02,01,s0d0,casshybrid,0.485095
10,02,01,s0d0,startle,0.574899
10,02,01,s0d0,laml-startle,0.565657
10,02,01,s0d0,laml-casshybrid,0.541414
10,02,01,s0d0,laml-startle-nomissing,0.573737
10,02,02,s0d0,cassgreedy,0.477778
10,02,02,s0d0,casshybrid,0.456522
10,02,02,s0d0,startle,0.546559
10,02,02,s0d0,laml-startle,0.549495
10,02,02,s0d0,laml-casshybrid,0.456566
10,02,02,s0d0,laml-startle-nomissing,0.537374
10,02,03,s0d0,cassgreedy,0.445983
10,02,03,s0d0,casshybrid,0.470270
10,02,03,s0d0,startle,0.578947
10,02,03,s0d0,laml-startle,0.585859
10,02,03,s0d0,laml-casshybrid,0.472727
10,02,03,s0d0,laml-startle-nomissing,0.585859
10,02,04,s0d0,cassgreedy,0.493036
10,02,04,s0d0,casshybrid,0.479893
10,02,04,s0d0,startle,0.595142
10,02,04,s0d0,laml-startle,0.589899
10,02,04,s0d0,laml-casshybrid,0.505051
10,02,04,s0d0,laml-startle-nomissing,0.585859
10,02,05,s0d0,cassgreedy,0.523810
10,02,05,s0d0,casshybrid,0.508108
