Sample,Runtime,Method
s25d75p08_sub250_r04,1m4.212s,nj
s100d0p03_sub250_r04,1m6.213s,nj
s25d75p08_sub250_r05,1m4.221s,nj
s25d75p09_sub250_r01,1m4.219s,nj
s25d75p09_sub250_r02,1m4.204s,nj
s25d75p09_sub250_r03,1m4.218s,nj
s25d75p09_sub250_r04,1m4.227s,nj
s25d75p09_sub250_r05,1m4.195s,nj
s25d75p10_sub250_r01,1m4.207s,nj
s25d75p10_sub250_r02,1m4.229s,nj
s25d75p10_sub250_r03,1m4.208s,nj
s25d75p10_sub250_r04,1m4.182s,nj
s100d0p03_sub250_r05,1m6.207s,nj
s25d75p10_sub250_r05,1m4.223s,nj
s50d50p01_sub250_r01,1m4.225s,nj
s50d50p01_sub250_r02,1m4.188s,nj
s50d50p01_sub250_r03,1m4.184s,nj
s50d50p01_sub250_r04,1m4.224s,nj
s50d50p01_sub250_r05,1m4.192s,nj
s50d50p02_sub250_r01,1m4.211s,nj
s50d50p02_sub250_r02,1m4.202s,nj
s50d50p02_sub250_r03,1m3.314s,nj
s50d50p02_sub250_r04,1m3.312s,nj
s100d0p04_sub250_r01,1m6.213s,nj
s50d50p02_sub250_r05,1m3.331s,nj
s50d50p03_sub250_r01,1m3.323s,nj
s50d50p03_sub250_r02,1m3.352s,nj
s50d50p03_sub250_r03,1m3.329s,nj
s50d50p03_sub250_r04,1m3.311s,nj
s50d50p03_sub250_r05,1m3.317s,nj
s50d50p04_sub250_r01,1m3.286s,nj
s50d50p04_sub250_r02,1m3.351s,nj
s50d50p04_sub250_r03,1m3.327s,nj
s50d50p04_sub250_r04,1m3.314s,nj
s100d0p04_sub250_r02,1m6.210s,nj
s50d50p04_sub250_r05,1m3.309s,nj
s50d50p05_sub250_r01,1m3.319s,nj
s50d50p05_sub250_r02,1m3.355s,nj
s50d50p05_sub250_r03,1m3.331s,nj
s50d50p05_sub250_r04,1m3.348s,nj
s50d50p05_sub250_r05,1m3.295s,nj
s50d50p06_sub250_r01,1m3.303s,nj
s50d50p06_sub250_r02,1m3.328s,nj
s50d50p06_sub250_r03,1m3.325s,nj
s50d50p06_sub250_r04,1m3.343s,nj
s100d0p04_sub250_r03,1m6.216s,nj
s50d50p06_sub250_r05,1m3.313s,nj
s50d50p07_sub250_r01,1m3.346s,nj
s50d50p07_sub250_r02,1m3.309s,nj
s50d50p07_sub250_r03,1m3.330s,nj
s50d50p07_sub250_r04,1m3.343s,nj
s50d50p07_sub250_r05,1m3.338s,nj
s50d50p08_sub250_r01,1m8.961s,nj
s50d50p08_sub250_r02,1m8.961s,nj
s50d50p08_sub250_r03,1m8.960s,nj
s50d50p08_sub250_r04,1m8.960s,nj
s100d0p04_sub250_r04,1m6.206s,nj
s50d50p08_sub250_r05,1m8.961s,nj
s50d50p09_sub250_r01,1m8.961s,nj
s50d50p09_sub250_r02,1m8.960s,nj
s50d50p09_sub250_r03,1m8.961s,nj
s50d50p09_sub250_r04,1m8.961s,nj
s50d50p09_sub250_r05,1m8.961s,nj
s50d50p10_sub250_r01,1m8.961s,nj
s50d50p10_sub250_r02,1m8.961s,nj
s50d50p10_sub250_r03,1m8.960s,nj
s50d50p10_sub250_r04,1m8.961s,nj
s100d0p01_sub250_r02,0m13.234s,nj
s100d0p04_sub250_r05,1m6.201s,nj
s50d50p10_sub250_r05,1m8.960s,nj
s75d25p01_sub250_r01,1m8.955s,nj
s75d25p01_sub250_r02,1m8.955s,nj
s75d25p01_sub250_r03,1m8.955s,nj
s75d25p01_sub250_r04,1m8.955s,nj
s75d25p01_sub250_r05,1m8.955s,nj
s75d25p02_sub250_r01,1m8.955s,nj
s75d25p02_sub250_r02,1m8.955s,nj
s75d25p02_sub250_r03,1m8.930s,nj
s75d25p02_sub250_r04,1m8.955s,nj
s100d0p05_sub250_r01,1m6.213s,nj
s75d25p02_sub250_r05,1m8.955s,nj
s75d25p03_sub250_r01,1m8.955s,nj
s75d25p03_sub250_r02,1m8.955s,nj
s75d25p03_sub250_r03,1m8.955s,nj
s75d25p03_sub250_r04,1m5.474s,nj
s75d25p03_sub250_r05,1m5.474s,nj
s75d25p04_sub250_r01,1m5.474s,nj
s75d25p04_sub250_r02,1m5.474s,nj
s75d25p04_sub250_r03,1m5.474s,nj
s75d25p04_sub250_r04,1m5.474s,nj
