flag,rep,size,totaltime,totalnumiter
closed-form,s0d100p09_sub450_r05,450,51.779516882961616,118
closed-form,s0d100p01_sub850_r02,850,148.1607492431067,135
closed-form,s0d100p09_sub650_r01,650,64.20421267906204,101
closed-form,s0d100p09_sub650_r02,650,77.8765581920743,124
closed-form,s0d100p09_sub650_r03,650,84.07665935496334,134
closed-form,s0d100p09_sub650_r04,650,76.8357582470635,123
closed-form,s0d100p09_sub650_r05,650,67.00911586394068,99
closed-form,s0d100p09_sub850_r01,850,110.62225970998406,134
closed-form,s0d100p09_sub850_r02,850,110.80887305806391,132
closed-form,s0d100p09_sub850_r03,850,110.93776473391335,133
closed-form,s0d100p09_sub850_r04,850,114.46983039891347,132
closed-form,s0d100p09_sub850_r05,850,93.20965989865363,115
closed-form,s0d100p01_sub850_r03,850,134.27459831803571,119
closed-form,s0d100p10_sub1024_r01,1024,,169
closed-form,s0d100p10_sub250_r01,250,,130
closed-form,s0d100p10_sub250_r02,250,,107
closed-form,s0d100p10_sub250_r03,250,,137
closed-form,s0d100p10_sub250_r04,250,,121
closed-form,s0d100p10_sub250_r05,250,,176
closed-form,s0d100p10_sub450_r01,450,,115
closed-form,s0d100p10_sub450_r02,450,,136
closed-form,s0d100p10_sub450_r03,450,,121
closed-form,s0d100p10_sub450_r04,450,,191
closed-form,s0d100p01_sub250_r01,250,33.1485828300938,101
closed-form,s0d100p01_sub850_r04,850,144.7760672729928,128
closed-form,s0d100p10_sub450_r05,450,,145
closed-form,s0d100p10_sub650_r01,650,,138
closed-form,s0d100p10_sub650_r02,650,,130
closed-form,s0d100p10_sub650_r03,650,,174
closed-form,s0d100p10_sub650_r04,650,,146
closed-form,s0d100p10_sub650_r05,650,,140
closed-form,s0d100p10_sub850_r01,850,,148
closed-form,s0d100p10_sub850_r02,850,,150
closed-form,s0d100p10_sub850_r03,850,,116
closed-form,s0d100p10_sub850_r04,850,,127
closed-form,s0d100p01_sub850_r05,850,142.8690406800015,128
closed-form,s0d100p10_sub850_r05,850,,139
closed-form,s0d100p02_sub1024_r01,1024,170.09398863499518,119
closed-form,s0d100p02_sub250_r01,250,46.53095108398702,143
closed-form,s0d100p02_sub250_r02,250,32.898225691053085,101
closed-form,s0d100p02_sub250_r03,250,31.79082859994378,89
closed-form,s0d100p02_sub250_r04,250,32.196665259078145,100
closed-form,s0d100p02_sub250_r05,250,43.44214648392517,134
closed-form,s0d100p02_sub450_r01,450,80.89726717898156,139
closed-form,s0d100p02_sub450_r02,450,102.901149917976,177
closed-form,s0d100p01_sub250_r02,250,37.93588735209778,115
closed-form,s0d100p02_sub450_r03,450,80.50425684405491,137
closed-form,s0d100p02_sub450_r04,450,84.56257581105456,144
closed-form,s0d100p02_sub450_r05,450,64.28896376094781,107
closed-form,s0d100p02_sub650_r01,650,86.28956952202134,102
closed-form,s0d100p02_sub650_r02,650,94.37490890698973,111
closed-form,s0d100p02_sub650_r03,650,102.78375926497392,122
closed-form,s0d100p02_sub650_r04,650,136.27920292597264,151
closed-form,s0d100p02_sub650_r05,650,114.34130700095557,136
closed-form,s0d100p02_sub850_r01,850,122.47068105801009,114
closed-form,s0d100p02_sub850_r02,850,101.3299720454961,105
closed-form,s0d100p01_sub250_r03,250,43.32969466364011,122
closed-form,s0d100p02_sub850_r03,850,106.78905191645026,115
closed-form,s0d100p02_sub850_r04,850,118.77301691100001,127
closed-form,s0d100p02_sub850_r05,850,104.95623991638422,110
closed-form,s0d100p03_sub1024_r01,1024,139.04465348646045,123
closed-form,s0d100p03_sub250_r01,250,30.642405869439244,108
closed-form,s0d100p03_sub250_r02,250,45.2955914568156,158
closed-form,s0d100p03_sub250_r03,250,33.7078252248466,119
closed-form,s0d100p03_sub250_r04,250,43.95895539037883,156
closed-form,s0d100p03_sub250_r05,250,34.96546005271375,124
closed-form,s0d100p03_sub450_r01,450,69.9462276455015,127
closed-form,s0d100p01_sub250_r04,250,46.867931846063584,143
closed-form,s0d100p03_sub450_r02,450,56.67393007874489,111
closed-form,s0d100p03_sub450_r03,450,62.95752824470401,124
closed-form,s0d100p03_sub450_r04,450,55.43383277952671,110
closed-form,s0d100p03_sub450_r05,450,51.64477476850152,102
closed-form,s0d100p03_sub650_r01,650,93.87539887987077,128
closed-form,s0d100p03_sub650_r02,650,112.22888028807938,155
closed-form,s0d100p03_sub650_r03,650,86.66743507049978,117
closed-form,s0d100p03_sub650_r04,650,105.44161246716976,144
closed-form,s0d100p03_sub650_r05,650,97.03662107139826,132
closed-form,s0d100p03_sub850_r01,850,110.71871056035161,110
closed-form,s0d100p01_sub250_r05,250,31.584457749966532,88
closed-form,s0d100p03_sub850_r02,850,105.68341508100275,109
closed-form,s0d100p03_sub850_r03,850,109.0596136120148,114
closed-form,s0d100p03_sub850_r04,850,110.31908556702547,110
closed-form,s0d100p03_sub850_r05,850,116.03800989093725,115
closed-form,s0d100p04_sub1024_r01,1024,123.6156215389492,109
closed-form,s0d100p04_sub250_r01,250,35.34498191601597,126
closed-form,s0d100p04_sub250_r02,250,31.805581592954695,117
closed-form,s0d100p04_sub250_r03,250,37.76902398408856,137
closed-form,s0d100p04_sub250_r04,250,34.07753353798762,123
closed-form,s0d100p04_sub250_r05,250,38.65609611500986,142
closed-form,s0d100p01_sub450_r01,450,84.61021753679961,141
closed-form,s0d100p04_sub450_r01,450,77.74603225500323,156
closed-form,s0d100p04_sub450_r02,450,49.23762656201143,99
closed-form,s0d100p04_sub450_r03,450,44.41802614997141,88
closed-form,s0d100p04_sub450_r04,450,52.82309592899401,105
closed-form,s0d100p04_sub450_r05,450,53.45647007599473,107
closed-form,s0d100p04_sub650_r01,650,96.28355478995945,134
closed-form,s0d100p04_sub650_r02,650,91.13666845997795,125
closed-form,s0d100p04_sub650_r03,650,89.59962467593141,118
closed-form,s0d100p04_sub650_r04,650,81.58043785498012,107
closed-form,s0d100p04_sub650_r05,650,89.14915363001637,126
closed-form,s0d100p01_sub450_r02,450,74.28824412077665,122
closed-form,s0d100p04_sub850_r01,850,118.09253402194008,127
closed-form,s0d100p04_sub850_r02,850,113.93812534899916,126
closed-form,s0d100p04_sub850_r03,850,112.89931667107157,121
closed-form,s0d100p04_sub850_r04,850,107.79379976703785,117
closed-form,s0d100p04_sub850_r05,850,103.57908163301181,112
closed-form,s0d100p05_sub1024_r01,1024,140.66009305801708,136
closed-form,s0d100p05_sub250_r01,250,31.70644371898379,119
closed-form,s0d100p05_sub250_r02,250,35.57406335801352,131
closed-form,s0d100p05_sub250_r03,250,32.39950768800918,120
closed-form,s0d100p05_sub250_r04,250,33.758810342988,117
closed-form,s0d100p01_sub450_r03,450,94.69530557002872,156
closed-form,s0d100p05_sub250_r05,250,37.796900338027626,138
closed-form,s0d100p05_sub450_r01,450,63.752261744928546,123
closed-form,s0d100p05_sub450_r02,450,83.86719046207145,171
closed-form,s0d100p05_sub450_r03,450,51.727800087071955,105
closed-form,s0d100p05_sub450_r04,450,85.8302855490474,160
closed-form,s0d100p05_sub450_r05,450,39.85758325399365,80
closed-form,s0d100p05_sub650_r01,650,85.17091961600818,119
closed-form,s0d100p05_sub650_r02,650,100.99840509390924,140
closed-form,s0d100p05_sub650_r03,650,83.9286764189601,116
closed-form,s0d100p05_sub650_r04,650,103.37069485196844,144
closed-form,s0d100p01_sub1250_r01,1250,,138
closed-form,s0d100p01_sub2500_r05,2500,,123
closed-form,s0d100p05_sub7500_r05,7500,,
closed-form,s0d100p06_sub1250_r01,1250,150.45712796319276,123
closed-form,s0d100p06_sub1250_r02,1250,151.80867186933756,118
closed-form,s0d100p06_sub1250_r03,1250,150.8292780648917,119
closed-form,s0d100p06_sub1250_r04,1250,239.61209417693317,148
closed-form,s0d100p06_sub1250_r05,1250,179.6653575655073,119
closed-form,s0d100p06_sub2500_r01,2500,286.8623646609485,121
closed-form,s0d100p06_sub2500_r02,2500,284.6787391640246,165
closed-form,s0d100p06_sub2500_r03,2500,231.07669497281313,137
closed-form,s0d100p06_sub2500_r04,2500,227.6194373872131,130
closed-form,s0d100p01_sub5000_r01,5000,,126
closed-form,s0d100p06_sub2500_r05,2500,215.16765016503632,122
closed-form,s0d100p06_sub5000_r01,5000,11071.349508432671,132
closed-form,s0d100p06_sub5000_r02,5000,19608.952266782522,137
closed-form,s0d100p06_sub5000_r03,5000,18574.03117568884,126
closed-form,s0d100p06_sub5000_r04,5000,14465.894378609955,113
closed-form,s0d100p06_sub5000_r05,5000,15804.684552610852,122
closed-form,s0d100p06_sub7500_r01,7500,,
closed-form,s0d100p06_sub7500_r02,7500,,
closed-form,s0d100p06_sub7500_r03,7500,,
closed-form,s0d100p06_sub7500_r04,7500,,
closed-form,s0d100p01_sub5000_r02,5000,,119
closed-form,s0d100p06_sub7500_r05,7500,,
closed-form,s0d100p07_sub1250_r01,1250,154.71849385090172,115
closed-form,s0d100p07_sub1250_r02,1250,176.79124319553375,125
closed-form,s0d100p07_sub1250_r03,1250,174.3556525632739,129
closed-form,s0d100p07_sub1250_r04,1250,172.1413042936474,122
closed-form,s0d100p07_sub1250_r05,1250,219.62266800180078,125
closed-form,s0d100p07_sub2500_r01,2500,478.51195783913136,136
closed-form,s0d100p07_sub2500_r02,2500,327.99044536892325,127
closed-form,s0d100p07_sub2500_r03,2500,283.8902299897745,110
closed-form,s0d100p07_sub2500_r04,2500,309.78012664522976,123
closed-form,s0d100p01_sub5000_r03,5000,,131
closed-form,s0d100p07_sub2500_r05,2500,305.3888512207195,128
closed-form,s0d100p07_sub5000_r01,5000,17783.21012955811,144
closed-form,s0d100p07_sub5000_r02,5000,18001.699689283036,117
closed-form,s0d100p07_sub5000_r03,5000,16562.285884467885,116
closed-form,s0d100p07_sub5000_r04,5000,15157.114231746644,128
closed-form,s0d100p07_sub5000_r05,5000,15130.69982948061,122
closed-form,s0d100p07_sub7500_r01,7500,,
closed-form,s0d100p07_sub7500_r02,7500,,
closed-form,s0d100p07_sub7500_r03,7500,,
closed-form,s0d100p07_sub7500_r04,7500,,
closed-form,s0d100p01_sub5000_r04,5000,,134
closed-form,s0d100p07_sub7500_r05,7500,,
closed-form,s0d100p08_sub1250_r01,1250,168.43591477163136,137
