flag,rep,size,estep,mstep,llh
closed-form,s0d100p01_sub650_r02,650,0.652936,0.0200085,16855.57684721606
closed-form,s0d100p07_sub250_r03,250,0.191437,0.00719496,7887.8530708580665
closed-form,s0d100p07_sub250_r04,250,0.189081,0.00703858,7762.919167764627
closed-form,s0d100p07_sub250_r05,250,0.188717,0.00710486,7806.206574228767
closed-form,s0d100p07_sub450_r01,450,0.34544,0.013034,12745.462599407072
closed-form,s0d100p07_sub450_r02,450,0.347434,0.013282,12782.837612604717
closed-form,s0d100p07_sub450_r03,450,0.351024,0.0129524,12775.432547491442
closed-form,s0d100p07_sub450_r04,450,0.335709,0.0129839,12704.60195348187
closed-form,s0d100p07_sub450_r05,450,0.359429,0.0130378,12736.689070045451
closed-form,s0d100p07_sub650_r01,650,0.502563,0.0188932,17387.56457812851
closed-form,s0d100p07_sub650_r02,650,0.506153,0.0190381,17209.09417043255
closed-form,s0d100p01_sub650_r03,650,0.645816,0.0200849,16975.479277659535
closed-form,s0d100p07_sub650_r03,650,0.496121,0.0189683,17250.124772988223
closed-form,s0d100p07_sub650_r04,650,0.511934,0.0188832,17154.265679579756
closed-form,s0d100p07_sub650_r05,650,0.501604,0.0191581,17272.166715796793
closed-form,s0d100p07_sub850_r01,850,0.654508,0.0249035,21463.149817280773
closed-form,s0d100p07_sub850_r02,850,0.665111,0.0246673,21487.57290567263
closed-form,s0d100p07_sub850_r03,850,0.629695,0.02397,21443.32000913942
closed-form,s0d100p07_sub850_r04,850,0.654026,0.0254658,21435.02174316496
closed-form,s0d100p07_sub850_r05,850,0.630238,0.0233266,21441.466937152894
closed-form,s0d100p08_sub1024_r01,1024,0.731237,0.0269316,24284.786381089605
closed-form,s0d100p08_sub250_r01,250,0.196069,0.00718954,7472.158288404168
closed-form,s0d100p01_sub650_r04,650,0.64458,0.0200261,17047.995998120965
closed-form,s0d100p08_sub250_r02,250,0.196549,0.00714666,7455.7507842487075
closed-form,s0d100p08_sub250_r03,250,0.190995,0.00706496,7410.464620857706
closed-form,s0d100p08_sub250_r04,250,0.194796,0.00704065,7354.105861087293
closed-form,s0d100p08_sub250_r05,250,0.192734,0.00707353,7405.16087725393
closed-form,s0d100p08_sub450_r01,450,0.34586,0.0128508,12089.699278916298
closed-form,s0d100p08_sub450_r02,450,0.347233,0.0128863,12202.90561857335
closed-form,s0d100p08_sub450_r03,450,0.349194,0.0128407,12281.133574788246
closed-form,s0d100p08_sub450_r04,450,0.348193,0.0129717,12011.75548471707
closed-form,s0d100p08_sub450_r05,450,0.367492,0.0127945,11979.259066406734
closed-form,s0d100p08_sub650_r01,650,0.502986,0.0186007,16550.04493097622
closed-form,s0d100p01_sub650_r05,650,0.629546,0.0194285,16907.90148630204
