flag,rep,size,estep,mstep,llh
non-convex,s0d100p02_sub250_r03,250,0.209605,0.820886,8700.296552241049
non-convex,s0d100p02_sub250_r04,250,0.211424,0.69761,8746.399628300975
non-convex,s0d100p02_sub250_r05,250,0.215236,0.778334,8652.622235840498
non-convex,s0d100p02_sub450_r01,450,0.395228,1.35269,13944.384719576987
non-convex,s0d100p02_sub450_r02,450,0.37989,1.25143,14008.302069381833
non-convex,s0d100p01_sub250_r02,250,0.216875,0.764922,7818.563361374936
non-convex,s0d100p02_sub450_r03,450,0.373435,1.39812,14028.190129428016
non-convex,s0d100p02_sub450_r04,450,0.386132,1.3739,14014.585029005282
non-convex,s0d100p02_sub450_r05,450,0.396961,1.29644,14027.970826924782
non-convex,s0d100p02_sub650_r01,650,0.539825,2.34289,18757.484001540877
non-convex,s0d100p02_sub650_r02,650,0.551312,2.77381,19038.353038091307
non-convex,s0d100p02_sub650_r03,650,0.568836,2.6752,18761.382430434805
non-convex,s0d100p02_sub650_r04,650,0.533953,2.67042,18860.081614649294
non-convex,s0d100p02_sub650_r05,650,0.550542,2.57815,18889.185098625854
non-convex,s0d100p02_sub850_r01,850,0.71982,3.21909,23423.663273931306
non-convex,s0d100p02_sub850_r02,850,0.73948,3.79469,23438.50953363304
non-convex,s0d100p01_sub250_r03,250,0.21588,0.610852,7816.744157149589
non-convex,s0d100p02_sub850_r03,850,0.70911,3.24866,23464.04843029933
non-convex,s0d100p02_sub850_r04,850,0.715707,3.44462,23462.88640464265
non-convex,s0d100p02_sub850_r05,850,0.735721,3.58348,23445.858562314548
non-convex,s0d100p03_sub1024_r01,1024,0.878848,3.27427,25678.966037058985
non-convex,s0d100p03_sub250_r01,250,0.22213,0.720619,7977.511148052634
non-convex,s0d100p03_sub250_r02,250,0.233069,0.814034,7986.098336451626
non-convex,s0d100p03_sub250_r03,250,0.219124,0.748242,8117.908896366305
non-convex,s0d100p03_sub250_r04,250,0.200859,0.554084,7986.159509522599
non-convex,s0d100p03_sub250_r05,250,0.178382,0.591872,7910.99103380688
non-convex,s0d100p03_sub450_r01,450,0.327236,1.06377,13070.465692691028
non-convex,s0d100p01_sub250_r04,250,0.216995,0.60477,7666.944767519804
non-convex,s0d100p03_sub450_r02,450,0.334267,0.959415,12881.092520396702
non-convex,s0d100p03_sub450_r03,450,0.325002,1.26159,13077.495744187367
non-convex,s0d100p03_sub450_r04,450,0.330881,0.939651,12949.413644707905
non-convex,s0d100p03_sub450_r05,450,0.338726,1.10757,13004.638421380067
non-convex,s0d100p03_sub650_r01,650,0.431623,1.62025,17701.067121913708
non-convex,s0d100p03_sub650_r02,650,0.442173,1.58677,17531.16042700196
non-convex,s0d100p03_sub650_r03,650,0.450905,1.42788,17615.53432474323
non-convex,s0d100p03_sub650_r04,650,0.447229,1.73169,17652.57538794557
non-convex,s0d100p03_sub650_r05,650,0.434524,1.72688,17575.851321852126
non-convex,s0d100p03_sub850_r01,850,0.563666,2.18497,22049.1002352472
non-convex,s0d100p01_sub250_r05,250,0.21507,0.694439,7821.8794336310575
non-convex,s0d100p03_sub850_r02,850,0.567123,1.97316,22016.089614132212
non-convex,s0d100p03_sub850_r03,850,0.557427,2.25827,22000.69636503837
non-convex,s0d100p03_sub850_r04,850,0.531291,2.4839,22056.696615103934
non-convex,s0d100p03_sub850_r05,850,0.587515,2.14464,22043.680344140656
non-convex,s0d100p04_sub1024_r01,1024,0.648789,2.82435,26005.48060892116
non-convex,s0d100p04_sub250_r01,250,0.184587,0.569568,8043.8643242496555
non-convex,s0d100p04_sub250_r02,250,0.186868,0.66737,7939.724696017696
non-convex,s0d100p04_sub250_r03,250,0.17093,0.597138,8099.768114378483
non-convex,s0d100p04_sub250_r04,250,0.185535,0.632977,8112.040243479889
non-convex,s0d100p04_sub250_r05,250,0.187214,0.638889,8170.444137309705
non-convex,s0d100p01_sub450_r01,450,0.402292,1.50046,12608.66112279856
non-convex,s0d100p04_sub450_r01,450,0.338345,1.11561,13206.480303711449
non-convex,s0d100p04_sub450_r02,450,0.330133,1.33739,13171.541999913268
non-convex,s0d100p04_sub450_r03,450,0.304785,1.10846,13159.761663775931
non-convex,s0d100p04_sub450_r04,450,0.313306,1.28515,13081.449750836913
non-convex,s0d100p04_sub450_r05,450,0.314806,1.32276,13259.136231248913
non-convex,s0d100p04_sub650_r01,650,0.426859,1.72392,17836.99534174439
non-convex,s0d100p04_sub650_r02,650,0.471968,1.7666,17685.447836391453
non-convex,s0d100p04_sub650_r03,650,0.472569,1.97998,17921.300022816973
non-convex,s0d100p04_sub650_r04,650,0.429991,1.598,17908.718323034584
non-convex,s0d100p04_sub650_r05,650,0.46867,2.02858,17947.536979011707
non-convex,s0d100p01_sub450_r02,450,0.393255,1.40951,12678.029750473788
non-convex,s0d100p04_sub850_r01,850,0.578532,2.22849,22360.312089258074
non-convex,s0d100p04_sub850_r02,850,0.572502,2.14071,22347.759654531565
non-convex,s0d100p04_sub850_r03,850,0.592273,2.41881,22257.34827484947
non-convex,s0d100p04_sub850_r04,850,0.563251,2.36556,22286.447121068362
non-convex,s0d100p04_sub850_r05,850,0.582635,2.11997,22278.676620595237
non-convex,s0d100p05_sub1024_r01,1024,0.686211,2.57158,25094.85887816288
non-convex,s0d100p05_sub250_r01,250,0.183397,0.506668,7639.575579288895
non-convex,s0d100p05_sub250_r02,250,0.184792,0.654188,7471.010258413839
non-convex,s0d100p05_sub250_r03,250,0.183217,0.613038,7463.64455868863
non-convex,s0d100p05_sub250_r04,250,0.189992,0.54771,7504.611521103316
non-convex,s0d100p01_sub450_r03,450,0.394556,1.38929,12752.604596628744
non-convex,s0d100p05_sub250_r05,250,0.188433,0.56657,7406.693345110885
non-convex,s0d100p05_sub450_r01,450,0.331219,1.30644,12374.792561133589
non-convex,s0d100p05_sub450_r02,450,0.344643,1.06757,12380.36154426294
non-convex,s0d100p05_sub450_r03,450,0.305312,1.23427,12494.022915335929
non-convex,s0d100p05_sub450_r04,450,0.3272,1.1706,12443.581325574749
non-convex,s0d100p05_sub450_r05,450,0.333201,1.00488,12387.460576450943
non-convex,s0d100p05_sub650_r01,650,0.465911,1.77412,17083.137734154687
non-convex,s0d100p05_sub650_r02,650,0.479122,1.71094,17028.02151044483
non-convex,s0d100p05_sub650_r03,650,0.468279,1.63627,17068.844817137422
non-convex,s0d100p05_sub650_r04,650,0.479732,1.76229,17051.36280452362
