type model prior treeSize rep nMissing nSilenceTrue nSilenceEst nDropoutTrue nDropoutEst nCorrect accuracy
estTopo s0d100 05 sub250 r01 1884 0 0 1884 1884 1884 1.0
trueTopo s0d100 05 sub250 r01 1884 0 0 1884 1884 1884 1.0
estTopo s0d100 05 sub250 r02 1828 0 0 1828 1828 1828 1.0
trueTopo s0d100 05 sub250 r02 1828 0 0 1828 1828 1828 1.0
estTopo s0d100 05 sub250 r03 1882 0 0 1882 1882 1882 1.0
trueTopo s0d100 05 sub250 r03 1882 0 0 1882 1882 1882 1.0
estTopo s0d100 05 sub250 r04 1876 0 0 1876 1876 1876 1.0
trueTopo s0d100 05 sub250 r04 1876 0 0 1876 1876 1876 1.0
estTopo s0d100 05 sub250 r05 1904 0 0 1904 1904 1904 1.0
trueTopo s0d100 05 sub250 r05 1904 0 0 1904 1904 1904 1.0
estTopo s0d100 06 sub250 r01 1885 0 0 1885 1885 1885 1.0
trueTopo s0d100 06 sub250 r01 1885 0 0 1885 1885 1885 1.0
estTopo s0d100 06 sub250 r02 1905 0 0 1905 1905 1905 1.0
trueTopo s0d100 06 sub250 r02 1905 0 0 1905 1905 1905 1.0
estTopo s0d100 06 sub250 r03 1896 0 0 1896 1896 1896 1.0
trueTopo s0d100 06 sub250 r03 1896 0 0 1896 1896 1896 1.0
estTopo s0d100 06 sub250 r04 1927 0 0 1927 1927 1927 1.0
trueTopo s0d100 06 sub250 r04 1927 0 0 1927 1927 1927 1.0
estTopo s0d100 06 sub250 r05 1899 0 0 1899 1899 1899 1.0
trueTopo s0d100 06 sub250 r05 1899 0 0 1899 1899 1899 1.0
estTopo s0d100 07 sub250 r01 1858 0 0 1858 1858 1858 1.0
trueTopo s0d100 07 sub250 r01 1858 0 0 1858 1858 1858 1.0
estTopo s0d100 07 sub250 r02 1852 0 0 1852 1852 1852 1.0
trueTopo s0d100 07 sub250 r02 1852 0 0 1852 1852 1852 1.0
estTopo s0d100 07 sub250 r03 1859 0 0 1859 1859 1859 1.0
trueTopo s0d100 07 sub250 r03 1859 0 0 1859 1859 1859 1.0
estTopo s0d100 07 sub250 r04 1874 0 0 1874 1874 1874 1.0
trueTopo s0d100 07 sub250 r04 1874 0 0 1874 1874 1874 1.0
estTopo s0d100 07 sub250 r05 1897 0 0 1897 1897 1897 1.0
trueTopo s0d100 07 sub250 r05 1897 0 0 1897 1897 1897 1.0
estTopo s0d100 08 sub250 r01 1913 0 11 1913 1902 1902 0.9942498693152118
trueTopo s0d100 08 sub250 r01 1913 0 6 1913 1907 1907 0.9968635650810246
estTopo s0d100 08 sub250 r02 1880 0 0 1880 1880 1880 1.0
trueTopo s0d100 08 sub250 r02 1880 0 0 1880 1880 1880 1.0
