sample nsites nodeID d2root dML dMP
3432_NT_T1 29 I340 0.849785 0.128263 2
3432_NT_T1 29 I341 1.07555 0.225761 2
3432_NT_T1 29 I348 0.808827 0.329003 0
3432_NT_T1 29 I349 0.856426 0.0475987 2
3432_NT_T1 29 I35 1.66296 0.388393 0
3432_NT_T1 29 I352 1.21603 0.359602 1
3432_NT_T1 29 I359 0.631626 0.306444 0
3432_NT_T1 29 I36 1.79513 0.132167 0
3432_NT_T1 29 I361 0.853842 0.222217 6
3432_NT_T1 29 I366 0.375089 0.101044 4
3432_NT_T1 29 I369 0.644753 0.269664 0
3432_NT_T1 29 I374 0.435221 0.0601321 4
3432_NT_T1 29 I376 0.570794 0.135573 0
3432_NT_T1 29 I377 1.00205 0.431256 0
3432_NT_T1 29 I382 0.985117 0.414323 2
3432_NT_T1 29 I383 1.23093 0.245816 2
3432_NT_T1 29 I393 0.005 0.005 2
3432_NT_T1 29 I395 0.244707 0.239707 0
3432_NT_T1 29 I399 0.01 0.005 1
3432_NT_T1 29 I4 0.405661 0.12166 3
3432_NT_T1 29 I401 0.015 0.005 6
3432_NT_T1 29 I41 1.20278 0.576213 0
3432_NT_T1 29 I43 1.58358 0.380794 0
3432_NT_T1 29 I44 1.85818 0.274602 0
3432_NT_T1 29 I47 1.57459 0.371801 0
3432_NT_T1 29 I49 1.64468 0.0700942 1
3432_NT_T1 29 I5 0.501688 0.0960265 2
3432_NT_T1 29 I50 1.68505 0.0403736 1
3432_NT_T1 29 I51 1.79198 0.106931 0
3432_NT_T1 29 I52 1.85818 0.0661959 0
3432_NT_T1 29 I56 0.619386 0.117698 0
3432_NT_T1 29 I57 0.777452 0.158067 4
3432_NT_T1 29 I58 1.38721 0.609753 0
3432_NT_T1 29 I59 1.44531 0.0581067 1
3432_NT_T1 29 I6 0.626572 0.124884 3
3432_NT_T1 29 I60 1.85818 0.412868 0
3432_NT_T1 29 I61 1.60657 0.161255 0
3432_NT_T1 29 I64 1.5709 0.183699 1
3432_NT_T1 29 I67 1.83902 0.451816 0
3432_NT_T1 29 I70 1.85818 0.0191587 0
3432_NT_T1 29 I72 1.17448 0.39703 0
3432_NT_T1 29 I73 1.58545 0.41097 0
3432_NT_T1 29 I75 1.70407 0.118614 0
3432_NT_T1 29 I78 1.55755 0.383069 0
3432_NT_T1 29 I80 0.782452 0.005 0
3432_NT_T1 29 I81 1.21587 0.433414 1
3432_NT_T1 29 I84 1.85818 0.642314 0
3432_NT_T1 29 I85 1.31429 0.0984225 1
3432_NT_T1 29 I89 1.53906 0.224776 0
3432_NT_T1 29 I9 0.954611 0.328039 0
3432_NT_T1 29 I92 1.65929 0.120231 1
3432_NT_T1 29 I94 0.787452 0.005 2
3432_NT_T1 29 I98 1.01392 0.226472 0
3435_NT_T4 30 I1 0 0 0
3435_NT_T4 30 I104 2.08427 0.331966 0
3435_NT_T4 30 I105 1.73886 0.11465 0
3435_NT_T4 30 I106 1.81434 0.075478 0
3435_NT_T4 30 I109 1.80771 0.219349 1
3435_NT_T4 30 I111 1.83596 0.0282513 1
3435_NT_T4 30 I112 2.0003 0.164336 0
3435_NT_T4 30 I119 1.93573 0.128018 0
3435_NT_T4 30 I128 1.98913 0.181414 1
3435_NT_T4 30 I131 1.81271 0.005 1
3435_NT_T4 30 I133 1.83374 0.0260274 1
3435_NT_T4 30 I139 1.56496 0.416864 3
3435_NT_T4 30 I140 1.63123 0.0662707 1
3435_NT_T4 30 I141 1.8172 0.185971 1
3435_NT_T4 30 I143 1.84098 0.0237832 1
3435_NT_T4 30 I144 1.95237 0.111391 0
3435_NT_T4 30 I149 1.88716 0.0699607 1
3435_NT_T4 30 I15 0.674963 0.152852 2
3435_NT_T4 30 I152 1.85497 0.0377677 1
3435_NT_T4 30 I157 1.97588 0.158675 0
3435_NT_T4 30 I16 0.730249 0.0552859 1
3435_NT_T4 30 I161 2.04722 0.0713451 0
3435_NT_T4 30 I168 1.84448 0.0272817 1
3435_NT_T4 30 I169 1.97132 0.12684 0
3435_NT_T4 30 I17 1.14809 0.417846 2
3435_NT_T4 30 I174 2.08427 0.267069 1
3435_NT_T4 30 I175 1.85924 0.0420391 1
3435_NT_T4 30 I177 1.84755 0.0303528 1
3435_NT_T4 30 I180 2.00686 0.189662 1
3435_NT_T4 30 I182 2.01634 0.199137 0
3435_NT_T4 30 I185 1.96123 0.144028 0
3435_NT_T4 30 I186 2.08427 0.123041 0
3435_NT_T4 30 I19 1.40512 0.257021 0
3435_NT_T4 30 I193 0.962192 0.231944 0
3435_NT_T4 30 I194 1.30292 0.340728 1
3435_NT_T4 30 I195 1.59754 0.294615 1
3435_NT_T4 30 I196 2.00006 0.402525 0
3435_NT_T4 30 I2 0.0229715 0.0229715 1
3435_NT_T4 30 I201 1.1041 0.14191 4
3435_NT_T4 30 I202 1.30659 0.20249 0
3435_NT_T4 30 I209 1.02833 0.0661377 1
3435_NT_T4 30 I210 1.03333 0.005 2
3435_NT_T4 30 I211 1.11755 0.0842245 1
3435_NT_T4 30 I214 1.75958 0.642027 1
3435_NT_T4 30 I216 1.28353 0.250196 0
3435_NT_T4 30 I219 1.28853 0.00499999 1
3435_NT_T4 30 I22 1.61848 0.213361 0
3435_NT_T4 30 I222 1.45489 0.166368 0
3435_NT_T4 30 I223 1.57112 0.116229 1
3435_NT_T4 30 I225 2.08427 0.513146 0
3435_NT_T4 30 I228 1.66808 0.384558 1
3435_NT_T4 30 I23 1.65746 0.0389864 1
3435_NT_T4 30 I230 1.6621 0.37857 0
3435_NT_T4 30 I232 2.00551 0.343411 1
3435_NT_T4 30 I235 1.75204 0.468512 1
3435_NT_T4 30 I240 1.23897 0.210643 4
3435_NT_T4 30 I243 1.46138 0.222403 1
3435_NT_T4 30 I245 1.8184 0.357024 0
3435_NT_T4 30 I246 2.08427 0.26587 0
3435_NT_T4 30 I25 1.726 0.0685403 0
3435_NT_T4 30 I250 0.908139 0.233176 0
3435_NT_T4 30 I257 1.06888 0.160739 2
3435_NT_T4 30 I265 0.311289 0.0739975 3
3435_NT_T4 30 I268 0.668779 0.357491 0
3435_NT_T4 30 I269 0.725491 0.0567112 1
3435_NT_T4 30 I270 0.730492 0.00500121 4
3435_NT_T4 30 I271 1.34686 0.616368 5
3435_NT_T4 30 I28 1.66246 0.005 1
3435_NT_T4 30 I285 0.331288 0.0199997 0
3435_NT_T4 30 I287 1.22847 0.897184 0
3435_NT_T4 30 I288 1.29568 0.0672103 4
3435_NT_T4 30 I296 0.675938 0.34465 0
3435_NT_T4 30 I299 1.51193 0.835989 0
3435_NT_T4 30 I3 0.0714516 0.0484802 2
3435_NT_T4 30 I30 1.69371 0.0752333 1
3435_NT_T4 30 I302 1.86245 0.350527 1
3435_NT_T4 30 I307 0.803398 0.12746 0
3435_NT_T4 30 I313 0.370466 0.138175 0
3435_NT_T4 30 I319 0.388974 0.197637 0
3435_NT_T4 30 I320 0.682226 0.293252 4
3435_NT_T4 30 I328 0.111902 0.005 2
3435_NT_T4 30 I33 1.45444 0.0493229 1
3435_NT_T4 30 I331 0.116902 0.00499999 0
3435_NT_T4 30 I335 0.392482 0.27558 7
3435_NT_T4 30 I337 0.517872 0.12539 4
3435_NT_T4 30 I343 0.213666 0.142214 0
3435_NT_T4 30 I345 0.218666 0.00500002 0
3435_NT_T4 30 I346 0.877463 0.658797 6
3435_NT_T4 30 I347 1.89039 1.01293 1
3435_NT_T4 30 I356 0.479154 0.265488 0
3435_NT_T4 30 I361 0.649363 0.170209 1
3435_NT_T4 30 I363 0.896135 0.246772 0
3435_NT_T4 30 I364 1.02753 0.131399 1
3435_NT_T4 30 I366 1.31137 0.283834 0
3435_NT_T4 30 I37 1.50578 0.051342 1
3435_NT_T4 30 I373 1.42867 0.401136 0
3435_NT_T4 30 I378 1.02779 0.131659 0
3435_NT_T4 30 I380 1.40675 0.378952 0
3435_NT_T4 30 I389 1.41015 0.382357 0
3435_NT_T4 30 I395 0.83266 0.183297 0
3435_NT_T4 30 I396 0.845904 0.013244 1
3435_NT_T4 30 I4 0.106902 0.0354505 1
3435_NT_T4 30 I403 1.11462 0.268719 3
3435_NT_T4 30 I407 1.28168 0.167056 2
3435_NT_T4 30 I412 1.22515 0.392487 5
3435_NT_T4 30 I413 1.6501 0.424949 2
3435_NT_T4 30 I419 0.0279715 0.005 4
3435_NT_T4 30 I42 1.77057 0.264792 2
3435_NT_T4 30 I421 0.583882 0.55591 0
3435_NT_T4 30 I422 0.699376 0.115494 2
3435_NT_T4 30 I423 1.36732 0.667942 2
3435_NT_T4 30 I434 0.0788225 0.0788225 2
3435_NT_T4 30 I437 0.823355 0.744533 0
3435_NT_T4 30 I438 1.14806 0.324709 1
3435_NT_T4 30 I446 0.0838225 0.005 5
3435_NT_T4 30 I45 1.57044 0.0646632 1
3435_NT_T4 30 I452 0.544724 0.460901 10
3435_NT_T4 30 I457 0.967733 0.42301 3
3435_NT_T4 30 I458 0.972734 0.00500034 2
3435_NT_T4 30 I463 1.58405 0.616321 5
3435_NT_T4 30 I47 1.83202 0.261576 1
3435_NT_T4 30 I5 0.191337 0.0844353 3
3435_NT_T4 30 I50 1.58755 0.0817748 1
3435_NT_T4 30 I54 1.68882 0.101261 1
3435_NT_T4 30 I58 1.51459 0.0601502 1
3435_NT_T4 30 I6 0.232291 0.0409537 1
3435_NT_T4 30 I62 1.80939 0.294804 1
3435_NT_T4 30 I64 2.08427 0.274877 1
3435_NT_T4 30 I65 1.85284 0.0434455 1
3435_NT_T4 30 I66 1.95549 0.102655 0
3435_NT_T4 30 I7 0.237291 0.005 1
3435_NT_T4 30 I70 2.08427 0.274877 0
3435_NT_T4 30 I71 1.88611 0.0767152 1
3435_NT_T4 30 I76 2.08427 0.629831 0
3435_NT_T4 30 I8 0.52211 0.284819 7
3435_NT_T4 30 I80 1.77902 0.3739 0
3435_NT_T4 30 I81 1.9578 0.178788 0
3435_NT_T4 30 I83 1.52701 0.121893 1
3435_NT_T4 30 I86 2.01116 0.484152 0
3435_NT_T4 30 I88 1.58836 0.0613548 1
3435_NT_T4 30 I89 1.62421 0.0358474 1
3435_NT_T4 30 I92 1.7523 0.128093 1
3435_NT_T4 30 I99 2.04072 0.288419 0
3520_NT_T1 30 I1 0 0 0
3520_NT_T1 30 I107 0.149399 0.118716 3
3520_NT_T1 30 I108 0.357392 0.207992 6
3520_NT_T1 30 I109 0.404707 0.0473151 3
3520_NT_T1 30 I11 0.944904 0.636084 0
3520_NT_T1 30 I113 1.34097 0.93626 0
3520_NT_T1 30 I118 0.717928 0.313221 3
3520_NT_T1 30 I119 0.95578 0.237851 3
3520_NT_T1 30 I120 1.0955 0.139717 3
3520_NT_T1 30 I124 1.602 0.5065 1
3520_NT_T1 30 I125 2.09585 0.493852 2
3520_NT_T1 30 I139 0.664437 0.307045 0
3520_NT_T1 30 I140 0.776406 0.111969 3
3520_NT_T1 30 I141 1.05552 0.279111 2
