true_nu,true_phi,prioridx,rep,startle_phi,startle_nu,cassg_phi,cassg_nu,truetopo_phi,truetopo_nu,problin_nu,problin_phi,true_llh,startle_NLLH,cassg_NLLH,truetopo_NLLH,problin_NLLH,startle_wp,cassg_wp,truetopo_wp,problin_wp,startle_rf,cassg_rf,problin_rf
s0,100,01,r01, 0.25866389348472224, 9.115169692921896e-06, 0.2586608806255526, 1.7316072093438666e-05, 0.2586658023225615, 3.1267509608217175e-06, 9.67260408669411e-06, 0.2586636597680107,7824.212343865195, 7748.425470910568, 8266.967365601868, 7700.821810187736, 7733.7643405420085, 4936.476432332216, 5971.193460764693, 4922.278525101896, 4935.802431673383, 0.473684, 0.712551, 0.388664
s0,100,01,r02, 0.25786530691289355, 4.562383557343512e-06, 0.25786241567324, 1.2002383441360999e-05, 0.25786231750859995, 1.2643114463203556e-05, 5.905823531872377e-06, 0.2578647921023433,7950.614446428411, 7816.154827724136, 8233.58818151072, 7818.562316914336, 7790.715482314379, 5115.52534814698, 6021.161732940391, 5192.579110450235, 5120.731943612875, 0.441296, 0.665992, 0.352227
s0,100,01,r03, 0.2530538577658086, 3.657854536850761e-05, 0.25136571808176217, 0.004157298470085264, 0.253065900284487, 2.7162472841335054e-06, 0.000178128056299885, 0.25299955634853555,7953.023789787517, 7831.814622001981, 8200.43842788025, 7816.743433999719, 7798.578570694469, 5162.182334925829, 5948.965632560175, 5210.843912909917, 5166.2749925076105, 0.530364, 0.688259, 0.481781
s0,100,01,r04, 0.2535988953204332, 3.891926561925584e-06, 0.25359775770763876, 6.5204626238188015e-06, 0.2535992372333665, 2.744850219861071e-06, 2.7938619229228528e-06, 0.2535992361195215,7803.670363920751, 7690.490574353205, 8069.601115666544, 7666.944746041248, 7661.59560582511, 4935.150842717446, 5689.669812254166, 4997.032269073344, 4969.791817440261, 0.449393, 0.684211, 0.396761
s0,100,01,r05, 0.2534374767510521, 0.003025423434444043, 0.25427206310813166, 0.0006851134972781712, 0.24986052937002845, 0.01236237324059174, 0.006817506009386573, 0.2519102396230344,7961.144672651604, 7824.367828014812, 8301.929837186617, 7821.8780922197, 7788.641763032805, 5139.954971320061, 6150.591979516972, 5236.487449836409, 5162.382095838242, 0.477733, 0.734818, 0.368421
s0,100,02,r01, 0.24785163855389894, 3.838564613457477e-05, 0.2478620386790557, 1.2618183677445429e-05, 0.24773411884049104, 0.0003251767738173628, 3.767679659106094e-05, 0.2478516647790874,8736.92311699321, 8640.435500247793, 9258.573019976426, 8601.965175589508, 8614.982193418076, 6833.583436492428, 8178.429592068873, 6813.808383671127, 6831.502807618989, 0.336032, 0.611336, 0.238866
s0,100,02,r02, 0.24893123417836532, 6.2885115368478295e-06, 0.24893225238640015, 3.2651450996575514e-06, 0.2489319803697846, 4.085463889526262e-06, 1.1986091935125225e-05, 0.24892910086026446,8825.832111668069, 8703.465780629636, 9191.400046196113, 8676.359747241644, 8691.621966990528, 6975.542464261969, 8102.418373491934, 6968.076775450425, 6991.66708217412, 0.352227, 0.611336, 0.259109
s0,100,02,r03, 0.2458303360389098, 9.627403534860441e-05, 0.24563984881778272, 0.0005639665416403404, 0.24408579337611486, 0.004363502133390499, 0.004603725004999822, 0.24402547890897203,8852.643167112237, 8718.982240856867, 9248.551726152447, 8700.298891703158, 8685.095700915976, 7059.129564553568, 8171.566020721465, 7087.871136073205, 7059.886812436245, 0.319838, 0.605263, 0.186235
s0,100,02,r04, 0.2519991614969526, 2.7496123082062776e-06, 0.251994449136849, 1.4840516671520004e-05, 0.25199936482247653, 2.128184816046217e-06, 2.0996335550713765e-06, 0.2519993896198966,8885.107544645845, 8752.970029954344, 9519.442696464357, 8746.399855600248, 8735.585418859526, 7033.2104738228545, 8812.300176679528, 7081.318432634599, 7037.356643452941, 0.271255, 0.641700, 0.190283
s0,100,02,r05, 0.24546522292342596, 4.720174827442417e-06, 0.24546470183118818, 6.003929303598312e-06, 0.24546542063245824, 4.060605096450428e-06, 3.6368681752249945e-06, 0.24546559347718372,8786.344856902577, 8661.294696922312, 9080.832422659989, 8652.62221336351, 8632.797633376738, 6877.703769095843, 7899.725639835678, 6945.753358715946, 6897.445365251019, 0.344130, 0.564777, 0.238866
s0,100,03,r01, 0.25653234131091623, 3.3808496439035123e-06, 0.25653134818392154, 5.873183683062243e-06, 0.25653275591957436, 2.0434241554857504e-06, 3.1392155344187635e-06, 0.25653239898779967,8112.982856254633, 8017.874582684473, 8630.072151510445, 7977.5110455252325, 7987.104825651159, 5575.559631987411, 6896.987267352317, 5553.2723689060285, 5580.863504495164, 0.400810, 0.696356, 0.356275
s0,100,03,r02, 0.2498646166024031, 6.780323911020193e-06, 0.24903666858417242, 0.0022153787258393873, 0.2498629205430158, 1.128347613593275e-05, 1.2980739842987532e-05, 0.24986244901389865,8123.403084403753, 8034.723258028014, 8598.383926478306, 7986.098402296916, 7987.123176327797, 5713.129019226406, 6905.388977750104, 5723.389633691722, 5698.701209328262, 0.502024, 0.708502, 0.404858
s0,100,03,r03, 0.24893191966619643, 4.436506207917119e-06, 0.24893078971325586, 7.155435850460486e-06, 0.24893231429968102, 3.3048105569106073e-06, 4.0696688339176095e-06, 0.24893203364013808,8253.900325439354, 8136.305868331923, 8684.37403706848, 8117.908928898861, 8114.658135167032, 5862.922382307641, 7111.228470992275, 5952.96539790897, 5883.195446295063, 0.421053, 0.712551, 0.344130
s0,100,03,r04, 0.24973118432128208, 6.691179992238e-06, 0.24973048486278154, 8.180072115321933e-06, 0.24973259327778474, 2.737719460726562e-06, 2.0656765259773295e-05, 0.24972645513041739,8110.305904551335, 8032.264937615867, 8500.684029204558, 7986.159478470719, 8002.353838754393, 5720.017303608562, 6642.742621034754, 5730.526767947787, 5721.340684144272, 0.441296, 0.700405, 0.340081
s0,100,03,r05, 0.2578660739018945, 2.3112515133398622e-06, 0.2578656732343317, 3.3433375013120984e-06, 0.2578655527980142, 3.8069568747141654e-06, 2.1157052205151695e-06, 0.25786613604537173,8051.222431178556, 7966.604959600617, 8408.949818838651, 7910.991013858842, 7901.716042819303, 5428.872961914176, 6446.527462026808, 5388.165168558429, 5363.919160730049, 0.477733, 0.663968, 0.331984
s0,100,04,r01, 0.2595995047616662, 2.096645726817699e-06, 0.2582660835896265, 0.00299346464561383, 0.25959923767937687, 2.9451305942428293e-06, 1.83237109449253e-06, 0.259599560105634,8180.214448673172, 8068.7767709294, 8402.940545815023, 8043.86436642553, 8031.262317749604, 5561.446848994376, 6359.586872587611, 5628.517570090492, 5572.483929329384, 0.384615, 0.609312, 0.315789
s0,100,04,r02, 0.2541048196299073, 7.976514994567012e-05, 0.254131276784554, 6.448933102842407e-06, 0.25413037302584507, 8.928954245803091e-06, 2.37928880721146e-05, 0.25412508195334815,8094.324976619954, 7948.017862844931, 8389.876487778925, 7939.724714096981, 7913.210779916638, 5449.759981369122, 6413.8662484045735, 5494.357776601606, 5432.655397501831, 0.388664, 0.623482, 0.291498
s0,100,04,r03, 0.24946380335567017, 8.9585580562118e-06, 0.2494638776050163, 8.303653797334923e-06, 0.2494655038320258, 3.6169172735320205e-06, 5.81072038976099e-06, 0.24946481706460216,8250.121565779056, 8146.689192369994, 8481.011348806582, 8099.768111104067, 8105.8987917942295, 5874.83098371821, 6668.360548543079, 5865.155991404789, 5879.473894232181, 0.502024, 0.582996, 0.376518
s0,100,04,r04, 0.2611388576919909, 0.002334722595891645, 0.2619958496795817, 1.2496453373380064e-05, 0.2619956423931342, 1.2978975605803421e-05, 0.0005962943581870976, 0.26177246141307997,8259.562075421381, 8138.778017093516, 8511.74616656996, 8112.040489167739, 8105.655442404309, 5683.490741919512, 6511.01622592887, 5737.5312500265045, 5712.259935123187, 0.469636, 0.601215, 0.388664
s0,100,04,r05, 0.25332868055277785, 0.0017823234881812625, 0.25389905186149264, 0.00026843536943619184, 0.2531276401227303, 0.0022825640212593237, 0.002602263208994574, 0.25301308763563374,8318.412624803701, 8191.072411990135, 8638.131560527383, 8170.447007232264, 8159.194973544461, 5912.72699297542, 6822.647539663579, 5922.533858436091, 5895.84097889031, 0.408907, 0.605263, 0.372470
s0,100,05,r01, 0.251199356243906, 2.521846888774703e-06, 0.2511815306411553, 4.7233808210038343e-05, 0.2511996228902884, 1.5531799285709318e-06, 3.036420388144497e-06, 0.2511991830438619,7780.438123163998, 7705.206515313041, 8221.749944485866, 7639.575376837185, 7655.4536084828205, 4487.792049438902, 5464.771617145687, 4525.466823581305, 4491.067846114047, 0.623482, 0.718623, 0.534413
s0,100,05,r02, 0.24373191895757493, 5.156863048234431e-06, 0.2437218200123114, 3.280174377156269e-05, 0.24373004564943962, 1.0615013044434538e-05, 4.862631277580256e-06, 0.24373197798963425,7607.393962421372, 7526.596409650977, 8110.100503327573, 7471.010319332226, 7474.238159363581, 4288.3928530008, 5420.853220051323, 4309.771915071192, 4270.5608355467275, 0.582996, 0.724696, 0.510121
s0,100,05,r03, 0.2509315783892617, 5.90600370918521e-06, 0.247847949402667, 0.007861021405994201, 0.25093265054145925, 2.433043485717522e-06, 5.437605200660524e-06, 0.25093170886634336,7617.990413992467, 7622.515590658722, 8259.232582460412, 7463.643806217026, 7547.187527249381, 4455.546908996373, 5607.768661906023, 4302.606292353986, 4440.633097765702, 0.623482, 0.759109, 0.514170
s0,100,05,r04, 0.25013092239955415, 8.00382597333611e-06, 0.24928244291102467, 0.0021145692888470745, 0.2501325306125873, 2.926872378375046e-06, 3.97287632529377e-06, 0.25013220545413245,7648.263315320767, 7629.23435840549, 8143.524750421219, 7504.611484495634, 7580.589564434287, 4444.644481847311, 5444.938918465143, 4333.715211149624, 4482.410009124377, 0.595142, 0.759109, 0.493927
s0,100,05,r05, 0.25386543970063585, 4.357168014477039e-06, 0.25386079415577734, 1.5626979959381162e-05, 0.2538659755561962, 2.6538383611606652e-06, 3.0777049621407966e-06, 0.2538658378375188,7542.072639726223, 7496.912009943499, 8148.179548406569, 7406.693079347311, 7449.551227127826, 4150.451738077003, 5311.7325228302125, 4119.650838649164, 4189.424989170449, 0.587045, 0.757085, 0.522267
s0,100,06,r01, 0.2513199811758398, 3.560217640898015e-05, 0.24763381420110722, 0.008462713545955042, 0.25133148649667103, 5.676207772966098e-06, 0.0032616054188451646, 0.2500451749283352,7791.289895560262, 7675.188272012799, 8261.53481945914, 7669.857427773333, 7648.4328660413885, 5071.14156695025, 6294.9993806064185, 5132.381852063909, 5086.529943080094, 0.392713, 0.702429, 0.307692
s0,100,06,r02, 0.25399968365686115, 1.3984078130991e-06, 0.25399497367041357, 1.5057898823176508e-05, 0.25399936943550755, 2.301042740280627e-06, 1.9552123000025137e-06, 0.2539995101813799,7845.534227437424, 7703.985040881957, 8270.96831675332, 7712.495889921044, 7672.656403474866, 5058.390720847032, 6290.568726107122, 5158.4673321536675, 5058.9098218746885, 0.469636, 0.732794, 0.368421
s0,100,06,r03, 0.25279933339908905, 2.3983906040604815e-06, 0.2505278182476433, 0.005222970184617584, 0.2527993343756806, 2.3926164612572258e-06, 3.178195556116233e-06, 0.2527990854587903,7884.467592062416, 7786.7384997873105, 8310.85807740587, 7747.800688167771, 7768.5113683874815, 5218.6085522776875, 6287.165639728993, 5193.227344668353, 5225.926046940963, 0.453441, 0.702429, 0.425101
s0,100,06,r04, 0.2569322489843876, 3.5653323730909696e-06, 0.25680668960132447, 0.0003110399026011858, 0.256931856132236, 4.5737846692577135e-06, 4.039645756294249e-06, 0.2569320269587397,7929.4165400981465, 7903.714769989282, 8576.736280742303, 7793.909510568426, 7877.250284514934, 5397.844482713614, 6831.777949733325, 5268.222813577444, 5399.701348204278, 0.489879, 0.769231, 0.425101
s0,100,06,r05, 0.25319910966122294, 3.263695476649704e-06, 0.24888709802379896, 0.009541795716760422, 0.25319908387461004, 3.3097786547825766e-06, 3.4394185729630935e-06, 0.2531990228689445,7729.74051155946, 7624.237839666785, 8246.906544503447, 7604.126711852772, 7593.939465294076, 4943.0307486544525, 6181.860483684975, 4983.574404206698, 4952.042011701884, 0.497976, 0.728745, 0.408907
s0,100,07,r01, 0.24773204143985894, 4.482306030651697e-06, 0.244988537186464, 0.006637563861007404, 0.24773239231998845, 3.3047173115809482e-06, 4.426509707880282e-06, 0.24773202960637342,8140.0036843811595, 8050.709892656794, 8605.940734654096, 8017.249871591111, 8022.563060425982, 5758.764789415667, 6905.945835365279, 5759.243366330317, 5773.864080506683, 0.433198, 0.712551, 0.384615
s0,100,07,r02, 0.24693282703846262, 2.0249768996675897e-06, 0.24693271527001176, 1.976824102725931e-06, 0.2469330057950482, 1.3824878476792958e-06, 1.4327458896919274e-06, 0.24693299503730073,8074.144285843915, 7968.728134072587, 8547.184660759234, 7950.019986475818, 7935.583201002481, 5675.614508846127, 6856.807404137871, 5717.117850572168, 5687.839851470457, 0.400810, 0.627530, 0.307692
s0,100,07,r03, 0.24786507100542207, 5.327958414409984e-06, 0.2478525413374712, 3.882896505025808e-05, 0.2478646079086313, 6.672292319901878e-06, 5.871014536792353e-06, 0.2478648826050324,8149.497378071862, 8029.034508626267, 8534.062393031556, 8028.587385697012, 8013.788844676037, 5688.189164852298, 6835.151027462686, 5744.728510159081, 5699.641097187997, 0.364372, 0.623482, 0.327935
s0,100,07,r04, 0.24961403261769471, 0.0006981706458001303, 0.24798363663307957, 0.004698497725297826, 0.24917575027623481, 0.0018772541982382698, 0.00144355397984073, 0.2493388012782776,8014.8754391129505, 7892.395448272185, 8580.745971184397, 7889.06315273348, 7863.49658231288, 5504.802265155109, 6962.289127409866, 5577.403194604787, 5512.232866678945, 0.417004, 0.659919, 0.259109
s0,100,07,r05, 0.25293217659138734, 4.172548716404487e-06, 0.2529281217458136, 1.4847892091009012e-05, 0.25293145999209865, 6.151431627883201e-06, 3.4417185414807757e-06, 0.25293237177778916,8085.405881200898, 7993.937169206656, 8532.806481762182, 7955.646171794639, 7932.850071762557, 5597.023461714618, 6720.718395485538, 5593.0899337821875, 5547.866175883818, 0.481781, 0.680162, 0.348178
s0,100,08,r01, 0.2518564286597103, 0.007398338619301752, 0.25383153003118497, 0.0029892547872468304, 0.25377383422966876, 0.0028971424503097093, 0.005209780766859952, 0.25273951318660487,7747.940405221538, 7683.678803075091, 8006.613016820436, 7616.968105119081, 7642.315914527727, 4609.058825321982, 5406.306204966908, 4594.162897138252, 4630.614241050879, 0.502024, 0.665992, 0.392713
s0,100,08,r02, 0.25066501455659423, 5.441128236116185e-06, 0.2494612112687029, 0.002970709989983663, 0.25066526317773213, 4.489792736360118e-06, 5.394270395777235e-06, 0.250665012098501,7695.953138875092, 7661.936599456521, 8050.038317015176, 7580.151666700157, 7605.201154687178, 4578.183827172523, 5403.831107286152, 4544.922524674062, 4576.411662545179, 0.566802, 0.710526, 0.493927
s0,100,08,r03, 0.24653023752861938, 8.713916711784437e-06, 0.2465317165713755, 4.792338748217826e-06, 0.24653186358793885, 4.231869029424398e-06, 2.625932225533312e-06, 0.24653247496093691,7669.278475723987, 7597.343764808925, 8086.622196561576, 7542.991360677742, 7537.215194045164, 4570.417147371298, 5616.777794302335, 4576.703457497725, 4576.942577137313, 0.502024, 0.700405, 0.376518
s0,100,08,r04, 0.2506385291303712, 0.003382224241356595, 0.25185760937730445, 2.565012328528047e-05, 0.2518602145208931, 1.896522648346117e-05, 0.008135847009766434, 0.24877893058215955,7617.885025274533, 7577.896641435026, 7891.172706693534, 7488.469224302692, 7526.935997071613, 4436.510095662284, 5146.465723976865, 4401.745364393574, 4453.738394354804, 0.591093, 0.657895, 0.510121
s0,100,08,r05, 0.2498656225290825, 3.5013844785712063e-06, 0.24982487824505376, 0.00010553665893311372, 0.24986606353196472, 2.221238631940145e-06, 2.9022476453487415e-06, 0.24986581798320123,7657.0732948801715, 7621.3022085633465, 8168.686395333465, 7528.256778903942, 7577.007980648564, 4593.02906419583, 5760.222128175146, 4512.276442265815, 4581.975912736506, 0.611336, 0.789474, 0.542510
s0,100,09,r01, 0.2610641264000552, 9.048136957794051e-06, 0.26105598707086186, 3.0088911654123524e-05, 0.2610647685498321, 6.442383497394469e-06, 5.295288737936579e-06, 0.26106518605343254,8112.594705083214, 8050.174157998568, 8690.35336530995, 7979.142110818187, 8015.378806390404, 5235.229889679587, 6595.08819709281, 5172.182185566111, 5231.528442225018, 0.469636, 0.684211, 0.348178
s0,100,09,r02, 0.25946110106799913, 1.8411909827968482e-05, 0.2566071329273489, 0.007837677192590322, 0.2594592868146186, 2.4102345849941314e-05, 0.009772625941334545, 0.2558878389035522,8199.291040785354, 8100.494461497662, 8674.011869344808, 8072.343061581347, 8071.501996543506, 5290.390280335355, 6464.169482123676, 5305.246796134848, 5290.7857890804935, 0.493927, 0.678138, 0.417004
