modelcond,jobidx,Ultra,NoConstraint
s25d75p10,292,0.412955,0.417004
s25d75p10,294,0.384615,0.400810
s25d75p10,296,0.388664,0.417004
s25d75p10,298,0.364372,0.384615
s50d50p01,300,0.255061,0.279352
s50d50p01,302,0.352227,0.364372
s50d50p01,304,0.364372,0.388664
s50d50p01,306,0.291498,0.315789
s50d50p01,308,0.331984,0.396761
s50d50p02,310,0.259109,0.287449
s50d50p02,312,0.336032,0.372470
s50d50p02,314,0.319838,0.307692
s50d50p02,316,0.279352,0.287449
s50d50p02,318,0.303644,0.348178
s50d50p03,320,0.307692,0.356275
s50d50p03,322,0.234818,0.255061
s50d50p03,324,0.279352,0.295547
s50d50p03,326,0.234818,0.255061
s50d50p03,328,0.299595,0.299595
s50d50p04,330,0.206478,0.234818
s50d50p04,332,0.299595,0.307692
s50d50p04,334,0.206478,0.255061
s50d50p04,336,0.295547,0.279352
s50d50p04,338,0.255061,0.279352
s50d50p05,340,0.429150,0.437247
s50d50p05,342,0.360324,0.384615
s50d50p05,344,0.404858,0.400810
s50d50p05,346,0.319838,0.344130
s50d50p05,348,0.429150,0.457490
s50d50p06,350,0.275304,0.299595
s50d50p06,352,0.327935,0.348178
s50d50p06,354,0.287449,0.331984
s50d50p06,356,0.311741,0.340081
s50d50p06,358,0.327935,0.364372
s50d50p07,360,0.279352,0.311741
s50d50p07,362,0.259109,0.246964
s50d50p07,364,0.271255,0.287449
s50d50p07,366,0.307692,0.303644
s50d50p07,368,0.251012,0.295547
s50d50p08,370,0.263158,0.315789
s50d50p08,372,0.275304,0.287449
s50d50p08,374,0.352227,0.336032
s50d50p08,376,0.319838,0.356275
s50d50p08,378,0.348178,0.392713
s50d50p09,380,0.295547,0.360324
s50d50p09,382,0.303644,0.336032
s50d50p09,384,0.376518,0.368421
s50d50p09,386,0.311741,0.340081
s50d50p09,388,0.267206,0.283401
s50d50p10,390,0.400810,0.433198
s50d50p10,392,0.311741,0.327935
s50d50p10,394,0.437247,0.465587
s50d50p10,396,0.380567,0.437247
s50d50p10,398,0.331984,0.360324
s75d25p01,400,0.376518,0.400810
s75d25p01,402,0.400810,0.433198
s75d25p01,404,0.287449,0.368421
s75d25p01,406,0.344130,0.380567
s75d25p01,408,0.344130,0.360324
s75d25p02,410,0.149798,0.178138
s75d25p02,412,0.125506,0.186235
s75d25p02,414,0.165992,0.186235
s75d25p02,416,0.182186,0.202429
s75d25p02,418,0.170040,0.178138
s75d25p03,420,0.234818,0.218623
s75d25p03,422,0.238866,0.251012
s75d25p03,424,0.242915,0.311741
s75d25p03,426,0.267206,0.303644
s75d25p03,428,0.340081,0.348178
s75d25p04,430,0.246964,0.299595
s75d25p04,432,0.263158,0.271255
s75d25p04,434,0.214575,0.202429
s75d25p04,436,0.259109,0.234818
s75d25p04,438,0.222672,0.259109
s75d25p05,440,0.267206,0.267206
s75d25p05,442,0.283401,0.323887
s75d25p05,444,0.368421,0.344130
s75d25p05,446,0.315789,0.376518
s75d25p05,448,0.340081,0.384615
s75d25p06,450,0.279352,0.267206
s75d25p06,452,0.238866,0.315789
s75d25p06,454,0.291498,0.303644
s75d25p06,456,0.242915,0.295547
s75d25p06,458,0.267206,0.340081
s75d25p07,460,0.210526,0.267206
s75d25p07,462,0.238866,0.251012
s75d25p07,464,0.186235,0.186235
s75d25p07,466,0.251012,0.246964
s75d25p07,468,0.198381,0.242915
s75d25p08,470,0.206478,0.242915
s75d25p08,472,0.238866,0.255061
s75d25p08,474,0.263158,0.263158
s75d25p08,476,0.202429,0.198381
s75d25p08,478,0.202429,0.194332
s75d25p09,480,0.255061,0.242915
s75d25p09,482,0.238866,0.255061
s75d25p09,484,0.202429,0.198381
s75d25p09,486,0.238866,0.202429
s75d25p09,488,0.178138,0.210526
s75d25p10,490,0.202429,0.214575
s75d25p10,492,0.271255,0.327935
s75d25p10,494,0.255061,0.283401
s75d25p10,496,0.255061,0.295547
s75d25p10,498,0.275304,0.380567
