true_nu,true_phi,prioridx,rep,startle_phi,startle_nu,cassg_phi,cassg_nu,problin_nu,problin_phi
s0,100,01,r01, 0.25866447489875877, 7.305753511500927e-06, 0.2586598452644978, 2.0399710078655057e-05, 9.67260408669411e-06, 0.2586636597680107
s0,100,01,r02, 0.2578652445503409, 4.736139269209784e-06, 0.2578616507659485, 1.413734471594842e-05, 5.905823531872377e-06, 0.2578647921023433
s0,100,01,r03, 0.25305713736768926, 2.7380852499049305e-05, 0.2512734649748352, 0.0044071319161376995, 0.000178128056299885, 0.25299955634853555
s0,100,01,r04, 0.2535989466796387, 3.701699702605466e-06, 0.2535960356802727, 1.1328336644698557e-05, 2.7938619229228528e-06, 0.2535992361195215
s0,100,01,r05, 0.253407364696746, 0.0031331907597339525, 0.25427956863736584, 0.0006668564823879741, 0.006817506009386573, 0.2519102396230344
s0,100,02,r01, 0.24785663873581457, 2.5732120084030387e-05, 0.24786169392133447, 1.3545061673976371e-05, 3.767679659106094e-05, 0.2478516647790874
s0,100,02,r02, 0.24893130357959065, 6.084844703444647e-06, 0.24893144923196944, 5.5486359852297536e-06, 1.1986091935125225e-05, 0.24892910086026446
s0,100,02,r03, 0.24580358962114893, 0.0001675154971670587, 0.245533812912309, 0.0008310158494751956, 0.004603725004999822, 0.24402547890897203
s0,100,02,r04, 0.2519991082445141, 2.8905829323737565e-06, 0.25199494726608895, 1.3515370191039791e-05, 2.0996335550713765e-06, 0.2519993896198966
s0,100,02,r05, 0.24546529304915377, 4.483110338343122e-06, 0.24546478882729278, 5.733730040093788e-06, 3.6368681752249945e-06, 0.24546559347718372
s0,100,03,r01, 0.2565326634049778, 2.365186412134532e-06, 0.2565312699856775, 6.091051496626244e-06, 3.1392155344187635e-06, 0.25653239898779967
s0,100,03,r02, 0.24986485062358624, 6.0410801735997345e-06, 0.2487381060451463, 0.003024916331995186, 1.2980739842987532e-05, 0.24986244901389865
s0,100,03,r03, 0.24893180621653357, 4.68135646812048e-06, 0.24892966920464768, 1.023713486843062e-05, 4.0696688339176095e-06, 0.24893203364013808
s0,100,03,r04, 0.2497312841833628, 6.396713484980633e-06, 0.2497303652899521, 8.521530154959894e-06, 2.0656765259773295e-05, 0.24972645513041739
s0,100,03,r05, 0.25786587747570594, 2.956521904919468e-06, 0.2578656225289287, 3.473065900888236e-06, 2.1157052205151695e-06, 0.25786613604537173
s0,100,04,r01, 0.25959951813683724, 2.0245733923574345e-06, 0.2581880206335118, 0.0032252881990915317, 1.83237109449253e-06, 0.259599560105634
s0,100,04,r02, 0.2541010082715331, 9.079619479331467e-05, 0.25413110840185976, 6.92305156552648e-06, 2.37928880721146e-05, 0.25412508195334815
s0,100,04,r03, 0.24946490876575697, 5.576775691814735e-06, 0.24946340063903255, 9.689310512436676e-06, 5.81072038976099e-06, 0.24946481706460216
s0,100,04,r04, 0.26104103069101786, 0.0026094222747441672, 0.26199533819746756, 1.4028440710758179e-05, 0.0005962943581870976, 0.26177246141307997
s0,100,04,r05, 0.25333237017987453, 0.001781007522476196, 0.2537825281902076, 0.0005785778467957762, 0.002602263208994574, 0.25301308763563374
s0,100,05,r01, 0.2511994727711412, 2.076115149302809e-06, 0.25115170368853273, 0.00012366273931204897, 3.036420388144497e-06, 0.2511991830438619
s0,100,05,r02, 0.24373199211292332, 4.900235094139015e-06, 0.24372231004458006, 3.14746549282334e-05, 4.862631277580256e-06, 0.24373197798963425
s0,100,05,r03, 0.25093170748536153, 5.486208530997771e-06, 0.24724855240576687, 0.009447415623681758, 5.437605200660524e-06, 0.25093170886634336
s0,100,05,r04, 0.25013097091236247, 7.889760237154633e-06, 0.24885223181849983, 0.0031993650300997122, 3.97287632529377e-06, 0.25013220545413245
s0,100,05,r05, 0.2538655411543024, 4.01601883846601e-06, 0.25385952496294606, 1.897291969610596e-05, 3.0777049621407966e-06, 0.2538658378375188
s0,100,06,r01, 0.2513093910879044, 6.39715533602931e-05, 0.24748609274096847, 0.008899955344404598, 0.0032616054188451646, 0.2500451749283352
s0,100,06,r02, 0.2539995936976673, 1.708204327685836e-06, 0.2539959327039926, 1.2126097732203346e-05, 1.9552123000025137e-06, 0.2539995101813799
s0,100,06,r03, 0.2527990091982828, 3.428527886458467e-06, 0.25043374641469435, 0.005475353407756964, 3.178195556116233e-06, 0.2527990854587903
s0,100,06,r04, 0.256932337741699, 3.2818144858040227e-06, 0.2567898539966202, 0.0003529019516873727, 4.039645756294249e-06, 0.2569320269587397
s0,100,06,r05, 0.25319924750274814, 2.7773078799558216e-06, 0.24883664012244136, 0.009699346531201138, 3.4394185729630935e-06, 0.2531990228689445
s0,100,07,r01, 0.2477321959936523, 3.951826150734057e-06, 0.24497893697486478, 0.006679512101211571, 4.426509707880282e-06, 0.24773202960637342
s0,100,07,r02, 0.24693306130846734, 1.1629021905923863e-06, 0.24693280374005958, 1.6959804022385243e-06, 1.4327458896919274e-06, 0.24693299503730073
s0,100,07,r03, 0.2478651590241638, 5.0544079439038764e-06, 0.24785725891190183, 2.5968606767141427e-05, 5.871014536792353e-06, 0.2478648826050324
s0,100,07,r04, 0.2497431015814208, 0.00034124094354296504, 0.24789230028374395, 0.004943342247708871, 0.00144355397984073, 0.2493388012782776
s0,100,07,r05, 0.2529322862173082, 3.8058941359741322e-06, 0.2529242856152861, 2.571860632281921e-05, 3.4417185414807757e-06, 0.25293237177778916
s0,100,08,r01, 0.2521599126363939, 0.0067127757277555215, 0.2536895251104575, 0.003360108370120669, 0.005209780766859952, 0.25273951318660487
s0,100,08,r02, 0.25066505014591, 5.29779295234479e-06, 0.24920820113775807, 0.003636640651063581, 5.394270395777235e-06, 0.250665012098501
s0,100,08,r03, 0.24653168767411346, 4.71407076931398e-06, 0.2465317175973385, 4.747417822791756e-06, 2.625932225533312e-06, 0.24653247496093691
s0,100,08,r04, 0.2518546336907121, 3.6044258287132705e-05, 0.25185445503216836, 3.449000984886147e-05, 0.008135847009766434, 0.24877893058215955
s0,100,08,r05, 0.24986579041221615, 2.9589223467604523e-06, 0.24970356609716574, 0.0004093916616651964, 2.9022476453487415e-06, 0.24986581798320123
s0,100,09,r01, 0.2610651533855133, 5.475569843714438e-06, 0.26105945028047234, 2.0389481806123356e-05, 5.295288737936579e-06, 0.26106518605343254
s0,100,09,r02, 0.2594614272069669, 1.744561582917796e-05, 0.25649303270174373, 0.008183849924354667, 0.009772625941334545, 0.2558878389035522
s0,100,09,r03, 0.24973035462631357, 8.705510433606852e-06, 0.249730003717167, 9.954183377175623e-06, 1.2959665004827276e-05, 0.24972876653835926
s0,100,09,r04, 0.24999430358140975, 1.8318280041555103e-05, 0.24999724632524215, 8.783586576332005e-06, 7.606370580414991e-06, 0.2499976785225053
s0,100,09,r05, 0.259331105727543, 7.464188037739046e-06, 0.2593304734027683, 8.698664762984485e-06, 5.612360050322018e-06, 0.2593316548077079
s0,100,10,r01, 0.2530649517236817, 5.738402696670827e-06, 0.25299500640092015, 0.0002040512252779789, 4.5592954763079005e-06, 0.25306533919366725
