Sample,Startle_RF,CassG_RF,CassH_RF,Problin_RF,Startle_NLLH,CassG_NLLH,CassH_NLLH,Problin_NLLH,Startle_WPS,CassG_WPS,CassH_WPS,Problin_WPS,NumNodes
s10c1,0.222222,0.538462,0.538462,0.666667,43.921882458367946,44.02603454729138,44.02603299031424,43.39435358104114,11.78350206951907,11.78350206951907,11.78350206951907,12.476649250079015,12
s10c2,0.625000,0.655172,0.636364,0.687500,80.78885633153256,95.88380112271356,95.88380132483508,80.01218170848462,24.26015131959808,24.953298500158027,16.635532333438686,24.95329850015803,19
s10c3,0.647059,0.714286,0.666667,0.647059,68.93681480343622,74.89101884960635,74.89101941790966,68.90874510211265,22.18070977791825,26.339592861277918,21.487562597358302,22.18070977791825,20
s10c4,0.000000,0.384615,0.400000,0.285714,47.547097296339324,53.87996844284392,53.879971446149206,46.79463813482029,14.55609079175885,14.55609079175885,11.78350206951907,14.556090791758852,10
s10c5,0.142857,0.230769,0.230769,0.142857,42.75852311689158,43.77794370013015,43.77794373659296,42.75852435277612,11.78350206951907,11.78350206951907,11.78350206951907,11.78350206951907,10
s11c1,0.000000,0.333333,0.333333,0.333333,51.12093269920833,53.857247813150835,53.85724779653376,50.348937488504745,12.476649250079015,13.16979643063896,13.16979643063896,12.476649250079015,6
s12c1,0.800000,0.600000,0.555556,0.600000,48.0712747258873,47.54171530889719,47.54171554972251,46.906333867235496,9.704060527839234,9.704060527839234,9.704060527839234,9.704060527839234,8
s12c2,,0.000000,0.000000,0.000000,,21.80806513889978,21.808065100755535,21.80806509404262,,4.1588830833596715,4.1588830833596715,4.1588830833596715,4
s12c3,,1.000000,1.000000,0.000000,,14.353377962505437,14.353377977225303,13.708557596266003,,3.4657359027997265,3.4657359027997265,3.4657359027997265,4
s12c4,0.705882,0.741935,0.615385,0.705882,120.10951746707858,154.00856469693096,154.00856599173568,119.62433182107344,29.805328764077643,35.350506208557206,32.577917486317425,30.498475944637594,20
s13c1,0.861111,0.864407,0.840000,0.888889,164.01334199494917,202.31181903450997,202.3118184214029,162.45128460425036,38.12309493079699,45.054566736396445,34.657359027997266,38.12309493079699,39
s13c2,0.800000,0.750000,0.619048,0.666667,67.90985697963956,84.08170648226555,84.0817063490913,61.971194577571296,16.635532333438686,19.408121055678468,16.635532333438686,16.635532333438686,18
s13c3,0.833333,0.800000,0.800000,0.833333,43.426317251727866,43.54969640675297,43.549696415490246,43.344082247859525,10.39720770839918,11.090354888959125,10.39720770839918,10.39720770839918,9
s13c4,0.625000,0.692308,0.666667,0.625000,79.05079485204487,88.55193873326013,88.5519386724706,74.43920123625149,18.71497387511852,20.79441541679836,18.714973875118524,19.408121055678468,19
s14c2,1.000000,1.000000,1.000000,0.750000,72.9431394028539,81.15636946874795,81.15636947787361,70.45866432851773,14.556090791758852,15.942385152878742,18.021826694558577,14.556090791758852,15
s14c3,0.166667,0.333333,0.333333,0.333333,36.746816046354446,39.526755159091984,39.526755070162395,36.643028826889534,9.010913347279288,9.010913347279288,9.010913347279288,9.010913347279288,9
s14c4,0.500000,0.714286,0.428571,0.500000,29.54047841513684,32.79437596731647,32.79437581566177,29.54047837702521,8.317766166719343,9.010913347279288,9.010913347279288,8.317766166719343,7
s14c5,0.772727,0.882353,0.806452,0.818182,101.05097282251062,134.52000456408402,134.5200041982364,99.72870181043771,24.260151319598084,29.805328764077647,22.18070977791825,24.260151319598084,25
s14c6,0.625000,0.857143,0.818182,0.625000,71.11807331933669,77.77325271535989,77.7732524317834,71.11807340532009,18.71497387511852,22.18070977791825,20.10126823623841,18.71497387511852,11
s15c1,0.800000,0.777778,0.750000,0.700000,74.0436200847435,80.03237047005913,80.03237021335842,73.81595795774219,18.714973875118524,19.408121055678468,17.328679513998633,18.714973875118524,13
s15c2,0.687500,0.777778,0.750000,0.750000,95.5179600890825,103.38693395495334,103.38693315044499,94.82380478738034,22.87385695847819,27.03274004183786,22.180709777918246,22.87385695847819,19
s15c3,,1.000000,1.000000,1.000000,,35.34878942976446,35.34878946898641,35.34878933033573,,9.010913347279288,9.010913347279288,9.010913347279288,5
s15c4,0.636364,0.684211,0.500000,0.545455,65.94117110399367,81.02328566076139,81.02328585504092,64.78497197650793,19.408121055678468,22.18070977791825,18.021826694558577,20.794415416798355,14
s15c5,0.571429,0.666667,0.636364,0.571429,44.204158107528926,50.80417214127325,50.804171986906724,44.20415813600197,9.704060527839234,9.704060527839234,9.704060527839234,9.704060527839234,10
s15c6,0.555556,0.666667,0.666667,0.555556,44.638254029222864,47.376262644985935,47.37626259057085,44.37293047285999,11.090354888959125,11.78350206951907,11.78350206951907,11.78350206951907,12
s15c7,0.923077,0.942857,1.000000,0.884615,76.9934936469688,98.94376952189677,98.94376930400439,76.62577388447933,14.556090791758852,14.556090791758852,13.16979643063896,14.556090791758852,29
s15c8,0.823529,0.785714,0.833333,0.823529,73.4224078731435,84.19479166075544,84.19479150385406,68.57502656835415,18.021826694558577,22.87385695847819,18.71497387511852,18.021826694558577,20
s16c1,0.888889,0.862069,0.800000,0.833333,126.19507246053391,136.67938055214452,136.67937904613825,124.77284754579033,28.419034402957752,30.498475944637587,33.27106466687737,28.419034402957752,21
s16c2,0.333333,0.200000,0.200000,0.000000,33.466948518451886,34.23928161884666,34.23928192660137,33.46694816002731,9.010913347279288,10.39720770839918,10.39720770839918,9.010913347279288,6
s16c3,0.250000,0.714286,0.714286,0.250000,36.38212565258397,37.12802691059739,37.12802681065785,36.36760845404139,9.010913347279288,9.704060527839234,9.704060527839234,9.010913347279288,7
s16c4,0.166667,0.200000,0.200000,0.000000,38.57215265193692,39.01492815672941,39.01492815603106,38.03835560820197,8.317766166719343,8.317766166719343,8.317766166719343,8.317766166719343,9
s16c5,0.142857,0.166667,0.272727,0.000000,44.55475032754193,46.672031161797676,46.672042373886015,44.49781346795787,13.16979643063896,13.16979643063896,13.16979643063896,13.16979643063896,10
s16c6,0.764706,0.833333,0.739130,0.823529,55.905499809151394,60.83974051072448,60.83973983408653,54.73752773119338,13.16979643063896,13.862943611198906,12.476649250079015,13.16979643063896,20
s16c7,0.833333,0.777778,0.777778,0.666667,57.56868805756461,57.44232928515102,57.44232914679736,56.722034366851055,13.16979643063896,13.16979643063896,13.16979643063896,13.16979643063896,9
s16c8,0.250000,0.142857,0.500000,0.125000,44.70698104220451,46.20372171608972,46.20372367203817,43.35880555731543,14.556090791758852,14.556090791758852,13.862943611198906,14.556090791758852,11
s16c9,,0.000000,0.000000,0.000000,,23.75327423492179,23.75326816062651,23.75326317914901,,9.010913347279288,9.010913347279288,9.010913347279288,4
s17c1,0.823529,1.000000,0.833333,0.823529,132.87980768711077,159.8573299941156,159.85732934681803,132.59271289653242,31.191623125197534,34.657359027997266,33.27106466687737,31.191623125197538,20
s18c1,0.916667,0.894737,0.882353,0.833333,72.47112771539916,81.32144293434922,81.3214428557938,71.5825399639142,15.94238515287874,18.021826694558577,13.862943611198906,15.942385152878742,15
s18c2,0.666667,0.666667,0.785714,0.555556,103.40931563557922,126.18793966632612,126.18794134541541,101.78347734088211,22.18070977791825,24.260151319598087,22.873856958478196,22.18070977791825,21
s19c1,0.888889,0.857143,0.857143,0.888889,44.56238877003136,49.12831050324048,49.128310513141386,43.728388886683476,9.704060527839234,10.39720770839918,10.39720770839918,9.704060527839234,12
s19c2,0.833333,0.882353,0.750000,0.833333,45.48425942575496,46.20392759158959,46.203927567122356,44.47492408213332,11.090354888959125,12.476649250079015,11.090354888959125,11.090354888959125,15
s19c3,,0.714286,0.666667,0.500000,,58.402639740824775,58.402639779059065,55.340768020946314,,15.942385152878742,14.556090791758852,15.249237972318797,7
s19c4,1.000000,1.000000,0.888889,0.909091,51.88821993764887,60.177557764097415,60.177557658767135,50.8180469924671,10.39720770839918,11.090354888959125,13.16979643063896,10.39720770839918,14
s1c1,0.666667,0.636364,0.600000,0.666667,38.673958759415434,39.62449354300897,39.62449337093595,38.673958928599305,10.39720770839918,10.39720770839918,10.39720770839918,10.39720770839918,9
s1c2,,1.000000,1.000000,0.000000,,18.303891032380992,18.30389107999906,17.706057001232598,,5.545177444479562,5.545177444479562,5.545177444479562,4
s20c1,0.833333,0.800000,0.800000,0.833333,44.77681131581258,48.07420712445977,48.07420788257203,44.719841367584586,11.090354888959125,13.862943611198906,13.16979643063896,11.090354888959125,9
s20c2,0.937500,1.000000,1.000000,1.000000,37.121481635406596,38.0329699552296,38.032969956518556,35.0360094424967,9.704060527839234,9.704060527839234,9.704060527839234,9.704060527839234,19
s20c3,0.800000,1.000000,1.000000,1.000000,58.846148968825354,59.35714244674334,59.35714245050511,57.11537064265101,13.16979643063896,13.16979643063896,13.16979643063896,13.16979643063896,8
s20c4,0.571429,0.400000,0.400000,0.571429,30.465973420237205,30.271956605916202,30.271956692837218,30.370606403950113,8.317766166719343,8.317766166719343,8.317766166719343,8.317766166719343,10
s20c5,0.818182,0.800000,0.764706,0.818182,86.84663384349173,90.7761595425073,90.77615974385338,86.8466332019868,24.26015131959808,27.725887222397805,19.408121055678464,24.26015131959808,14
s20c6,0.555556,0.750000,0.714286,0.666667,89.0524499230209,93.13251084782067,93.13251094758489,88.15000276474518,22.87385695847819,27.03274004183786,22.873856958478193,22.873856958478193,12
s20c7,,,,,,27.45697005528748,27.456970009348144,27.456969990650656,,7.6246189861593985,7.6246189861593985,7.6246189861593985,3
s21c1,0.900000,0.846154,0.833333,0.800000,31.49902189414796,33.4779980668999,33.47799809032973,30.51897394782013,5.545177444479562,5.545177444479562,5.545177444479562,5.545177444479562,13
s21c3,0.750000,0.733333,0.818182,0.750000,65.38114991641866,80.98159165617636,80.9815907450123,65.36277160815193,18.71497387511852,20.10126823623841,17.328679513998633,18.71497387511852,11
s21c4,0.655172,0.688889,0.631579,0.586207,113.71669789158818,120.52583755628709,120.5258371126008,108.8553940270291,34.65735902799726,38.816242111356935,24.95329850015803,34.657359027997266,32
s21c5,0.900000,1.000000,1.000000,1.000000,63.66276272220968,68.26816959481316,68.26816951078817,62.40894071802123,15.249237972318797,17.32867951399863,16.635532333438686,15.249237972318797,13
s2c1,0.677419,0.686275,0.695652,0.548387,126.50332612412778,161.60508008189515,161.60506317364954,121.37237845560284,31.884770305757478,34.65735902799726,36.04365338911715,33.27106466687737,34
s2c10,0.444444,0.428571,0.285714,0.333333,41.23056711152511,40.92191542630576,40.92192132770783,40.5989353847092,9.704060527839234,11.78350206951907,9.704060527839234,10.39720770839918,12
s2c2,0.500000,0.555556,0.600000,0.500000,50.14180375351343,55.7641269460912,55.76412376259228,50.10963070666493,13.16979643063896,15.249237972318797,10.39720770839918,13.16979643063896,13
s2c4,0.571429,0.692308,0.818182,0.714286,54.371738096018966,60.809248412507486,60.80924867803148,53.91540845526888,16.635532333438686,18.021826694558573,15.942385152878742,16.635532333438686,10
s2c5,0.500000,0.818182,0.750000,0.833333,52.80811581261489,62.456915567093176,62.45691738027247,51.606921875167835,17.32867951399863,20.10126823623841,15.942385152878742,18.021826694558573,9
s2c6,0.652174,0.804878,0.764706,0.695652,106.77577034957797,128.596259558847,128.59626085128795,104.38318712878352,29.112181583517696,33.27106466687738,29.112181583517696,30.498475944637587,26
s2c8,0.375000,0.600000,0.500000,0.375000,70.6653767668875,78.66813506934193,78.6681347540239,70.02017367268641,19.408121055678464,22.180709777918246,15.249237972318797,19.408121055678468,11
s2c9,0.600000,0.733333,0.733333,0.500000,38.73822441178525,39.92920813140974,39.92920832411636,37.814724874223806,11.78350206951907,13.16979643063896,12.476649250079015,11.78350206951907,13
s3c1,0.142857,0.384615,0.166667,0.142857,54.66559242153181,54.63919660776831,54.639196516969825,54.30418295865528,14.556090791758852,15.942385152878742,14.556090791758852,14.556090791758852,10
