model_condition,method,memory_kb,cpu_percent,runtime_seconds
k30M30p10_medium_sub5000_r05,startle,3650368,0.00,NA
k30M100p01_medium_sub1000_r01,startle,2034880,0.00,NA
k30M100p01_medium_sub1000_r02,startle,2050480,0.00,NA
k30M100p01_medium_sub1000_r03,startle,2024764,0.00,NA
k30M100p01_medium_sub1000_r04,startle,2023664,0.00,NA
k30M100p01_medium_sub1000_r05,startle,2032980,0.00,NA
k30M100p02_medium_sub1000_r01,startle,2043924,0.00,NA
k30M100p02_medium_sub1000_r02,startle,2022936,0.00,NA
k30M100p02_medium_sub1000_r03,startle,1998344,0.00,NA
k30M100p02_medium_sub1000_r04,startle,2032164,0.00,NA
k30M100p02_medium_sub1000_r05,startle,2023092,0.00,NA
k30M100p03_medium_sub1000_r01,startle,2033684,0.00,NA
k30M100p03_medium_sub1000_r02,startle,2018108,0.00,NA
k30M100p03_medium_sub1000_r03,startle,2056216,0.00,NA
k30M100p03_medium_sub1000_r04,startle,2014532,0.00,NA
k30M100p03_medium_sub1000_r05,startle,2039068,0.00,NA
k30M100p04_medium_sub1000_r01,startle,2022564,0.00,NA
k30M100p04_medium_sub1000_r02,startle,2020200,0.00,NA
k30M100p04_medium_sub1000_r03,startle,2028400,0.00,NA
k30M100p04_medium_sub1000_r04,startle,2020088,0.00,NA
k30M100p04_medium_sub1000_r05,startle,2020016,0.00,NA
k30M100p05_medium_sub1000_r01,startle,1998300,0.00,NA
k30M100p05_medium_sub1000_r02,startle,1996604,0.00,NA
k30M100p05_medium_sub1000_r03,startle,2024396,0.00,NA
k30M100p05_medium_sub1000_r04,startle,2015288,0.00,NA
k30M100p05_medium_sub1000_r05,startle,2015092,0.00,NA
k30M100p06_medium_sub1000_r01,startle,2034372,0.00,NA
k30M100p06_medium_sub1000_r02,startle,2041468,0.00,NA
k30M100p06_medium_sub1000_r03,startle,2020632,0.00,NA
k30M100p06_medium_sub1000_r04,startle,2022964,0.00,NA
k30M100p06_medium_sub1000_r05,startle,2016556,0.00,NA
k30M100p07_medium_sub1000_r01,startle,2014780,0.00,NA
k30M100p07_medium_sub1000_r02,startle,2026340,0.00,NA
