model_condition,method,memory_kb,cpu_percent,runtime_seconds
k30M30p01_medium_sub1000_r01,nj,2496,30.00,20
k30M30p01_medium_sub1000_r02,nj,2500,30.00,20
k30M30p01_medium_sub1000_r03,nj,2496,30.00,20
k30M30p01_medium_sub1000_r04,nj,2496,34.78,23
k30M30p01_medium_sub1000_r05,nj,2496,34.78,23
k30M30p02_medium_sub1000_r01,nj,2496,34.78,23
k30M30p02_medium_sub1000_r02,nj,2496,34.78,23
k30M30p02_medium_sub1000_r03,nj,1664,33.33,24
k30M30p02_medium_sub1000_r04,nj,2500,30.00,20
k30M30p02_medium_sub1000_r05,nj,2500,30.00,20
k30M30p03_medium_sub1000_r01,nj,2496,39.29,14
k30M30p03_medium_sub1000_r02,nj,2500,42.86,14
k30M30p03_medium_sub1000_r03,nj,1668,44.44,18
k30M30p03_medium_sub1000_r04,nj,2496,44.44,18
k30M30p03_medium_sub1000_r05,nj,2496,44.44,18
k30M30p04_medium_sub1000_r01,nj,1668,50.00,12
k30M30p04_medium_sub1000_r02,nj,2500,45.83,12
k30M30p04_medium_sub1000_r03,nj,2496,45.83,12
k30M30p04_medium_sub1000_r04,nj,2500,50.00,12
k30M30p04_medium_sub1000_r05,nj,2496,50.00,12
k30M30p05_medium_sub1000_r01,nj,2496,50.00,12
k30M30p05_medium_sub1000_r02,nj,2500,50.00,12
k30M30p05_medium_sub1000_r03,nj,2916,42.86,21
k30M30p05_medium_sub1000_r04,nj,3472,42.86,21
k30M30p05_medium_sub1000_r05,nj,3024,42.86,21
k30M30p06_medium_sub1000_r01,nj,3024,42.86,21
k30M30p06_medium_sub1000_r02,nj,3024,42.86,21
k30M30p06_medium_sub1000_r03,nj,3472,42.86,21
k30M30p06_medium_sub1000_r04,nj,3200,42.86,21
k30M30p06_medium_sub1000_r05,nj,2500,50.00,12
k30M30p07_medium_sub1000_r01,nj,2500,50.00,12
k30M30p07_medium_sub1000_r02,nj,2500,46.15,13
k30M30p07_medium_sub1000_r03,nj,2500,46.15,13
k30M30p07_medium_sub1000_r04,nj,2500,46.15,13
k30M30p07_medium_sub1000_r05,nj,2500,46.15,13
k30M30p08_medium_sub1000_r01,nj,2500,50.00,12
k30M30p08_medium_sub1000_r02,nj,2500,50.00,12
k30M30p08_medium_sub1000_r03,nj,2496,46.15,13
k30M30p08_medium_sub1000_r04,nj,2496,47.06,17
k30M30p08_medium_sub1000_r05,nj,2500,47.06,17
k30M30p09_medium_sub1000_r01,nj,1664,47.06,17
k30M30p09_medium_sub1000_r02,nj,2496,47.06,17
k30M30p09_medium_sub1000_r03,nj,2496,47.06,17
k30M30p09_medium_sub1000_r04,nj,2500,47.06,17
k30M30p09_medium_sub1000_r05,nj,2496,47.06,17
k30M30p10_medium_sub1000_r01,nj,2500,47.06,17
k30M30p10_medium_sub1000_r02,nj,2496,46.15,13
k30M30p10_medium_sub1000_r03,nj,2500,46.15,13
k30M30p10_medium_sub1000_r04,nj,3472,47.06,17
k30M30p10_medium_sub1000_r05,nj,2500,45.83,12
k30M30p01_medium_sub5000_r01,nj,1359760,49.79,717
k30M30p01_medium_sub5000_r02,nj,1508660,49.86,1066
