model_condition,method,memory_kb,cpu_percent,runtime_seconds
k30M30p01_medium_sub250_r01,laml_fastEM_cpu,505240,68.43,89
k30M30p01_medium_sub250_r02,laml_fastEM_cpu,503468,68.24,68
k30M30p01_medium_sub250_r03,laml_fastEM_cpu,510900,68.80,135
k30M30p01_medium_sub250_r04,laml_fastEM_cpu,499760,69.88,117
k30M30p01_medium_sub250_r05,laml_fastEM_cpu,502440,68.06,147
k30M30p02_medium_sub250_r01,laml_fastEM_cpu,506616,67.92,59
k30M30p02_medium_sub250_r02,laml_fastEM_cpu,504364,67.29,82
k30M30p02_medium_sub250_r03,laml_fastEM_cpu,494880,67.95,77
k30M30p02_medium_sub250_r04,laml_fastEM_cpu,502500,69.29,102
k30M30p02_medium_sub250_r05,laml_fastEM_cpu,508180,68.14,93
k30M30p03_medium_sub250_r01,laml_fastEM_cpu,507200,70.37,111
k30M30p03_medium_sub250_r02,laml_fastEM_cpu,502660,70.89,140
k30M30p03_medium_sub250_r03,laml_fastEM_cpu,505492,70.38,140
k30M30p03_medium_sub250_r04,laml_fastEM_cpu,504784,70.49,126
k30M30p03_medium_sub250_r05,laml_fastEM_cpu,504572,70.80,145
k30M30p04_medium_sub250_r01,laml_fastEM_cpu,506500,68.56,85
k30M30p04_medium_sub250_r02,laml_fastEM_cpu,503404,68.84,85
k30M30p04_medium_sub250_r03,laml_fastEM_cpu,503616,67.93,122
k30M30p04_medium_sub250_r04,laml_fastEM_cpu,504264,67.56,88
k30M30p04_medium_sub250_r05,laml_fastEM_cpu,504464,70.33,211
k30M30p05_medium_sub250_r01,laml_fastEM_cpu,500208,68.19,120
k30M30p05_medium_sub250_r02,laml_fastEM_cpu,502268,67.56,149
k30M30p05_medium_sub250_r03,laml_fastEM_cpu,507836,68.65,101
k30M30p05_medium_sub250_r04,laml_fastEM_cpu,506012,68.06,116
k30M30p05_medium_sub250_r05,laml_fastEM_cpu,495524,69.53,122
k30M30p06_medium_sub250_r01,laml_fastEM_cpu,500176,68.95,86
k30M30p06_medium_sub250_r02,laml_fastEM_cpu,509388,69.29,91
k30M30p06_medium_sub250_r03,laml_fastEM_cpu,500748,70.85,152
k30M30p06_medium_sub250_r04,laml_fastEM_cpu,501580,71.63,156
k30M30p06_medium_sub250_r05,laml_fastEM_cpu,498696,69.17,105
k30M30p07_medium_sub250_r01,laml_fastEM_cpu,500648,72.39,107
k30M30p07_medium_sub250_r02,laml_fastEM_cpu,501564,71.52,94
k30M30p07_medium_sub250_r03,laml_fastEM_cpu,497784,70.84,125
k30M30p07_medium_sub250_r04,laml_fastEM_cpu,500688,69.29,79
k30M30p07_medium_sub250_r05,laml_fastEM_cpu,498120,69.50,63
k30M30p08_medium_sub250_r01,laml_fastEM_cpu,502772,70.00,83
k30M30p08_medium_sub250_r02,laml_fastEM_cpu,504208,70.80,136
k30M30p08_medium_sub250_r03,laml_fastEM_cpu,499476,68.63,83
k30M30p08_medium_sub250_r04,laml_fastEM_cpu,500908,70.41,126
k30M30p08_medium_sub250_r05,laml_fastEM_cpu,491512,70.31,92
k30M30p09_medium_sub250_r01,laml_fastEM_cpu,505040,71.44,96
k30M30p09_medium_sub250_r02,laml_fastEM_cpu,500260,72.64,73
k30M30p09_medium_sub250_r03,laml_fastEM_cpu,499408,71.11,141
k30M30p09_medium_sub250_r04,laml_fastEM_cpu,500568,72.28,118
k30M30p09_medium_sub250_r05,laml_fastEM_cpu,500476,72.47,98
k30M30p10_medium_sub250_r01,laml_fastEM_cpu,505616,69.54,82
k30M30p10_medium_sub250_r02,laml_fastEM_cpu,501324,68.44,83
k30M30p10_medium_sub250_r03,laml_fastEM_cpu,506560,69.07,67
k30M30p10_medium_sub250_r04,laml_fastEM_cpu,495748,69.43,78
k30M30p10_medium_sub250_r05,laml_fastEM_cpu,492192,68.34,67
k30M30p01_medium_sub500_r01,laml_fastEM_cpu,541896,68.18,285
k30M30p01_medium_sub500_r02,laml_fastEM_cpu,548836,69.26,182
k30M30p01_medium_sub500_r03,laml_fastEM_cpu,538440,69.10,254
k30M30p01_medium_sub500_r04,laml_fastEM_cpu,536192,70.46,264
k30M30p01_medium_sub500_r05,laml_fastEM_cpu,545216,72.25,266
k30M30p02_medium_sub500_r01,laml_fastEM_cpu,544444,70.78,312
k30M30p02_medium_sub500_r02,laml_fastEM_cpu,536952,69.03,332
k30M30p02_medium_sub500_r03,laml_fastEM_cpu,547440,71.63,347
k30M30p02_medium_sub500_r04,laml_fastEM_cpu,546388,68.95,377
k30M30p02_medium_sub500_r05,laml_fastEM_cpu,541652,68.75,379
k30M30p03_medium_sub500_r01,laml_fastEM_cpu,551872,71.68,226
k30M30p03_medium_sub500_r02,laml_fastEM_cpu,547740,72.64,283
k30M30p03_medium_sub500_r03,laml_fastEM_cpu,550312,72.16,274
k30M30p03_medium_sub500_r04,laml_fastEM_cpu,539088,72.14,226
k30M30p03_medium_sub500_r05,laml_fastEM_cpu,552576,73.56,205
k30M30p04_medium_sub500_r01,laml_fastEM_cpu,547748,73.10,217
k30M30p04_medium_sub500_r02,laml_fastEM_cpu,545780,72.29,224
k30M30p04_medium_sub500_r03,laml_fastEM_cpu,540460,71.36,267
k30M30p04_medium_sub500_r04,laml_fastEM_cpu,532548,71.69,281
k30M30p04_medium_sub500_r05,laml_fastEM_cpu,532100,69.87,198
k30M30p05_medium_sub500_r01,laml_fastEM_cpu,534952,70.11,190
k30M30p05_medium_sub500_r02,laml_fastEM_cpu,535592,69.89,311
k30M30p05_medium_sub500_r03,laml_fastEM_cpu,528992,68.32,206
k30M30p05_medium_sub500_r04,laml_fastEM_cpu,544376,69.63,200
k30M30p05_medium_sub500_r05,laml_fastEM_cpu,539724,72.32,272
k30M30p06_medium_sub500_r01,laml_fastEM_cpu,530104,69.64,211
k30M30p06_medium_sub500_r02,laml_fastEM_cpu,554728,74.01,277
k30M30p06_medium_sub500_r03,laml_fastEM_cpu,525316,70.31,225
k30M30p06_medium_sub500_r04,laml_fastEM_cpu,536972,69.71,279
k30M30p06_medium_sub500_r05,laml_fastEM_cpu,541148,69.56,190
k30M30p07_medium_sub500_r01,laml_fastEM_cpu,544020,72.32,219
k30M30p07_medium_sub500_r02,laml_fastEM_cpu,525516,68.53,269
k30M30p07_medium_sub500_r03,laml_fastEM_cpu,530888,71.38,250
k30M30p07_medium_sub500_r04,laml_fastEM_cpu,539948,68.25,212
k30M30p07_medium_sub500_r05,laml_fastEM_cpu,530684,70.07,261
k30M30p08_medium_sub500_r01,laml_fastEM_cpu,543632,68.56,158
k30M30p08_medium_sub500_r02,laml_fastEM_cpu,542776,68.49,159
k30M30p08_medium_sub500_r03,laml_fastEM_cpu,537784,70.94,194
k30M30p08_medium_sub500_r04,laml_fastEM_cpu,531464,70.02,180
k30M30p08_medium_sub500_r05,laml_fastEM_cpu,541512,67.81,189
k30M30p09_medium_sub500_r01,laml_fastEM_cpu,532348,71.52,253
k30M30p09_medium_sub500_r02,laml_fastEM_cpu,554164,73.78,235
k30M30p09_medium_sub500_r03,laml_fastEM_cpu,546232,72.47,203
k30M30p09_medium_sub500_r04,laml_fastEM_cpu,535176,70.47,316
k30M30p09_medium_sub500_r05,laml_fastEM_cpu,550560,72.49,217
k30M30p10_medium_sub500_r01,laml_fastEM_cpu,547236,70.34,229
k30M30p10_medium_sub500_r02,laml_fastEM_cpu,542932,70.54,209
k30M30p10_medium_sub500_r03,laml_fastEM_cpu,536628,71.33,275
k30M30p10_medium_sub500_r04,laml_fastEM_cpu,532944,69.34,223
k30M30p10_medium_sub500_r05,laml_fastEM_cpu,541744,70.37,254
k30M100p01_medium_sub250_r01,laml_fastEM_cpu,491248,71.51,103
k30M100p01_medium_sub250_r02,laml_fastEM_cpu,489548,72.42,105
k30M100p01_medium_sub250_r03,laml_fastEM_cpu,492836,70.52,108
k30M100p01_medium_sub250_r04,laml_fastEM_cpu,497940,73.71,152
k30M100p01_medium_sub250_r05,laml_fastEM_cpu,498108,73.21,115
k30M100p02_medium_sub250_r01,laml_fastEM_cpu,497708,68.77,73
k30M100p02_medium_sub250_r02,laml_fastEM_cpu,502208,68.15,86
k30M100p02_medium_sub250_r03,laml_fastEM_cpu,495004,67.45,61
k30M100p02_medium_sub250_r04,laml_fastEM_cpu,495288,69.02,108
k30M100p02_medium_sub250_r05,laml_fastEM_cpu,496964,69.91,104
k30M100p03_medium_sub250_r01,laml_fastEM_cpu,496056,71.36,70
k30M100p03_medium_sub250_r02,laml_fastEM_cpu,496800,72.77,115
k30M100p03_medium_sub250_r03,laml_fastEM_cpu,501864,72.40,151
k30M100p03_medium_sub250_r04,laml_fastEM_cpu,495372,73.13,101
k30M100p03_medium_sub250_r05,laml_fastEM_cpu,503348,75.19,146
k30M100p04_medium_sub250_r01,laml_fastEM_cpu,498204,71.53,102
k30M100p04_medium_sub250_r02,laml_fastEM_cpu,499804,71.56,76
k30M100p04_medium_sub250_r03,laml_fastEM_cpu,493424,70.40,84
k30M100p04_medium_sub250_r04,laml_fastEM_cpu,495784,71.97,122
k30M100p04_medium_sub250_r05,laml_fastEM_cpu,502244,72.89,75
k30M100p05_medium_sub250_r01,laml_fastEM_cpu,494412,68.36,65
k30M100p05_medium_sub250_r02,laml_fastEM_cpu,501888,68.65,99
k30M100p05_medium_sub250_r03,laml_fastEM_cpu,497784,68.56,68
k30M100p05_medium_sub250_r04,laml_fastEM_cpu,501060,70.49,138
k30M100p05_medium_sub250_r05,laml_fastEM_cpu,495084,71.62,105
k30M100p06_medium_sub250_r01,laml_fastEM_cpu,500568,70.90,168
k30M100p06_medium_sub250_r02,laml_fastEM_cpu,499748,69.60,74
k30M100p06_medium_sub250_r03,laml_fastEM_cpu,500536,71.29,91
k30M100p06_medium_sub250_r04,laml_fastEM_cpu,490.50M,72.58,115
k30M100p06_medium_sub250_r05,laml_fastEM_cpu,494996,72.51,105
k30M100p07_medium_sub250_r01,laml_fastEM_cpu,492824,69.94,103
k30M100p07_medium_sub250_r02,laml_fastEM_cpu,498556,70.89,88
k30M100p07_medium_sub250_r03,laml_fastEM_cpu,499088,71.94,92
k30M100p07_medium_sub250_r04,laml_fastEM_cpu,497968,71.78,103
k30M100p07_medium_sub250_r05,laml_fastEM_cpu,497676,68.81,96
k30M100p08_medium_sub250_r01,laml_fastEM_cpu,491848,70.75,98
k30M100p08_medium_sub250_r02,laml_fastEM_cpu,488936,69.76,109
k30M100p08_medium_sub250_r03,laml_fastEM_cpu,495564,69.97,118
k30M100p08_medium_sub250_r04,laml_fastEM_cpu,500832,71.41,110
k30M100p08_medium_sub250_r05,laml_fastEM_cpu,491600,68.01,50
k30M100p09_medium_sub250_r01,laml_fastEM_cpu,493496,68.27,78
k30M100p09_medium_sub250_r02,laml_fastEM_cpu,503384,70.51,61
k30M100p09_medium_sub250_r03,laml_fastEM_cpu,495800,72.63,94
k30M100p09_medium_sub250_r04,laml_fastEM_cpu,504744,72.22,126
k30M100p09_medium_sub250_r05,laml_fastEM_cpu,491496,71.78,120
k30M100p10_medium_sub250_r01,laml_fastEM_cpu,501012,70.70,110
k30M100p10_medium_sub250_r02,laml_fastEM_cpu,496064,70.84,94
k30M100p10_medium_sub250_r03,laml_fastEM_cpu,497932,69.14,75
k30M100p10_medium_sub250_r04,laml_fastEM_cpu,494180,73.96,125
k30M100p10_medium_sub250_r05,laml_fastEM_cpu,491172,70.29,104
k30M100p01_medium_sub500_r01,laml_fastEM_cpu,548024,71.47,219
k30M100p01_medium_sub500_r02,laml_fastEM_cpu,540652,69.35,216
k30M100p01_medium_sub500_r03,laml_fastEM_cpu,538356,71.46,281
k30M100p01_medium_sub500_r04,laml_fastEM_cpu,532984,70.69,249
k30M100p01_medium_sub500_r05,laml_fastEM_cpu,554704,71.93,180
k30M100p02_medium_sub500_r01,laml_fastEM_cpu,538272,69.48,251
k30M100p02_medium_sub500_r02,laml_fastEM_cpu,533164,68.91,200
k30M100p02_medium_sub500_r03,laml_fastEM_cpu,527716,69.00,194
k30M100p02_medium_sub500_r04,laml_fastEM_cpu,536936,70.12,234
k30M100p02_medium_sub500_r05,laml_fastEM_cpu,550328,72.81,262
k30M100p03_medium_sub500_r01,laml_fastEM_cpu,536644,71.71,249
