model_condition,method,memory_kb,cpu_percent,runtime_seconds
k30M30p02_medium_sub250_r03,greedy,3672,0.00,0
k30M30p03_medium_sub250_r01,greedy,3680,0.00,0
k30M30p03_medium_sub250_r02,greedy,3680,0.00,0
k30M30p03_medium_sub250_r03,greedy,3668,0.00,0
k30M30p03_medium_sub250_r04,greedy,3756,0.00,0
k30M30p03_medium_sub250_r05,greedy,3604,0.00,0
k30M30p04_medium_sub250_r01,greedy,3688,0.00,0
k30M30p04_medium_sub250_r02,greedy,3684,0.00,0
k30M30p04_medium_sub250_r03,greedy,3892,0.00,0
k30M30p04_medium_sub250_r04,greedy,3704,0.00,0
k30M30p04_medium_sub250_r05,greedy,3572,0.00,0
k30M30p05_medium_sub250_r01,greedy,3940,0.00,0
k30M30p05_medium_sub250_r02,greedy,3672,0.00,0
k30M30p05_medium_sub250_r03,greedy,3680,0.00,0
k30M30p05_medium_sub250_r04,greedy,3676,0.00,0
k30M30p05_medium_sub250_r05,greedy,3872,0.00,0
k30M30p06_medium_sub250_r01,greedy,3684,0.00,0
k30M30p06_medium_sub250_r02,greedy,3768,0.00,0
k30M30p06_medium_sub250_r03,greedy,3680,0.00,0
k30M30p06_medium_sub250_r04,greedy,3672,0.00,0
k30M30p06_medium_sub250_r05,greedy,3680,0.00,0
k30M30p07_medium_sub250_r01,greedy,3784,0.00,0
k30M30p07_medium_sub250_r02,greedy,3676,0.00,0
k30M30p07_medium_sub250_r03,greedy,3668,0.00,0
k30M30p07_medium_sub250_r04,greedy,3668,0.00,0
k30M30p07_medium_sub250_r05,greedy,3.50M,0.00,0
k30M30p08_medium_sub250_r01,greedy,3760,0.00,0
k30M30p08_medium_sub250_r02,greedy,3652,0.00,0
k30M30p08_medium_sub250_r03,greedy,3684,0.00,0
k30M30p08_medium_sub250_r04,greedy,3688,0.00,0
k30M30p08_medium_sub250_r05,greedy,3672,0.00,0
k30M30p09_medium_sub250_r01,greedy,3680,0.00,0
k30M30p09_medium_sub250_r02,greedy,3668,0.00,0
k30M30p09_medium_sub250_r03,greedy,3676,0.00,0
k30M30p09_medium_sub250_r04,greedy,3644,0.00,0
k30M30p09_medium_sub250_r05,greedy,3688,0.00,0
k30M30p10_medium_sub250_r01,greedy,3680,0.00,0
k30M30p10_medium_sub250_r02,greedy,3684,0.00,0
k30M30p10_medium_sub250_r03,greedy,3720,0.00,0
k30M30p10_medium_sub250_r04,greedy,3560,0.00,0
k30M30p10_medium_sub250_r05,greedy,3908,0.00,0
k30M100p02_medium_sub250_r01,greedy,3680,0.00,0
k30M100p03_medium_sub250_r01,greedy,3680,0.00,0
k30M100p03_medium_sub250_r02,greedy,3936,0.00,0
k30M100p03_medium_sub250_r03,greedy,3676,0.00,0
k30M100p03_medium_sub250_r04,greedy,3744,0.00,0
k30M100p03_medium_sub250_r05,greedy,3576,0.00,0
k30M100p04_medium_sub250_r01,greedy,3684,0.00,0
k30M100p04_medium_sub250_r02,greedy,3636,0.00,0
k30M100p04_medium_sub250_r03,greedy,3684,0.00,0
k30M100p04_medium_sub250_r04,greedy,3656,0.00,0
k30M100p04_medium_sub250_r05,greedy,3572,0.00,0
k30M100p05_medium_sub250_r01,greedy,3548,0.00,0
