model_condition,method,memory_kb,cpu_percent,runtime_seconds
k30M100p01_medium_sub1000_r03,greedy,3472,44.44,0
k30M100p01_medium_sub1000_r04,greedy,3024,38.89,0
k30M100p01_medium_sub1000_r05,greedy,3024,44.44,0
k30M100p02_medium_sub1000_r01,greedy,3472,38.89,0
k30M100p02_medium_sub1000_r02,greedy,3024,43.75,0
k30M100p02_medium_sub1000_r03,greedy,3472,43.75,0
k30M100p02_medium_sub1000_r04,greedy,3472,50.00,0
k30M100p02_medium_sub1000_r05,greedy,3024,43.75,0
k30M100p03_medium_sub1000_r01,greedy,3136,43.75,0
k30M100p03_medium_sub1000_r02,greedy,3024,43.75,0
k30M100p03_medium_sub1000_r03,greedy,2500,50.00,0
k30M100p03_medium_sub1000_r04,greedy,1664,50.00,0
k30M100p03_medium_sub1000_r05,greedy,2500,50.00,0
k30M100p04_medium_sub1000_r01,greedy,2500,50.00,0
k30M100p04_medium_sub1000_r02,greedy,2500,50.00,0
k30M100p04_medium_sub1000_r03,greedy,1668,50.00,0
k30M100p04_medium_sub1000_r04,greedy,2496,50.00,0
k30M100p04_medium_sub1000_r05,greedy,2496,50.00,0
k30M100p05_medium_sub1000_r01,greedy,2500,50.00,0
k30M100p05_medium_sub1000_r02,greedy,2500,50.00,0
k30M100p05_medium_sub1000_r03,greedy,2500,50.00,0
k30M100p05_medium_sub1000_r04,greedy,3024,43.75,0
k30M100p05_medium_sub1000_r05,greedy,3644,43.75,0
k30M100p06_medium_sub1000_r01,greedy,3024,43.75,0
k30M100p06_medium_sub1000_r02,greedy,3472,43.75,0
k30M100p06_medium_sub1000_r03,greedy,3472,43.75,0
k30M100p06_medium_sub1000_r04,greedy,2920,43.75,0
k30M100p06_medium_sub1000_r05,greedy,3024,43.75,0
k30M100p07_medium_sub1000_r01,greedy,2500,50.00,0
k30M100p07_medium_sub1000_r02,greedy,2500,50.00,0
k30M100p07_medium_sub1000_r03,greedy,2500,50.00,0
k30M100p07_medium_sub1000_r04,greedy,1664,50.00,0
k30M100p07_medium_sub1000_r05,greedy,1664,50.00,0
k30M100p08_medium_sub1000_r01,greedy,2500,50.00,0
