num_chars,alphabet_size,seed_prior,num_cells,seq_prior,algorithm,runtime,memory_usage,cpu_usage
30,100,01,5000,01,laml_fastEM_gpu,168955.53,36252418.048,88.0
30,30,06,250,03,laml_fastEM_gpu,5368.69,,
30,30,04,250,04,laml_fastEM_gpu,5762.35,,
30,100,02,1000,03,laml_fastEM_gpu,28853.43,36252418.048,56.0
30,30,08,250,03,laml_fastEM_gpu,8068.49,,
30,100,06,250,01,laml_fastEM_gpu,7531.79,,
30,100,10,250,04,laml_fastEM_gpu,6617.95,,
30,30,06,250,01,laml_fastEM_gpu,4374.71,,
30,100,10,250,02,laml_fastEM_gpu,4615.09,,
30,100,02,500,01,laml_fastEM_gpu,13024.72,36252418.048,79.0
30,30,10,250,01,laml_fastEM_gpu,4363.95,,
30,30,09,250,04,laml_fastEM_gpu,6062.71,,
30,100,08,250,02,laml_fastEM_gpu,4833.85,,
30,100,01,250,03,laml_fastEM_gpu,6391.43,36248223.744,75.0
30,100,02,250,03,laml_fastEM_gpu,6095.05,36248223.744,70.0
30,30,01,500,03,laml_fastEM_gpu,12375.94,36250320.896,57.0
30,100,01,500,02,laml_fastEM_gpu,18263.43,36250320.896,63.0
30,100,01,1000,01,laml_fastEM_gpu,34445.76,36252418.048,63.0
30,30,10,250,05,laml_fastEM_gpu,9120.71,,
30,30,04,250,01,laml_fastEM_gpu,7850.78,,
30,100,02,250,04,laml_fastEM_gpu,4486.82,36248223.744,50.0
30,100,07,250,01,laml_fastEM_gpu,4725.69,,
30,30,02,250,01,laml_fastEM_gpu,4274.95,36248223.744,55.0
30,30,01,1000,03,laml_fastEM_gpu,29479.33,36252418.048,56.0
30,30,01,250,02,laml_fastEM_gpu,4150.83,36248223.744,70.0
30,30,02,250,03,laml_fastEM_gpu,5112.18,,
30,30,01,1000,05,laml_fastEM_gpu,23481.57,36252418.048,75.0
30,100,06,250,02,laml_fastEM_gpu,6399.93,,
30,30,03,250,05,laml_fastEM_gpu,3099.62,,
30,100,05,250,05,laml_fastEM_gpu,7155.3,,
30,30,05,250,05,laml_fastEM_gpu,6515.83,,
30,100,02,1000,05,laml_fastEM_gpu,26772.06,36252418.048,56.0
30,100,01,500,04,laml_fastEM_gpu,13733.69,36250320.896,76.0
30,100,10,250,05,laml_fastEM_gpu,6097.77,,
30,100,09,250,01,laml_fastEM_gpu,4777.5,,
30,100,01,250,04,laml_fastEM_gpu,4539.6,36248223.744,71.0
30,100,02,500,05,laml_fastEM_gpu,11435.62,36252418.048,60.0
30,100,07,250,02,laml_fastEM_gpu,8381.22,,
30,100,02,1000,01,laml_fastEM_gpu,30310.28,36252418.048,75.0
30,30,05,250,02,laml_fastEM_gpu,5687.64,,
30,100,07,250,05,laml_fastEM_gpu,6727.18,,
30,30,01,250,03,laml_fastEM_gpu,5411.5,36248223.744,52.0
30,30,02,500,04,laml_fastEM_gpu,12761.21,36250320.896,73.0
30,100,08,250,05,laml_fastEM_gpu,6803.81,,
30,100,04,250,05,laml_fastEM_gpu,6485.28,,
30,100,08,250,04,laml_fastEM_gpu,4139.37,,
